infer_mode;features;train_using_all_batches;train_batch;infer_batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;total_repairs_grdt_correct;total_repairs_grdt_incorrect;rmse
dk;global;True;1;1;5;1995;0;0;0;0;0;5;5;0;0;0;0;0;0
dk;global;True;1;2;6;1995;1.0;0.16666666666666666;0.16666666666666666;0.2857142857142857;0.2857142857142857;6;6;1;1;1;0;1;0
dk;global;True;1;3;14;1995;1.0;0.5;0.5;0.6666666666666666;0.6666666666666666;14;14;7;7;7;0;7;0
dk;global;True;1;4;7;1995;1.0;0.14285714285714285;0.14285714285714285;0.25;0.25;7;7;1;1;1;0;1;0
dk;global;True;1;5;15;1995;1.0;0.4666666666666667;0.4666666666666667;0.6363636363636364;0.6363636363636364;15;15;7;7;7;0;7;0
dk;global;True;1;6;9;1995;1.0;0.2222222222222222;0.2222222222222222;0.3636363636363636;0.3636363636363636;9;9;2;2;2;0;2;0
dk;global;True;1;7;11;1995;1.0;0.45454545454545453;0.45454545454545453;0.625;0.625;11;11;5;5;5;0;5;0
dk;global;True;1;8;8;1995;1.0;0.625;0.625;0.7692307692307693;0.7692307692307693;8;8;5;5;5;0;5;0
dk;global;True;1;9;12;1995;1.0;0.5;0.5;0.6666666666666666;0.6666666666666666;12;12;6;6;6;0;6;0
infer_mode;features;train_using_all_batches;train_batch;infer_batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;total_repairs_grdt_correct;total_repairs_grdt_incorrect;rmse
dk;incremental;True;1;1;5;1995;0;0;0;0;0;5;5;0;0;0;0;0;0
dk;global;True;1;10;8;1995;1.0;0.125;0.125;0.2222222222222222;0.2222222222222222;8;8;1;1;1;0;1;0
dk;incremental;True;1;2;6;1995;1.0;0.16666666666666666;0.16666666666666666;0.2857142857142857;0.2857142857142857;6;6;1;1;1;0;1;0
dk;global;True;1;11;3;1995;1.0;0.6666666666666666;0.6666666666666666;0.8;0.8;3;3;2;2;2;0;2;0
dk;incremental;True;1;3;14;1995;1.0;0.5;0.5;0.6666666666666666;0.6666666666666666;14;14;7;7;7;0;7;0
dk;global;True;1;12;12;1995;1.0;0.5;0.5;0.6666666666666666;0.6666666666666666;12;12;6;6;6;0;6;0
dk;incremental;True;1;4;7;1995;1.0;0.14285714285714285;0.14285714285714285;0.25;0.25;7;7;1;1;1;0;1;0
dk;global;True;1;13;6;1995;1.0;0.3333333333333333;0.3333333333333333;0.5;0.5;6;6;2;2;2;0;2;0
dk;incremental;True;1;5;15;1995;1.0;0.4666666666666667;0.4666666666666667;0.6363636363636364;0.6363636363636364;15;15;7;7;7;0;7;0
dk;global;True;1;14;12;1995;1.0;0.5833333333333334;0.5833333333333334;0.7368421052631579;0.7368421052631579;12;12;7;7;7;0;7;0
dk;incremental;True;1;6;9;1995;1.0;0.2222222222222222;0.2222222222222222;0.3636363636363636;0.3636363636363636;9;9;2;2;2;0;2;0
dk;incremental;True;1;7;11;1995;1.0;0.45454545454545453;0.45454545454545453;0.625;0.625;11;11;5;5;5;0;5;0
dk;global;True;1;15;9;1995;1.0;0.3333333333333333;0.3333333333333333;0.5;0.5;9;9;3;3;3;0;3;0
dk;incremental;True;1;8;8;1995;1.0;0.625;0.625;0.7692307692307693;0.7692307692307693;8;8;5;5;5;0;5;0
dk;global;True;1;16;4;1995;1.0;0.75;0.75;0.8571428571428571;0.8571428571428571;4;4;3;3;3;0;3;0
dk;incremental;True;1;9;12;1995;1.0;0.5;0.5;0.6666666666666666;0.6666666666666666;12;12;6;6;6;0;6;0
dk;global;True;1;17;8;1995;1.0;0.375;0.375;0.5454545454545454;0.5454545454545454;8;8;3;3;3;0;3;0
dk;incremental;True;1;10;8;1995;1.0;0.125;0.125;0.2222222222222222;0.2222222222222222;8;8;1;1;1;0;1;0
dk;global;True;1;18;14;1995;1.0;0.42857142857142855;0.42857142857142855;0.6;0.6;14;14;6;6;6;0;6;0
dk;global;True;1;19;12;1995;1.0;0.5833333333333334;0.5833333333333334;0.7368421052631579;0.7368421052631579;12;12;7;7;7;0;7;0
dk;incremental;True;1;11;3;1995;1.0;0.6666666666666666;0.6666666666666666;0.8;0.8;3;3;2;2;2;0;2;0
dk;global;True;1;20;8;1995;1.0;0.5;0.5;0.6666666666666666;0.6666666666666666;8;8;4;4;4;0;4;0
dk;incremental;True;1;12;12;1995;1.0;0.5;0.5;0.6666666666666666;0.6666666666666666;12;12;6;6;6;0;6;0
dk;global;True;1;21;15;1995;1.0;0.4666666666666667;0.4666666666666667;0.6363636363636364;0.6363636363636364;15;15;7;7;7;0;7;0
dk;incremental;True;1;13;6;1995;1.0;0.3333333333333333;0.3333333333333333;0.5;0.5;6;6;2;2;2;0;2;0
dk;global;True;1;22;7;1995;1.0;0.42857142857142855;0.42857142857142855;0.6;0.6;7;7;3;3;3;0;3;0
dk;incremental;True;1;14;12;1995;1.0;0.5833333333333334;0.5833333333333334;0.7368421052631579;0.7368421052631579;12;12;7;7;7;0;7;0
dk;global;True;1;23;9;1995;1.0;0.6666666666666666;0.6666666666666666;0.8;0.8;9;9;6;6;6;0;6;0
dk;incremental;True;1;15;9;1995;1.0;0.3333333333333333;0.3333333333333333;0.5;0.5;9;9;3;3;3;0;3;0
dk;global;True;1;24;7;1995;1.0;0.42857142857142855;0.42857142857142855;0.6;0.6;7;7;3;3;3;0;3;0
dk;incremental;True;1;16;4;1995;1.0;0.75;0.75;0.8571428571428571;0.8571428571428571;4;4;3;3;3;0;3;0
dk;global;True;1;25;12;1995;1.0;0.4166666666666667;0.4166666666666667;0.5882352941176471;0.5882352941176471;12;12;5;5;5;0;5;0
dk;incremental;True;1;17;8;1995;1.0;0.375;0.375;0.5454545454545454;0.5454545454545454;8;8;3;3;3;0;3;0
dk;global;True;1;26;15;1995;1.0;0.4666666666666667;0.4666666666666667;0.6363636363636364;0.6363636363636364;15;15;7;7;7;0;7;0
