infer_mode;features;train_using_all_batches;skip_training_starting_batch;batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;repairs_on_correct_cells;repairs_on_incorrect_cells;rmse
infer_mode;features;train_using_all_batches;skip_training_starting_batch;batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;repairs_on_correct_cells;repairs_on_incorrect_cells;rmse
infer_mode;features;train_using_all_batches;skip_training_starting_batch;batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;repairs_on_correct_cells;repairs_on_incorrect_cells;rmse
infer_mode;features;train_using_all_batches;skip_training_starting_batch;batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;repairs_on_correct_cells;repairs_on_incorrect_cells;rmse
dk;global;True;1;1;295;19705;0.8409090909090909;0.5016949152542373;0.5016949152542373;0.6284501061571125;0.6284501061571125;295;295;148;176;176;0;176;0
dk;global;True;1;2;280;19705;0.7515923566878981;0.42142857142857143;0.42142857142857143;0.5400457665903889;0.5400457665903889;280;280;118;157;157;0;157;0
dk;global;True;1;3;322;19705;0.7788944723618091;0.4813664596273292;0.4813664596273292;0.5950095969289828;0.5950095969289828;322;322;155;199;199;0;199;0
dk;global;True;1;4;310;19705;0.7803468208092486;0.43548387096774194;0.43548387096774194;0.5590062111801242;0.5590062111801242;310;310;135;173;173;0;173;0
dk;global;True;1;5;320;19705;0.7409326424870466;0.446875;0.446875;0.5575048732943471;0.5575048732943471;320;320;143;193;193;0;193;0
dk;global;True;1;6;298;19705;0.7317073170731707;0.40268456375838924;0.40268456375838924;0.5194805194805194;0.5194805194805194;298;298;120;164;164;0;164;0
dk;global;True;1;7;320;19705;0.7663043478260869;0.440625;0.440625;0.5595238095238094;0.5595238095238094;320;320;141;184;184;0;184;0
dk;global;True;1;8;324;19705;0.7814207650273224;0.44135802469135804;0.44135802469135804;0.5641025641025642;0.5641025641025642;324;324;143;183;183;0;183;0
dk;global;True;1;9;326;19705;0.788659793814433;0.46932515337423314;0.46932515337423314;0.5884615384615385;0.5884615384615385;326;326;153;194;194;0;194;0
dk;incremental;True;1;1;295;19725;0.9586206896551724;0.4711864406779661;0.4711864406779661;0.6318181818181818;0.6318181818181818;295;295;139;145;145;0;145;0
dk;global;True;1;10;297;19705;0.7966101694915254;0.47474747474747475;0.47474747474747475;0.5949367088607594;0.5949367088607594;297;297;141;177;177;0;177;0
dk;incremental;True;1;2;280;19725;0.9113924050632911;0.5142857142857142;0.5142857142857142;0.6575342465753424;0.6575342465753424;280;280;144;158;158;0;158;0
dk;global;True;1;11;299;19705;0.72;0.4214046822742475;0.4214046822742475;0.5316455696202532;0.5316455696202532;299;299;126;175;175;0;175;0
dk;incremental;True;1;3;322;19725;0.8994413407821229;0.5;0.5;0.6427145708582834;0.6427145708582834;322;322;161;179;179;0;179;0
dk;global;True;1;12;326;19705;0.7976878612716763;0.4233128834355828;0.4233128834355828;0.5531062124248497;0.5531062124248497;326;326;138;173;173;0;173;0
dk;incremental;True;1;4;310;19725;0.9308176100628931;0.4774193548387097;0.4774193548387097;0.6311300639658849;0.6311300639658849;310;310;148;159;159;0;159;0
dk;global;True;1;13;297;19705;0.7964071856287425;0.4478114478114478;0.4478114478114478;0.5732758620689655;0.5732758620689655;297;297;133;167;167;0;167;0
dk;incremental;True;1;5;320;19725;0.945054945054945;0.5375;0.5375;0.6852589641434264;0.6852589641434264;320;320;172;182;182;0;182;0
dk;global;True;1;14;337;19705;0.888268156424581;0.47181008902077154;0.47181008902077154;0.6162790697674418;0.6162790697674418;337;337;159;179;179;0;179;0
dk;incremental;True;1;6;298;19725;0.952054794520548;0.4664429530201342;0.4664429530201342;0.6261261261261262;0.6261261261261262;298;298;139;146;146;0;146;0
dk;incremental;True;1;7;320;19725;0.9352941176470588;0.496875;0.496875;0.6489795918367347;0.6489795918367347;320;320;159;170;170;0;170;0
dk;global;True;1;15;311;19705;0.8866666666666667;0.42765273311897106;0.42765273311897106;0.577006507592191;0.577006507592191;311;311;133;150;150;0;150;0
dk;incremental;True;1;8;324;19725;0.9540229885057471;0.5123456790123457;0.5123456790123457;0.6666666666666666;0.6666666666666666;324;324;166;174;174;0;174;0
dk;global;True;1;16;310;19705;0.8689655172413793;0.4064516129032258;0.4064516129032258;0.5538461538461538;0.5538461538461538;310;310;126;145;145;0;145;0
dk;incremental;True;1;9;326;19725;0.9619565217391305;0.5429447852760736;0.5429447852760736;0.6941176470588235;0.6941176470588235;326;326;177;184;184;0;184;0
dk;global;True;1;17;301;19705;0.8958333333333334;0.42857142857142855;0.42857142857142855;0.5797752808988764;0.5797752808988764;301;301;129;144;144;0;144;0
dk;incremental;True;1;10;297;19725;0.9760479041916168;0.5488215488215489;0.5488215488215489;0.7025862068965518;0.7025862068965518;297;297;163;167;167;0;167;0
dk;global;True;1;18;338;19705;0.8695652173913043;0.41420118343195267;0.41420118343195267;0.561122244488978;0.561122244488978;338;338;140;161;161;0;161;0
dk;global;True;1;19;294;19705;0.8975903614457831;0.5068027210884354;0.5068027210884354;0.6478260869565218;0.6478260869565218;294;294;149;166;166;0;166;0
dk;incremental;True;1;11;299;19725;0.888235294117647;0.5050167224080268;0.5050167224080268;0.6439232409381663;0.6439232409381663;299;299;151;170;170;0;170;0
dk;global;True;1;20;306;19705;0.8881578947368421;0.4411764705882353;0.4411764705882353;0.5895196506550218;0.5895196506550218;306;306;135;152;152;0;152;0
dk;incremental;True;1;12;326;19725;0.9263803680981595;0.46319018404907975;0.46319018404907975;0.6175869120654397;0.6175869120654397;326;326;151;163;163;0;163;0
dk;global;True;1;21;333;19705;0.8650306748466258;0.42342342342342343;0.42342342342342343;0.5685483870967741;0.5685483870967741;333;333;141;163;163;0;163;0
dk;incremental;True;1;13;297;19725;0.888235294117647;0.5084175084175084;0.5084175084175084;0.6466809421841542;0.6466809421841542;297;297;151;170;170;0;170;0
dk;global;True;1;22;309;19705;0.8552631578947368;0.42071197411003236;0.42071197411003236;0.5639913232104121;0.5639913232104121;309;309;130;152;152;0;152;0
dk;incremental;True;1;14;337;19725;0.8303571428571429;0.5519287833827893;0.5519287833827893;0.6631016042780747;0.6631016042780747;337;337;186;224;224;0;224;0
dk;global;True;1;23;331;19705;0.8959537572254336;0.46827794561933533;0.46827794561933533;0.6150793650793651;0.6150793650793651;331;331;155;173;173;0;173;0
dk;incremental;True;1;15;311;19725;0.8305084745762712;0.47266881028938906;0.47266881028938906;0.6024590163934427;0.6024590163934427;311;311;147;177;177;0;177;0
dk;global;True;1;24;320;19705;0.8461538461538461;0.4125;0.4125;0.5546218487394958;0.5546218487394958;320;320;132;156;156;0;156;0
