batch_number;w0;w1;w2;w3;w4;w5;w6;w7;w8;w9
1;2.2901673316955566;2.029087781906128;0.7761116623878479;1.7354179620742798;0.7224399447441101;2.810666084289551;1.335935354232788;1.561542272567749;1.2289387532128646e-41;3.229076623916626
batch_number;w0;w1;w2;w3;w4;w5;w6;w7;w8;w9
1;1.6592445373535156;1.3486220836639404;0.30618584156036377;1.0667592287063599;0.1738104522228241;2.282024621963501;0.9794114828109741;1.0222617387771606;1.2289387532128646e-41;2.7008771896362305
batch_number;w0;w1;w2;w3;w4;w5;w6;w7;w8;w9
1;1.6592445373535156;1.3486220836639404;0.30618584156036377;1.0667592287063599;0.1738104522228241;2.282024621963501;0.9794114828109741;1.0222617387771606;1.2289387532128646e-41;2.7008771896362305
batch_number;w0;w1;w2;w3;w4;w5;w6;w7;w8;w9
1;2.2901673316955566;2.029087781906128;0.7761116623878479;1.7354179620742798;0.7224399447441101;2.810666084289551;1.335935354232788;1.561542272567749;1.2289387532128646e-41;3.229076623916626
2;2.214890956878662;2.0667994022369385;0.6982283592224121;1.7183082103729248;0.6583659648895264;2.7520599365234375;1.3444576263427734;1.5581059455871582;1.2289387532128646e-41;3.137728691101074
2;1.851912260055542;1.5944544076919556;0.3628280758857727;1.1680784225463867;0.2683975398540497;2.3799846172332764;1.0685038566589355;1.1661497354507446;1.2289387532128646e-41;2.7450292110443115
3;2.2661550045013428;2.0631093978881836;0.7255563139915466;1.695277214050293;0.6756359934806824;2.8270859718322754;1.4122436046600342;1.5966933965682983;1.2289387532128646e-41;3.155493974685669
3;1.8726731538772583;1.70940101146698;0.48798736929893494;1.2740615606307983;0.426984041929245;2.505772590637207;1.091857671737671;1.2156660556793213;1.2289387532128646e-41;2.8677284717559814
4;2.249488592147827;2.0475265979766846;0.7350091338157654;1.7032618522644043;0.6722848415374756;2.8366756439208984;1.373505711555481;1.5740598440170288;1.2289387532128646e-41;3.161635398864746
4;1.9165782928466797;1.7726547718048096;0.5248415470123291;1.3507853746414185;0.44597771763801575;2.583052158355713;1.1474121809005737;1.2846704721450806;1.2289387532128646e-41;2.936383008956909
5;2.2135729789733887;2.0431313514709473;0.6781094670295715;1.6601413488388062;0.6545864343643188;2.837432384490967;1.3872896432876587;1.5504149198532104;1.2289387532128646e-41;3.1902456283569336
5;1.9178053140640259;1.803564429283142;0.5311620831489563;1.4029017686843872;0.4913892447948456;2.596543550491333;1.182508945465088;1.2863531112670898;1.2289387532128646e-41;2.988929271697998
6;2.191232204437256;1.990592360496521;0.6622960567474365;1.639035701751709;0.6589158773422241;2.787020444869995;1.3561744689941406;1.5123119354248047;1.2289387532128646e-41;3.1545989513397217
6;1.9356732368469238;1.7943626642227173;0.5433688759803772;1.4287371635437012;0.5045047998428345;2.5902340412139893;1.1903743743896484;1.3061878681182861;1.2289387532128646e-41;2.9742281436920166
7;2.260493040084839;2.0438899993896484;0.7109622359275818;1.7011526823043823;0.6940163373947144;2.7913739681243896;1.3770296573638916;1.541953206062317;1.2289387532128646e-41;3.1594810485839844
7;1.9982314109802246;1.8376929759979248;0.6182147860527039;1.4875935316085815;0.5451701879501343;2.630282402038574;1.2428038120269775;1.3483808040618896;1.2289387532128646e-41;2.990631103515625
8;1.9739307165145874;1.8527230024337769;0.587864875793457;1.475796103477478;0.5640820264816284;2.6528337001800537;1.2346206903457642;1.3563816547393799;1.2289387532128646e-41;2.9906086921691895
8;2.2171061038970947;2.049600124359131;0.6942994594573975;1.6778578758239746;0.7029173374176025;2.806666374206543;1.356148600578308;1.5610439777374268;1.2289387532128646e-41;3.1532981395721436
9;2.006784677505493;1.9070316553115845;0.6209955811500549;1.5112725496292114;0.6113763451576233;2.6976208686828613;1.2321243286132812;1.3583004474639893;1.2289387532128646e-41;3.0471487045288086
9;2.253556728363037;2.1014842987060547;0.7126045823097229;1.6846024990081787;0.7228742241859436;2.848897933959961;1.3895798921585083;1.5511702299118042;1.2289387532128646e-41;3.1876533031463623
10;2.013166666030884;1.9236713647842407;0.6277493238449097;1.5114665031433105;0.6208745837211609;2.706308364868164;1.2241649627685547;1.3712266683578491;1.2289387532128646e-41;3.07985258102417
10;2.2320644855499268;2.0883452892303467;0.6896699666976929;1.6581588983535767;0.7251269817352295;2.822697639465332;1.3508628606796265;1.538842797279358;1.2289387532128646e-41;3.2464568614959717
11;2.151515245437622;2.067552089691162;0.6143407225608826;1.5901589393615723;0.6715213060379028;2.774489164352417;1.3373281955718994;1.5069597959518433;1.2289387532128646e-41;3.248802661895752
11;1.963158130645752;1.908202886581421;0.5869060754776001;1.4492548704147339;0.578369140625;2.684342384338379;1.267735242843628;1.3882076740264893;1.2289387532128646e-41;3.0811421871185303
12;2.2262322902679443;2.068955421447754;0.7505856156349182;1.6490566730499268;0.7455076575279236;2.8204355239868164;1.379668951034546;1.579327940940857;1.2289387532128646e-41;3.2575905323028564
12;2.0347752571105957;1.921012282371521;0.6889593601226807;1.5084046125411987;0.6539272665977478;2.7131175994873047;1.2890323400497437;1.4450759887695312;1.2289387532128646e-41;3.119673490524292
13;2.191279649734497;2.0425634384155273;0.7039708495140076;1.6209511756896973;0.6779078245162964;2.805760145187378;1.4016634225845337;1.5580247640609741;1.2289387532128646e-41;3.2037501335144043
13;2.0224907398223877;1.8759702444076538;0.6431146860122681;1.4987411499023438;0.6148926019668579;2.714437484741211;1.3141463994979858;1.4540355205535889;1.2289387532128646e-41;3.08975887298584
14;2.1993298530578613;2.0474979877471924;0.7093279361724854;1.6264885663986206;0.6790728569030762;2.7985942363739014;1.3814260959625244;1.5428706407546997;1.2289387532128646e-41;3.2209115028381348
14;2.0460267066955566;1.883434772491455;0.6487319469451904;1.527356743812561;0.6241534352302551;2.722893238067627;1.288653016090393;1.435292363166809;1.2289387532128646e-41;3.104926109313965
2;1.851912260055542;1.5944544076919556;0.3628280758857727;1.1680784225463867;0.2683975398540497;2.3799846172332764;1.0685038566589355;1.1661497354507446;1.2289387532128646e-41;2.7450292110443115
2;2.214890956878662;2.0667994022369385;0.6982283592224121;1.7183082103729248;0.6583659648895264;2.7520599365234375;1.3444576263427734;1.5581059455871582;1.2289387532128646e-41;3.137728691101074
15;2.205432891845703;2.059476852416992;0.6803361177444458;1.6277706623077393;0.6993302702903748;2.787064552307129;1.3726766109466553;1.567070484161377;1.2289387532128646e-41;3.171764612197876
15;2.0610790252685547;1.917362928390503;0.6063798666000366;1.553820252418518;0.6483086943626404;2.693061113357544;1.2272849082946777;1.4077112674713135;1.2289387532128646e-41;3.068673610687256
16;2.1800153255462646;2.0200815200805664;0.6636858582496643;1.578830599784851;0.7130701541900635;2.8133544921875;1.35306978225708;1.5436877012252808;1.2289387532128646e-41;3.195265293121338
16;2.048121213912964;1.9081611633300781;0.6122300624847412;1.5243395566940308;0.6466237902641296;2.746311902999878;1.2715719938278198;1.4243547916412354;1.2289387532128646e-41;3.072169780731201
17;2.181335926055908;2.01387619972229;0.6899799704551697;1.5869295597076416;0.681155800819397;2.8061227798461914;1.360994815826416;1.5449484586715698;1.2289387532128646e-41;3.182361364364624
17;2.052569627761841;1.8875080347061157;0.6438000202178955;1.5275107622146606;0.6072067618370056;2.749342203140259;1.2882609367370605;1.4408111572265625;1.2289387532128646e-41;3.06207013130188
18;2.21940541267395;2.0078046321868896;0.7102142572402954;1.648398518562317;0.6983631253242493;2.820378541946411;1.3806332349777222;1.5652271509170532;1.2289387532128646e-41;3.1748898029327393
18;2.1078202724456787;1.8948205709457397;0.6533963680267334;1.5947788953781128;0.6378676891326904;2.7491559982299805;1.2842432260513306;1.4533127546310425;1.2289387532128646e-41;3.0782434940338135
19;2.199716806411743;2.0364794731140137;0.747622013092041;1.6342920064926147;0.7146965265274048;2.815969467163086;1.3840467929840088;1.5407183170318604;1.2289387532128646e-41;3.2592098712921143
19;2.0939669609069824;1.92697012424469;0.706052303314209;1.5852715969085693;0.6639736294746399;2.7722225189208984;1.307052731513977;1.4373841285705566;1.2289387532128646e-41;3.1527717113494873
20;2.152946710586548;2.018331289291382;0.7035369873046875;1.606255054473877;0.6955341100692749;2.804614782333374;1.3758158683776855;1.5351864099502563;1.2289387532128646e-41;3.281846761703491
20;2.0493416786193848;1.908279538154602;0.6618764996528625;1.5586681365966797;0.6455838680267334;2.7652931213378906;1.3034459352493286;1.4375054836273193;1.2289387532128646e-41;3.1598691940307617
3;1.8726731538772583;1.70940101146698;0.48798736929893494;1.2740615606307983;0.426984041929245;2.505772590637207;1.091857671737671;1.2156660556793213;1.2289387532128646e-41;2.8677284717559814
3;2.2661550045013428;2.0631093978881836;0.7255563139915466;1.695277214050293;0.6756359934806824;2.8270859718322754;1.4122436046600342;1.5966933965682983;1.2289387532128646e-41;3.155493974685669
21;2.1762967109680176;2.0273618698120117;0.7441878914833069;1.6440815925598145;0.7178558111190796;2.877429962158203;1.4401901960372925;1.5972057580947876;1.2289387532128646e-41;3.272073745727539
21;2.083963394165039;1.9284031391143799;0.6962696313858032;1.6132370233535767;0.6839144825935364;2.8281779289245605;1.3309227228164673;1.4776252508163452;1.2289387532128646e-41;3.1622610092163086
22;2.222168445587158;2.0757691860198975;0.7174505591392517;1.6739487648010254;0.695480465888977;2.8398923873901367;1.418524980545044;1.556035041809082;1.2289387532128646e-41;3.219271183013916
22;2.1183414459228516;1.9658215045928955;0.6902010440826416;1.6322455406188965;0.6586655378341675;2.8160922527313232;1.3280091285705566;1.4549180269241333;1.2289387532128646e-41;3.112706422805786
23;2.1957106590270996;2.0602304935455322;0.716773509979248;1.6313652992248535;0.715301513671875;2.8254241943359375;1.3647630214691162;1.5349754095077515;1.2289387532128646e-41;3.2537214756011963
23;2.109738826751709;1.9684468507766724;0.6919042468070984;1.603254795074463;0.6855690479278564;2.8040530681610107;1.2835532426834106;1.436780571937561;1.2289387532128646e-41;3.148507595062256
24;2.206181287765503;2.021376848220825;0.7085584402084351;1.654335856437683;0.7259079813957214;2.800781011581421;1.3334593772888184;1.5449528694152832;1.2289387532128646e-41;3.2500603199005127
24;2.124641180038452;1.9407299757003784;0.6847209334373474;1.6297285556793213;0.695560097694397;2.797049045562744;1.280232548713684;1.44754159450531;1.2289387532128646e-41;3.135235071182251
