infer_mode;features;train_using_all_batches;train_batch;infer_batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;total_repairs_grdt_correct;total_repairs_grdt_incorrect;rmse
dk;global;True;1;1;185;1815;0.8636363636363636;0.5135135135135135;0.5135135135135135;0.6440677966101694;0.6440677966101694;185;185;95;110;110;0;110;0
dk;global;True;1;2;162;1815;0.7931034482758621;0.42592592592592593;0.42592592592592593;0.5542168674698795;0.5542168674698795;162;162;69;87;87;0;87;0
dk;global;True;1;3;194;1815;0.7870370370370371;0.4381443298969072;0.4381443298969072;0.5629139072847683;0.5629139072847683;194;194;85;108;108;0;108;0
dk;global;True;1;4;196;1815;0.7920792079207921;0.40816326530612246;0.40816326530612246;0.5387205387205387;0.5387205387205387;196;196;80;101;101;0;101;0
dk;global;True;1;5;185;1815;0.7127659574468085;0.3621621621621622;0.3621621621621622;0.48028673835125446;0.48028673835125446;185;185;67;94;94;0;94;0
dk;global;True;1;6;186;1815;0.7252747252747253;0.3548387096774194;0.3548387096774194;0.4765342960288809;0.4765342960288809;186;186;66;91;91;0;91;0
dk;global;True;1;7;192;1815;0.7319587628865979;0.3697916666666667;0.3697916666666667;0.4913494809688581;0.4913494809688581;192;192;71;97;97;0;97;0
dk;global;True;1;8;194;1815;0.76;0.3917525773195876;0.3917525773195876;0.5170068027210885;0.5170068027210885;194;194;76;100;100;0;100;0
dk;global;True;1;9;200;1815;0.8141592920353983;0.46;0.46;0.5878594249201278;0.5878594249201278;200;200;92;113;113;0;113;0
infer_mode;features;train_using_all_batches;train_batch;infer_batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;total_repairs_grdt_correct;total_repairs_grdt_incorrect;rmse
dk;incremental;True;1;1;185;1821;0.9863013698630136;0.3891891891891892;0.3891891891891892;0.5581395348837209;0.5581395348837209;185;185;72;73;73;0;73;0
dk;global;True;1;10;181;1815;0.8113207547169812;0.47513812154696133;0.47513812154696133;0.5993031358885018;0.5993031358885018;181;181;86;106;106;0;106;0
dk;incremental;True;1;2;162;1821;1.0;0.5061728395061729;0.5061728395061729;0.6721311475409836;0.6721311475409836;162;162;82;82;82;0;82;0
dk;global;True;1;11;165;1815;0.775;0.37575757575757573;0.37575757575757573;0.5061224489795918;0.5061224489795918;165;165;62;80;80;0;80;0
dk;incremental;True;1;3;194;1821;1.0;0.422680412371134;0.422680412371134;0.5942028985507246;0.5942028985507246;194;194;82;82;82;0;82;0
dk;global;True;1;12;197;1815;0.7789473684210526;0.3756345177664975;0.3756345177664975;0.5068493150684932;0.5068493150684932;197;197;74;95;95;0;95;0
