batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;repairs_on_correct_cells;repairs_on_incorrect_cells;rmse
1;4;96;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;4;1.0;0;1.0;0.0
2;5;295;1.0;0.6666666666666666;1.0;0.8;1.0;4.0;6.0;4.0;5;4.0;0;4.0;0.0
3;4;296;0.5;0.2;0.5;0.28571428571428575;0.5;2.0;5.0;1.0;4;2.0;0;2.0;0.0
4;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5;3;397;0.5;0.16666666666666666;0.5;0.25;0.5;2.0;6.0;1.0;3;2.0;0;2.0;0.0
6;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
7;9;1242;0.6666666666666666;0.18181818181818182;0.4;0.28571428571428575;0.5;5.0;11.0;2.0;3;3.0;0;3.0;0.0
8;12;1188;0.5;0.09090909090909091;0.25;0.15384615384615385;0.3333333333333333;4.0;11.0;1.0;3;2.0;0;2.0;0.0
9;11;1389;1.0;0.09090909090909091;0.3333333333333333;0.16666666666666669;0.5;3.0;11.0;1.0;2;1.0;0;1.0;0.0
10;15;1185;0.6666666666666666;0.25;0.5;0.36363636363636365;0.5714285714285715;8.0;16.0;4.0;6;6.0;0;6.0;0.0
11;22;2680;0.6666666666666666;0.1111111111111111;0.3333333333333333;0.1904761904761905;0.4444444444444444;6.0;18.0;2.0;7;3.0;0;3.0;0.0
12;19;2483;1.0;0.10526315789473684;0.4;0.1904761904761905;0.5714285714285715;5.0;19.0;2.0;4;2.0;0;2.0;0.0
13;18;2184;0.5;0.05;0.2;0.09090909090909091;0.28571428571428575;5.0;20.0;1.0;3;2.0;0;2.0;0.0
14;20;2382;0.5;0.08695652173913043;0.2857142857142857;0.14814814814814817;0.36363636363636365;7.0;23.0;2.0;5;4.0;0;4.0;0.0
15;21;2581;0.0;0.0;0.0;0;0;6.0;24.0;0.0;3;2.0;0;2.0;0.0
16;23;2779;0.3333333333333333;0.037037037037037035;0.14285714285714285;0.06666666666666667;0.2;7.0;27.0;1.0;5;3.0;0;3.0;0.0
17;20;2982;1.0;0.037037037037037035;0.2;0.07142857142857142;0.33333333333333337;5.0;27.0;1.0;2;1.0;0;1.0;0.0
18;22;3180;0.3333333333333333;0.03333333333333333;0.14285714285714285;0.0606060606060606;0.2;7.0;30.0;1.0;4;3.0;0;3.0;0.0
19;27;2525;0.3333333333333333;0.030303030303030304;0.125;0.05555555555555555;0.18181818181818182;8.0;33.0;1.0;3;3.0;0;3.0;0.0
20;29;2673;0.8;0.10810810810810811;0.4;0.19047619047619047;0.5333333333333333;10.0;37.0;4.0;5;5.0;0;5.0;0.0
21;26;3776;0.0;0.0;0.0;0;0;6.0;36.0;0.0;2;1.0;0;1.0;0.0
22;27;2975;0.3333333333333333;0.02564102564102564;0.125;0.047619047619047616;0.18181818181818182;8.0;39.0;1.0;3;3.0;0;3.0;0.0
23;26;5226;1.0;0.02564102564102564;0.16666666666666666;0.05;0.2857142857142857;6.0;39.0;1.0;2;1.0;0;1.0;0.0
24;31;4371;1.0;0.023809523809523808;0.14285714285714285;0.046511627906976744;0.25;7.0;42.0;1.0;4;1.0;0;1.0;0.0
25;32;4570;0.75;0.06666666666666667;0.3;0.12244897959183675;0.4285714285714285;10.0;45.0;3.0;5;4.0;0;4.0;0.0
26;36;4766;1.0;0.044444444444444446;0.2222222222222222;0.0851063829787234;0.3636363636363636;9.0;45.0;2.0;3;2.0;0;2.0;0.0
27;38;4964;0;0.0;0.0;0;0;8.0;44.0;0.0;2;0;0;0;0.0
28;40;6463;0.6666666666666666;0.043478260869565216;0.2;0.08163265306122448;0.30769230769230765;10.0;46.0;2.0;5;3.0;0;3.0;0.0
29;49;5355;0.3333333333333333;0.02040816326530612;0.08333333333333333;0.03846153846153846;0.13333333333333333;12.0;49.0;1.0;4;3.0;0;3.0;0.0
30;55;5551;0.3333333333333333;0.019230769230769232;0.07692307692307693;0.03636363636363637;0.125;13.0;52.0;1.0;4;3.0;0;3.0;0.0
31;183;7171;0.7692307692307693;0.1724137931034483;0.5882352941176471;0.28169014084507044;0.6666666666666667;17.0;58.0;10.0;14;13.0;1.0;12.0;0.0
32;18;5982;1.0;0.0392156862745098;0.4;0.07547169811320754;0.5714285714285715;5.0;51.0;2.0;3;2.0;0;2.0;0.0
33;19;6182;1.0;0.057692307692307696;0.5;0.1090909090909091;0.6666666666666666;6.0;52.0;3.0;4;3.0;0;3.0;0.0
34;29;6371;1.0;0.07547169811320754;0.5;0.14035087719298245;0.6666666666666666;8.0;53.0;4.0;8;4.0;0;4.0;0.0
35;45;6555;0.0;0.0;0.0;0;0;10.0;53.0;0.0;4;3.0;1.0;2.0;0.0
36;35;5065;1.0;0.03571428571428571;0.25;0.0689655172413793;0.4;8.0;56.0;2.0;2;2.0;0;2.0;0.0
37;36;6964;0.5;0.017543859649122806;0.125;0.033898305084745756;0.2;8.0;57.0;1.0;3;2.0;0;2.0;0.0
38;56;7149;0.5;0.03333333333333333;0.2;0.0625;0.28571428571428575;10.0;60.0;2.0;6;4.0;0;4.0;0.0
39;38;7362;1.0;0.03333333333333333;0.25;0.06451612903225806;0.4;8.0;60.0;2.0;5;2.0;0;2.0;0.0
40;42;7558;1.0;0.01694915254237288;0.125;0.03333333333333333;0.2222222222222222;8.0;59.0;1.0;3;1.0;0;1.0;0.0
