batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;repairs_on_correct_cells;repairs_on_incorrect_cells;rmse
1;4;96;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;4;1.0;0;1.0;0.0
2;5;295;1.0;0.6666666666666666;1.0;0.8;1.0;4.0;6.0;4.0;5;4.0;0;4.0;0.0
3;4;296;0.5;0.2;0.5;0.28571428571428575;0.5;2.0;5.0;1.0;4;2.0;0;2.0;0.0
4;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5;3;397;0.5;0.16666666666666666;0.5;0.25;0.5;2.0;6.0;1.0;3;2.0;0;2.0;0.0
6;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
7;23;1728;0.6666666666666666;0.18181818181818182;0.2857142857142857;0.28571428571428575;0.4;7.0;11.0;2.0;5;3.0;0;3.0;0.0
8;33;1767;0.8;0.36363636363636365;0.5714285714285714;0.5000000000000001;0.6666666666666666;7.0;11.0;4.0;6;5.0;0;5.0;0.0
9;18;2082;1.0;0.125;0.3333333333333333;0.2222222222222222;0.5;3.0;8.0;1.0;2;1.0;0;1.0;0.0
10;22;1978;0.6666666666666666;0.3076923076923077;0.5;0.42105263157894735;0.5714285714285715;8.0;13.0;4.0;6;6.0;0;6.0;0.0
11;50;3552;0.6;0.2;0.3333333333333333;0.3;0.42857142857142855;9.0;15.0;3.0;9;5.0;1.0;4.0;0.0
12;36;3464;1.0;0.125;0.3333333333333333;0.2222222222222222;0.5;6.0;16.0;2.0;4;2.0;0;2.0;0.0
13;39;3261;0.5;0.058823529411764705;0.16666666666666666;0.10526315789473684;0.25;6.0;17.0;1.0;3;2.0;0;2.0;0.0
14;41;3559;0.5;0.1;0.25;0.16666666666666669;0.3333333333333333;8.0;20.0;2.0;5;4.0;0;4.0;0.0
15;59;3844;0.3333333333333333;0.047619047619047616;0.14285714285714285;0.08333333333333333;0.2;7.0;21.0;1.0;4;3.0;0;3.0;0.0
16;47;4153;0.3333333333333333;0.043478260869565216;0.14285714285714285;0.07692307692307691;0.2;7.0;23.0;1.0;7;3.0;0;3.0;0.0
17;42;4460;1.0;0.043478260869565216;0.2;0.08333333333333333;0.33333333333333337;5.0;23.0;1.0;2;1.0;0;1.0;0.0
18;44;4758;0.3333333333333333;0.038461538461538464;0.14285714285714285;0.06896551724137931;0.2;7.0;26.0;1.0;4;3.0;0;3.0;0.0
19;51;4201;0.5;0.06896551724137931;0.25;0.1212121212121212;0.3333333333333333;8.0;29.0;2.0;4;4.0;0;4.0;0.0
20;45;4457;0.8;0.125;0.4444444444444444;0.21621621621621623;0.5714285714285714;9.0;32.0;4.0;5;5.0;0;5.0;0.0
21;57;5645;0.0;0.0;0.0;0;0;7.0;31.0;0.0;2;1.0;0;1.0;0.0
22;62;4941;0.3333333333333333;0.029411764705882353;0.1111111111111111;0.05405405405405406;0.16666666666666666;9.0;34.0;1.0;3;3.0;0;3.0;0.0
23;68;7285;1.0;0.029411764705882353;0.14285714285714285;0.05714285714285715;0.25;7.0;34.0;1.0;4;1.0;0;1.0;0.0
24;94;6513;1.0;0.08108108108108109;0.375;0.15;0.5454545454545454;8.0;37.0;3.0;8;3.0;0;3.0;0.0
25;59;6843;0.75;0.07894736842105263;0.3333333333333333;0.14285714285714285;0.46153846153846156;9.0;38.0;3.0;7;4.0;0;4.0;0.0
26;63;7139;1.0;0.07894736842105263;0.375;0.14634146341463414;0.5454545454545454;8.0;38.0;3.0;4;3.0;0;3.0;0.0
27;66;7436;1.0;0.027777777777777776;0.16666666666666666;0.05405405405405406;0.2857142857142857;6.0;36.0;1.0;3;1.0;0;1.0;0.0
28;60;9043;0.6666666666666666;0.05405405405405406;0.2857142857142857;0.1;0.4;7.0;37.0;2.0;5;3.0;0;3.0;0.0
29;56;8047;0.6;0.075;0.3;0.13333333333333333;0.4;10.0;40.0;3.0;6;5.0;0;5.0;0.0
30;64;8339;0.5;0.04878048780487805;0.2222222222222222;0.08888888888888888;0.30769230769230765;9.0;41.0;2.0;5;4.0;0;4.0;0.0
31;174;10081;0.6;0.06521739130434782;0.25;0.11764705882352941;0.35294117647058826;12.0;46.0;3.0;8;5.0;0;5.0;0.0
32;171;11936;0.5;0.06666666666666667;0.3333333333333333;0.11764705882352941;0.4;9.0;45.0;3.0;9;6.0;3.0;3.0;0.0
33;40;9262;1.0;0.0625;0.42857142857142855;0.11764705882352941;0.6;7.0;48.0;3.0;4;3.0;0;3.0;0.0
34;52;9549;1.0;0.08163265306122448;0.4444444444444444;0.15094339622641506;0.6153846153846153;9.0;49.0;4.0;8;4.0;0;4.0;0.0
35;83;9818;0.25;0.02040816326530612;0.09090909090909091;0.037735849056603765;0.13333333333333333;11.0;49.0;1.0;5;4.0;1.0;3.0;0.0
36;54;8447;0.4;0.0392156862745098;0.25;0.07142857142857142;0.3076923076923077;8.0;51.0;2.0;5;5.0;1.0;4.0;0.0
37;49;10452;0.3333333333333333;0.018867924528301886;0.14285714285714285;0.03571428571428571;0.2;7.0;53.0;1.0;6;3.0;1.0;2.0;0.0
38;69;10737;0.25;0.017543859649122806;0.125;0.03278688524590164;0.16666666666666666;8.0;57.0;1.0;10;4.0;0;4.0;0.0
39;41;11061;1.0;0.034482758620689655;0.3333333333333333;0.06666666666666667;0.5;6.0;58.0;2.0;5;2.0;0;2.0;0.0
