infer_mode;features;train_using_all_batches;iteration;skip_training_starting_batch;batch;load_data;load_dcs;detect_errors;setup_domain;featurize_data;setup_model;fit_model;infer_repairs;get_inferred_values;generate_repaired_dataset;repaired_table_copy_time;save_stats_time
dk;incremental;True;0;-1;1;0.0996039999999998;0.0006110000000001392;0.10632899999999967;0.4599430561065674;0.4510909999999999;0.0019239999999998147;1.1190849999999992;0.06137299999999968;0.03003;0.03670099999999987;0;0.006283999999999956
dk;incremental;True;0;-1;2;0.1319499999999998;0.0007130000000010739;0.10098999999999947;0.67704176902771;1.344714999999999;0.005319000000000074;3.573295;0.06334800000000129;0.02986100000000036;0.03420000000000201;0;0.00787599999999955
dk;incremental;True;0;-1;3;0.1296759999999999;0.0006979999999998654;0.09833300000000023;0.7604036331176758;4.130206000000001;0.003663999999997003;3.7044210000000035;0.09268700000000507;0.03935899999999748;0.03770599999999291;0;0.020693000000001405
dk;incremental;True;0;-1;4;0.12697700000000367;0.0008539999999968018;0.09452500000000441;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.012869999999999493
dk;incremental;True;0;-1;5;0.1287279999999953;0.0006979999999998654;0.0966060000000013;1.0848846435546875;5.619900999999999;0.005545999999995388;5.046592999999994;0.14234100000000183;0.030273000000001105;0.0369230000000087;0;0.021396999999993227
dk;incremental;True;0;-1;6;0.13967300000000193;0.0007009999999993966;0.09385199999999827;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.020662000000001512
dk;incremental;True;0;-1;7;0.13449599999999862;0.0014330000000057908;0.09675599999999918;0.9983882904052734;3.7568490000000025;0.004287000000005037;11.287273999999996;0.20758400000001132;0.027176999999994678;0.03220600000000218;0;0.0242149999999981
dk;incremental;True;0;-1;8;0.1376379999999955;0.0006529999999997926;0.10141000000000133;1.7644603252410889;17.97810700000001;0.004732000000004177;8.713499999999996;0.2593820000000022;0.028717000000000326;0.03569299999999487;0;0.02658999999999878
dk;incremental;True;0;-1;9;0.1294330000000059;0.0007230000000078007;0.10240100000000041;2.014707326889038;21.63648900000001;0.005035999999989826;8.552997000000005;0.2765839999999855;0.031389999999987594;0.03655300000002626;0;0.030336999999974523
dk;incremental;True;0;-1;10;0.1301469999999938;0.0006390000000067175;0.09235700000002112;0.8804166316986084;2.344921999999997;0.0021270000000015443;4.272114999999985;0.08782500000000937;0.030065000000007558;0.03614999999999213;0;0.044045000000011214
dk;incremental;True;0;-1;11;0.12568200000001184;0.0006419999999991433;0.09200500000000034;3.1092185974121094;27.00607199999999;0.00521800000001349;19.948342999999994;0.41749599999999987;0.02872500000000855;0.03961200000000531;0;0.040665999999987434
dk;incremental;True;0;-1;12;0.12328300000001491;0.0007239999999910651;0.0979419999999891;3.5238256454467773;37.489746999999994;0.004750000000001364;20.88835899999998;0.4932860000000119;0.03067399999997633;0.036695000000008804;0;0.04514399999999341
dk;incremental;True;0;-1;13;0.126925999999969;0.0006229999999618485;0.09798299999999927;3.6371045112609863;39.300967000000014;0.0029569999999807806;13.293228;0.6105499999999893;0.029154000000005453;0.04133799999993926;0;0.05014800000003561
dk;incremental;True;0;-1;14;0.12812200000001894;0.0011489999999980682;0.10266300000000683;4.345353364944458;59.405756;0.004594999999994798;14.607979999999998;0.6820999999999913;0.02860099999998056;0.040328999999985626;0;0.05124000000000706
dk;incremental;True;0;-1;15;0.11720200000002023;0.0006639999999720203;0.0983669999999961;4.848750352859497;51.555570999999986;0.005441000000018903;15.573801000000003;0.780956999999944;0.03034700000000612;0.04113100000006398;0;0.05528900000001613
dk;incremental;True;0;-1;16;0.12552600000003622;0.0007719999999835636;0.0951870000000099;5.721832752227783;64.152108;0.0038279999999986103;16.440674999999942;0.8713189999999713;0.028170999999929336;0.03970800000001873;0;0.06754699999999048
dk;incremental;True;0;-1;17;0.15181599999993978;0.001015999999935957;0.10961599999995997;6.024296760559082;77.50889899999993;0.004228000000011889;18.45380499999999;1.02040199999999;0.030196000000046297;0.03596500000003289;0;0.056411000000025524
dk;incremental;True;0;-1;18;0.12750899999991816;0.0006430000000818836;0.09358799999995426;6.2351861000061035;69.89189599999997;0.00453899999990881;20.013037999999938;1.0116729999999734;0.030501999999955842;0.0361809999998286;0;0.06206300000008014
dk;incremental;True;0;-1;19;0.12331300000005285;0.0006529999999429492;0.0988039999999728;1.5410106182098389;6.986584999999991;0.001728000000071006;11.810172999999963;0.16859699999997702;0.031201000000010026;0.03918199999998251;0;0.07031300000005558
dk;incremental;True;0;-1;20;0.1279700000000048;0.0006240000000161672;0.10066099999994549;1.4587152004241943;7.41680000000008;0.0017999999998892235;10.851280999999972;0.16066299999999956;0.029886000000033164;0.03789900000003854;0;0.06984099999999671
dk;incremental;True;0;-1;21;0.1289399999999432;0.0008700000000771979;0.10875799999996616;8.126336812973022;88.8403669999999;0.004085999999915657;22.081781000000092;1.2160890000000109;0.029469000000062806;0.042026000000078056;0;0.08163599999988946
dk;incremental;True;0;-1;22;0.12381299999992734;0.0006350000001020817;0.09858600000006845;1.8001642227172852;14.941876999999977;0.0018190000000686268;12.415813000000071;0.2022020000001703;0.03114000000005035;0.04348200000003999;0;0.1043130000000474
dk;incremental;True;0;-1;23;0.11643600000002152;0.0006210000001374283;0.10037600000009661;7.870311737060547;106.19921900000008;0.0037489999999706924;24.99686100000008;1.333456999999953;0.03153299999985393;0.03806899999995039;0;0.07784800000013092
dk;incremental;True;0;-1;24;0.12268999999992047;0.0006250000001273293;0.09310800000002928;9.156299114227295;128.15024399999993;0.004496000000017375;25.17066100000011;1.417545999999902;0.03027299999985189;0.04286000000001877;0;0.08531900000002679
dk;incremental;True;0;-1;25;0.1293279999999868;0.0006319999999959691;0.09681000000000495;9.04310393333435;129.2534579999999;0.003551000000015847;27.734784000000218;1.5921339999999873;0.03058499999997366;0.046399000000064916;0;0.08500200000003133
dk;incremental;True;0;-1;26;0.12870900000007168;0.0006269999998949061;0.10035900000002584;10.113514423370361;112.31239499999992;0.0037239999999201245;29.256478000000016;1.584243000000015;0.02990599999998267;0.04020600000012564;0;0.10158400000000256
dk;incremental;True;0;-1;27;0.12850600000001577;0.0006230000001323788;0.10084900000015296;8.698378562927246;110.49465399999985;0.002984999999853244;17.80593799999997;1.5281549999999697;0.029803000000129032;0.041420000000016444;0;0.0880130000000463
dk;incremental;True;0;-1;28;0.1284739999998692;0.0006470000000717846;0.0930670000000191;2.8223631381988525;14.197190999999975;0.005139999999983047;32.37642800000003;0.24943599999983235;0.03047000000015032;0.04048500000021704;0;0.10629699999981312
dk;incremental;True;0;-1;29;0.12458500000002459;0.0006290000001172302;0.1027379999995901;9.780351161956787;126.7964509999997;0.00503000000026077;16.993087999999716;1.5954859999997097;0.030926999999792315;0.04289999999991778;0;0.10227100000020073
dk;incremental;True;0;-1;30;0.12574700000004668;0.0006330000001071312;0.10204399999975067;2.777575731277466;15.562478999999712;0.0036939999999958673;30.77585799999997;0.30328800000006595;0.031187000000045373;0.0443859999995766;0;0.12659900000016933
dk;incremental;True;0;-1;31;0.12528199999997014;0.0007900000000518048;0.10402400000020862;21.076530694961548;250.46802900000012;0.008134000000154629;69.70954099999972;3.3178139999999985;0.030936000000110653;0.04086600000027829;0;0.09980799999993906
