infer_mode;features;train_using_all_batches;skip_training_starting_batch;batch;featurizer;attribute;feature;weight
dk;incremental;True;-1;1;OccurAttrFeaturizer;akaname;inspectionid;0.293
dk;incremental;True;-1;1;OccurAttrFeaturizer;akaname;dbaname;1.303
dk;incremental;True;-1;1;OccurAttrFeaturizer;akaname;akaname;0.0
dk;incremental;True;-1;1;OccurAttrFeaturizer;akaname;license;1.222
dk;incremental;True;-1;1;OccurAttrFeaturizer;akaname;facilitytype;-0.237
dk;incremental;True;-1;1;OccurAttrFeaturizer;akaname;risk;0.369
dk;incremental;True;-1;1;OccurAttrFeaturizer;akaname;address;1.075
dk;incremental;True;-1;1;OccurAttrFeaturizer;akaname;city;-0.119
dk;incremental;True;-1;1;OccurAttrFeaturizer;akaname;state;0.076
dk;incremental;True;-1;1;OccurAttrFeaturizer;akaname;zip;0.15
dk;incremental;True;-1;1;OccurAttrFeaturizer;akaname;inspectiondate;0.06
dk;incremental;True;-1;1;OccurAttrFeaturizer;akaname;inspectiontype;-0.099
dk;incremental;True;-1;1;OccurAttrFeaturizer;akaname;results;0.207
dk;incremental;True;-1;1;OccurAttrFeaturizer;facilitytype;inspectionid;0.164
dk;incremental;True;-1;1;OccurAttrFeaturizer;facilitytype;dbaname;0.905
dk;incremental;True;-1;1;OccurAttrFeaturizer;facilitytype;akaname;0.527
dk;incremental;True;-1;1;OccurAttrFeaturizer;facilitytype;license;0.74
dk;incremental;True;-1;1;OccurAttrFeaturizer;facilitytype;facilitytype;0.0
dk;incremental;True;-1;1;OccurAttrFeaturizer;facilitytype;risk;0.489
dk;incremental;True;-1;1;OccurAttrFeaturizer;facilitytype;address;1.127
dk;incremental;True;-1;1;OccurAttrFeaturizer;facilitytype;city;-0.09
dk;incremental;True;-1;1;OccurAttrFeaturizer;facilitytype;state;-0.163
dk;incremental;True;-1;1;OccurAttrFeaturizer;facilitytype;zip;0.362
dk;incremental;True;-1;1;OccurAttrFeaturizer;facilitytype;inspectiondate;1.078
dk;incremental;True;-1;1;OccurAttrFeaturizer;facilitytype;inspectiontype;0.503
dk;incremental;True;-1;1;OccurAttrFeaturizer;facilitytype;results;0.669
dk;incremental;True;-1;2;OccurAttrFeaturizer;akaname;inspectionid;0.922
dk;incremental;True;-1;2;OccurAttrFeaturizer;akaname;dbaname;1.866
dk;incremental;True;-1;2;OccurAttrFeaturizer;akaname;akaname;-0.0
dk;incremental;True;-1;2;OccurAttrFeaturizer;akaname;license;1.808
dk;incremental;True;-1;2;OccurAttrFeaturizer;akaname;facilitytype;-0.037
dk;incremental;True;-1;2;OccurAttrFeaturizer;akaname;risk;0.223
dk;incremental;True;-1;2;OccurAttrFeaturizer;akaname;address;1.653
dk;incremental;True;-1;2;OccurAttrFeaturizer;akaname;city;0.0
dk;incremental;True;-1;2;OccurAttrFeaturizer;akaname;state;0.0
dk;incremental;True;-1;2;OccurAttrFeaturizer;akaname;zip;0.539
dk;incremental;True;-1;2;OccurAttrFeaturizer;akaname;inspectiondate;0.593
dk;incremental;True;-1;2;OccurAttrFeaturizer;akaname;inspectiontype;0.09
dk;incremental;True;-1;2;OccurAttrFeaturizer;akaname;results;0.214
dk;incremental;True;-1;2;OccurAttrFeaturizer;city;inspectionid;-0.0
dk;incremental;True;-1;2;OccurAttrFeaturizer;city;dbaname;0.0
dk;incremental;True;-1;2;OccurAttrFeaturizer;city;akaname;0.0
dk;incremental;True;-1;2;OccurAttrFeaturizer;city;license;0.0
dk;incremental;True;-1;2;OccurAttrFeaturizer;city;facilitytype;-0.0
dk;incremental;True;-1;2;OccurAttrFeaturizer;city;risk;-0.0
dk;incremental;True;-1;2;OccurAttrFeaturizer;city;address;0.0
dk;incremental;True;-1;2;OccurAttrFeaturizer;city;city;-0.0
dk;incremental;True;-1;2;OccurAttrFeaturizer;city;state;0.0
dk;incremental;True;-1;2;OccurAttrFeaturizer;city;zip;-0.0
dk;incremental;True;-1;2;OccurAttrFeaturizer;city;inspectiondate;-0.0
dk;incremental;True;-1;2;OccurAttrFeaturizer;city;inspectiontype;-0.0
dk;incremental;True;-1;2;OccurAttrFeaturizer;city;results;-0.0
dk;incremental;True;-1;2;OccurAttrFeaturizer;facilitytype;inspectionid;0.55
dk;incremental;True;-1;2;OccurAttrFeaturizer;facilitytype;dbaname;1.207
dk;incremental;True;-1;2;OccurAttrFeaturizer;facilitytype;akaname;0.864
dk;incremental;True;-1;2;OccurAttrFeaturizer;facilitytype;license;1.061
dk;incremental;True;-1;2;OccurAttrFeaturizer;facilitytype;facilitytype;0.0
dk;incremental;True;-1;2;OccurAttrFeaturizer;facilitytype;risk;0.504
dk;incremental;True;-1;2;OccurAttrFeaturizer;facilitytype;address;1.382
dk;incremental;True;-1;2;OccurAttrFeaturizer;facilitytype;city;0.052
dk;incremental;True;-1;2;OccurAttrFeaturizer;facilitytype;state;0.002
dk;incremental;True;-1;2;OccurAttrFeaturizer;facilitytype;zip;0.569
dk;incremental;True;-1;2;OccurAttrFeaturizer;facilitytype;inspectiondate;1.243
dk;incremental;True;-1;2;OccurAttrFeaturizer;facilitytype;inspectiontype;0.555
dk;incremental;True;-1;2;OccurAttrFeaturizer;facilitytype;results;0.558
dk;incremental;True;-1;3;OccurAttrFeaturizer;akaname;inspectionid;1.408
dk;incremental;True;-1;3;OccurAttrFeaturizer;akaname;dbaname;2.086
dk;incremental;True;-1;3;OccurAttrFeaturizer;akaname;akaname;-0.0
dk;incremental;True;-1;3;OccurAttrFeaturizer;akaname;license;2.065
