infer_mode;features;train_using_all_batches;iteration;skip_training_starting_batch;batch;load_data;load_dcs;detect_errors;setup_domain;featurize_data;setup_model;fit_model;infer_repairs;get_inferred_values;generate_repaired_dataset;repaired_table_copy_time;save_stats_time
dk;incremental;True;0;-1;1;0.12426999999999966;0.0006239999999997359;0.09842100000000009;1.6855437755584717;0.4608369999999997;0.002962000000000131;1.472614;0.060604000000000546;0.029965999999999937;0.03691399999999945;0;0.005550000000000388
dk;incremental;True;0;-1;2;0.12442900000000101;0.00150199999999856;0.1016849999999998;1.9717159271240234;1.3402459999999987;0.004576999999999387;4.650834999999999;0.07470400000000055;0.03564300000000031;0.03603199999999873;0;0.009121000000000379
dk;incremental;True;0;-1;3;0.13397399999999848;0.0005239999999986367;0.09355400000000103;2.139878273010254;2.7164970000000004;0.004926000000001096;3.871582;0.08939099999999911;0.031165999999998917;0.03580800000000295;0;0.013542000000001053
dk;incremental;True;0;-1;4;0.12468799999999902;0.0007660000000058176;0.09208600000000189;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.012504999999997324
dk;incremental;True;0;-1;5;0.12749500000000324;0.0008539999999968018;0.10045799999999616;2.3631751537323;5.510480000000001;0.003423000000005061;5.846818999999996;0.12373699999999843;0.030217000000000382;0.03545400000000143;0;0.01881699999999853
dk;incremental;True;0;-1;6;0.1295469999999952;0.0006430000000037239;0.09155400000000213;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.018646000000003937
dk;incremental;True;0;-1;7;0.12708999999999548;0.000704999999996403;0.09773099999999602;2.3531672954559326;3.244715999999997;0.004003000000011525;10.432361999999998;0.0955990000000071;0.029963000000009288;0.0345439999999968;0;0.025514000000001147
dk;incremental;True;0;-1;8;0.12450299999999004;0.0006460000000032551;0.10111399999999549;3.012146234512329;12.55713;0.0034469999999942047;8.99874100000001;0.2140890000000013;0.030118000000001643;0.03515999999999053;0;0.02874200000000826
dk;incremental;True;0;-1;9;0.11909300000000655;0.0006209999999953197;0.09936599999998919;3.3091604709625244;16.405693999999997;0.003352000000006683;7.87206900000001;0.27698499999999626;0.030901000000000067;0.03462600000000293;0;0.03061000000002423
dk;incremental;True;0;-1;10;0.12160399999999072;0.0007510000000081618;0.09951499999999669;2.2936713695526123;2.2638529999999832;0.001854000000008682;4.329143999999985;0.07626300000001152;0.02908099999999081;0.03632000000001767;0;0.03457599999998706
dk;incremental;True;0;-1;11;0.12865300000001412;0.0006520000000023174;0.09830300000001557;4.436872720718384;26.277066999999988;0.005415999999996757;21.266042999999996;0.42665099999999256;0.029336000000000695;0.0337650000000167;0;0.03820699999999988
dk;incremental;True;0;-1;12;0.13250099999999065;0.0006390000000067175;0.09520599999999035;4.630256652832031;31.402879000000013;0.00478099999997994;16.919016;0.480322000000001;0.03057699999999386;0.0369029999999384;0;0.046279000000026826
dk;incremental;True;0;-1;13;0.12416899999999487;0.0006399999999757711;0.09758899999997084;4.947009325027466;36.89613800000001;0.002820000000042455;12.451363000000015;0.5569240000000377;0.029268999999999323;0.035768000000018674;0;0.04281199999996943
dk;incremental;True;0;-1;14;0.1234309999999823;0.0006260000000111177;0.09618800000004057;5.528879880905151;44.08650700000004;0.0037780000000111613;13.612357000000031;0.6477379999999471;0.026771999999994023;0.03578200000004017;0;0.04518499999994674
