infer_mode;features;train_using_all_batches;iteration;skip_training_starting_batch;batch;load_data;load_dcs;detect_errors;setup_domain;featurize_data;setup_model;fit_model;infer_repairs;get_inferred_values;generate_repaired_dataset;repaired_table_copy_time;save_stats_time
dk;incremental;True;0;-1;1;0.10411899999999985;0.0006020000000002135;0.10551300000000019;0.5477333068847656;0.4584850000000005;0.0034010000000002094;1.1474979999999997;0.05426399999999987;0.029170000000000584;0.03609400000000029;0;0.005279999999999951
dk;incremental;True;0;-1;2;0.12482600000000055;0.0006300000000010186;0.1049540000000011;0.7314980030059814;1.3847389999999997;0.0054669999999994445;3.831318999999999;0.08118999999999943;0.02928500000000156;0.034935000000000827;0;0.008057000000000869
dk;incremental;True;0;-1;3;0.1359819999999985;0.0006580000000013797;0.09938299999999956;0.8200902938842773;2.7382360000000006;0.0034949999999973613;3.278076000000002;0.09626300000000043;0.031513000000000346;0.034067999999994214;0;0.01123200000000324
dk;incremental;True;0;-1;4;0.12687300000000334;0.0006249999999994316;0.09182099999999593;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.013226000000003069
dk;incremental;True;0;-1;5;0.13190999999999775;0.0005920000000045889;0.0945910000000012;1.0263640880584717;5.685797000000001;0.0034330000000011296;4.461181000000003;0.11905200000000349;0.030115000000002112;0.03376199999999585;0;0.02055100000000465
dk;incremental;True;0;-1;6;0.12064800000000275;0.0006240000000019563;0.088121000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.018608999999997877
dk;incremental;True;0;-1;7;0.13165899999999908;0.0006290000000035434;0.17811799999999778;1.0557963848114014;3.4146049999999946;0.004068000000003735;8.199742;0.09494499999999562;0.029944000000000415;0.03607100000000685;0;0.02951699999999846
dk;incremental;True;0;-1;8;0.2398859999999985;0.0006100000000088812;0.09711800000000892;1.758988380432129;12.981281999999993;0.005307999999999424;6.910407000000006;0.2240809999999982;0.030745000000010236;0.03622000000001435;0;0.02534199999999487
dk;incremental;True;0;-1;9;0.123470999999995;0.0006089999999971951;0.10014800000000434;0.7976469993591309;0.08184500000000128;0.0038339999999976726;0.00033299999999769625;0.054669000000004075;0.028397999999995704;0.03327499999998906;0;0.029414000000002716
dk;incremental;True;0;-1;10;0.12169400000000508;0.0006340000000051305;0.10069799999999418;0.8642375469207764;2.293598000000003;0.003463000000010652;5.191010000000006;0.1832019999999943;0.028917000000006965;0.03508199999998851;0;0.035594000000003234
dk;incremental;True;0;-1;11;0.12505100000001335;0.0006070000000022446;0.09519500000001813;2.759383201599121;24.305949;0.00521800000001349;15.403149000000013;0.3673640000000091;0.025610000000000355;0.03732800000000225;0;0.03668899999999553
dk;incremental;True;0;-1;12;0.11996600000000512;0.0006160000000079435;0.09448800000001256;1.0133271217346191;3.3533720000000073;0.0039410000000259515;5.564327999999989;0.09115500000001475;0.029078999999995858;0.03521499999999378;0;0.03409899999999766
dk;incremental;True;0;-1;13;0.12054399999999532;0.0006280000000060681;0.09828999999999155;3.089796543121338;34.767089999999996;0.0034169999999846823;6.675763999999987;0.5030130000000099;0.029595999999997957;0.03570699999997373;0;0.047986000000008744
dk;incremental;True;0;-1;14;0.11839400000002342;0.0006219999999643733;0.10154399999998986;1.1694109439849854;4.10872999999998;0.0028639999999882093;6.485527999999988;0.10825399999998808;0.028444000000035885;0.03560400000003483;0;0.040899999999965075
dk;incremental;True;0;-1;15;0.1244389999999953;0.0006250000000136424;0.09549299999997629;4.259255409240723;46.85825599999998;0.0033549999999991087;7.832461000000023;0.6379620000000159;0.026813000000004195;0.036003999999991265;0;0.04722700000002078
dk;incremental;True;0;-1;16;0.12517599999995355;0.0006079999999997199;0.09825599999999213;0.6531825065612793;0.23689100000001417;0.0026159999999890715;0.0001650000000381624;0.05304399999999987;0.026770999999996548;0.03725100000008297;0;0.04691399999995838
dk;incremental;True;0;-1;17;0.12274800000000141;0.0007880000000000109;0.10650400000002946;1.3001511096954346;5.586636999999996;0.0034890000000018517;8.417215999999996;0.13342099999999846;0.030016999999986638;0.0372960000000262;0;0.056930999999963205
dk;incremental;True;0;-1;18;0.12465500000001839;0.0006359999999858701;0.09735200000000077;5.432285785675049;62.198938999999996;0.0035009999999715546;9.838678000000016;0.8080679999999916;0.028685999999993328;0.03516699999994444;0;0.05372600000004013
dk;incremental;True;0;-1;19;0.2203450000000089;0.0006060000000047694;0.09981799999997065;0.760502815246582;0.058845000000019354;0.00147399999997333;0.00012499999996862243;0.047713999999984935;0.031906999999989694;0.03765299999997751;0;0.056615000000022064
dk;incremental;True;0;-1;20;0.11986899999999423;0.0006399999999757711;0.09755400000000236;1.451143503189087;7.383542000000034;0.0016239999999925203;9.925562000000014;0.14224899999999252;0.029282000000023345;0.037396000000001095;0;0.05808500000000549
dk;incremental;True;0;-1;21;0.11984699999999293;0.0006050000000072941;0.10374699999999848;0.7589235305786133;0.13783300000000054;0.0036489999999957945;0.00022400000000288856;0.05541099999999233;0.028051000000004933;0.038459999999986394;0;0.06184600000000273
dk;incremental;True;0;-1;22;0.12389300000000958;0.0006079999999997199;0.10067900000001373;0.7408170700073242;0.06929500000001099;0.0014529999999695065;0.00014199999998254498;0.047910000000001673;0.028529999999989286;0.035152999999979784;0;0.06273299999998017
dk;incremental;True;0;-1;23;0.12900899999999638;0.000569000000041342;0.09888199999988956;7.803976774215698;87.95380399999999;0.004788999999959742;25.531734999999912;1.2637379999999894;0.030346000000008644;0.038975000000050386;0;0.06855699999994158
dk;incremental;True;0;-1;24;0.2252849999999853;0.0006010000000742366;0.09383600000001024;1.9374597072601318;10.936958000000004;0.003528999999957705;12.275800000000004;0.19375400000001264;0.030888000000004467;0.03977500000007694;0;0.07583299999998871
dk;incremental;True;0;-1;25;0.1262580000000071;0.0006359999999858701;0.10027500000001055;0.7986347675323486;0.27845800000000054;0.004083000000036918;0.00022100000001046283;0.05938800000001265;0.028748000000064167;0.0404679999999189;0;0.07689700000003086
dk;incremental;True;0;-1;26;0.12715800000000854;0.0006339999999909196;0.10374100000001363;0.7915222644805908;0.09772499999996853;0.0029980000000477958;0.00017400000001543958;0.0528590000000122;0.02897500000005948;0.03806299999996554;0;0.07578100000000632
dk;incremental;True;0;-1;27;0.12829899999996996;0.0006709999998975036;0.09856600000000526;0.8683443069458008;0.19006000000001677;0.0015379999999822758;0.0001330000000052678;0.051478999999972075;0.0275810000000547;0.03827699999999368;0;0.0755100000000084
dk;incremental;True;0;-1;28;0.12357299999996485;0.0006040000000666623;0.09725300000002335;9.694542407989502;111.54307400000005;0.004598999999984699;29.639568999999938;1.46302199999991;0.027961000000004788;0.03955899999994017;0;0.08509700000001885
