infer_mode;features;train_using_all_batches;skip_training_starting_batch;batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;repairs_on_correct_cells;repairs_on_incorrect_cells;rmse
dk;incremental;True;-1;1;4;96;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;4;1.0;0;1.0;0.0
dk;incremental;True;-1;2;5;295;1.0;0.6666666666666666;1.0;0.8;1.0;4.0;6.0;4.0;5;4.0;0;4.0;0.0
dk;incremental;True;-1;3;4;296;0.5;0.2;0.5;0.28571428571428575;0.5;2.0;5.0;1.0;4;2.0;0;2.0;0.0
dk;incremental;True;-1;4;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
dk;incremental;True;-1;5;3;397;0.5;0.16666666666666666;0.5;0.25;0.5;2.0;6.0;1.0;3;2.0;0;2.0;0.0
dk;incremental;True;-1;6;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
dk;incremental;True;-1;7;3;748;0.6666666666666666;0.18181818181818182;0.6666666666666666;0.28571428571428575;0.6666666666666666;3.0;11.0;2.0;3;3.0;0;3.0;0.0
dk;incremental;True;-1;8;3;597;0.5;0.09090909090909091;0.5;0.15384615384615385;0.5;2.0;11.0;1.0;3;2.0;0;2.0;0.0
dk;incremental;True;-1;9;2;698;1.0;0.09090909090909091;1.0;0.16666666666666669;1.0;1.0;11.0;1.0;2;1.0;0;1.0;0.0
dk;incremental;True;-1;10;6;394;0.6666666666666666;0.25;0.6666666666666666;0.36363636363636365;0.6666666666666666;6.0;16.0;4.0;6;6.0;0;6.0;0.0
dk;incremental;True;-1;11;7;1795;0.6666666666666666;0.1111111111111111;0.6666666666666666;0.1904761904761905;0.6666666666666666;3.0;18.0;2.0;7;3.0;0;3.0;0.0
dk;incremental;True;-1;12;4;1496;1.0;0.10526315789473684;1.0;0.1904761904761905;1.0;2.0;19.0;2.0;4;2.0;0;2.0;0.0
dk;incremental;True;-1;13;3;1097;0.5;0.05;0.5;0.09090909090909091;0.5;2.0;20.0;1.0;3;2.0;0;2.0;0.0
dk;incremental;True;-1;14;5;1195;0.5;0.08695652173913043;0.5;0.14814814814814817;0.5;4.0;23.0;2.0;5;4.0;0;4.0;0.0
dk;incremental;True;-1;15;3;1297;0.0;0.0;0.0;0;0;2.0;24.0;0.0;3;2.0;0;2.0;0.0
dk;incremental;True;-1;16;5;1395;0.3333333333333333;0.037037037037037035;0.3333333333333333;0.06666666666666667;0.3333333333333333;3.0;27.0;1.0;5;3.0;0;3.0;0.0
dk;incremental;True;-1;17;2;1498;1.0;0.037037037037037035;1.0;0.07142857142857142;1.0;1.0;27.0;1.0;2;1.0;0;1.0;0.0
dk;incremental;True;-1;18;4;1596;0.3333333333333333;0.03333333333333333;0.3333333333333333;0.0606060606060606;0.3333333333333333;3.0;30.0;1.0;4;3.0;0;3.0;0.0
dk;incremental;True;-1;19;3;847;0.3333333333333333;0.030303030303030304;0.3333333333333333;0.05555555555555555;0.3333333333333333;3.0;33.0;1.0;3;3.0;0;3.0;0.0
