infer_mode;features;train_using_all_batches;iteration;skip_training_starting_batch;batch;load_data;load_dcs;detect_errors;setup_domain;featurize_data;setup_model;fit_model;infer_repairs;get_inferred_values;generate_repaired_dataset;repaired_table_copy_time;save_stats_time
dk;incremental;True;0;-1;1;0.10334300000000018;0.0006439999999998669;0.10815799999999998;0.5507566928863525;0.49511099999999963;0.0019850000000003476;1.1052470000000003;0.06348299999999973;0.030698000000000114;0.03591600000000117;0;0.00539699999999943
dk;incremental;True;0;-1;2;0.13831599999999966;0.0007619999999999294;0.1335120000000014;0.7239105701446533;2.1554590000000005;0.0058749999999996305;4.421097000000001;0.08084900000000061;0.03049299999999988;0.03991100000000358;0.030343999999999482;0.008251999999998816
dk;incremental;True;0;-1;3;0.131022999999999;0.0006789999999980978;0.12125100000000089;0.8146870136260986;2.908583;0.004867000000000843;3.554250999999997;0.08891099999999597;0.03075699999999415;0.04241800000000495;0.03223700000000207;0.015059999999998297
dk;incremental;True;0;-1;4;0.12948000000000093;0.0006550000000018485;0.11007399999999734;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.01329199999999986
dk;incremental;True;0;-1;5;0.13274100000000288;0.000740000000000407;0.13318999999999903;1.1599347591400146;7.219719000000005;0.004111000000001752;5.111475999999996;0.13379400000000174;0.03136199999999434;0.036816999999992106;0.03458700000000192;0.01789200000000335
dk;incremental;True;0;-1;6;0.12602400000000102;0.0006979999999998654;0.11068200000000417;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.020932999999999424
dk;incremental;True;0;-1;7;0.22065299999999866;0.0007650000000012369;0.13502400000000137;1.0064313411712646;4.601958999999994;0.0055630000000093105;10.06649200000001;0.1069829999999996;0.029741999999998825;0.03849799999998993;0.031716000000002964;0.03432300000000055
dk;incremental;True;0;-1;8;0.12622500000000514;0.0008390000000133568;0.1275410000000079;1.7658956050872803;14.781869;0.0036770000000103664;9.064222000000001;0.24055699999999547;0.030639000000007854;0.041334999999989464;0.035821999999996024;0.031119000000003894
dk;incremental;True;0;-1;9;0.12916299999999126;0.0006460000000032551;0.12064300000000117;2.576240301132202;18.63805500000001;0.004499000000009801;9.140540000000016;0.3110849999999914;0.029391000000003942;0.03968299999999658;0.0347150000000056;0.0368090000000052
dk;incremental;True;0;-1;10;0.12749299999998698;0.0005969999999990705;0.11787900000001628;1.0146422386169434;2.6416650000000175;0.004388999999974885;6.015469999999993;0.1037990000000093;0.029609999999991032;0.0468180000000018;0.037749999999988404;0.05247199999999452
