batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;repairs_on_correct_cells;repairs_on_incorrect_cells;rmse
1;4;96;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;4;1.0;0;1.0;0.0
2;5;145;1.0;0.6666666666666666;1.0;0.8;1.0;4.0;6.0;4.0;5;4.0;0;4.0;0.0
3;4;96;0.5;0.3333333333333333;0.5;0.4;0.5;2.0;3.0;1.0;4;2.0;0;2.0;0.0
4;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5;3;97;0.5;0.5;0.5;0.5;0.5;2.0;2.0;1.0;3;2.0;0;2.0;0.0
6;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
7;5;246;0.6666666666666666;0.3333333333333333;0.6666666666666666;0.4444444444444444;0.6666666666666666;3.0;6.0;2.0;5;3.0;0;3.0;0.0
8;3;97;0.5;0.5;0.5;0.5;0.5;2.0;2.0;1.0;3;2.0;0;2.0;0.0
9;2;98;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2;1.0;0;1.0;0.0
10;6;44;0.6666666666666666;0.6666666666666666;0.6666666666666666;0.6666666666666666;0.6666666666666666;6.0;6.0;4.0;6;6.0;0;6.0;0.0
11;7;194;0.3333333333333333;0.16666666666666666;0.3333333333333333;0.2222222222222222;0.3333333333333333;3.0;6.0;1.0;7;3.0;0;3.0;0.0
12;4;146;1.0;0.6666666666666666;1.0;0.8;1.0;2.0;3.0;2.0;4;2.0;0;2.0;0.0
13;3;97;0.5;0.3333333333333333;0.5;0.4;0.5;2.0;3.0;1.0;3;2.0;0;2.0;0.0
14;5;98;0.5;0.5;0.5;0.5;0.5;4.0;4.0;2.0;5;4.0;0;4.0;0.0
15;3;97;0.0;0.0;0.0;0;0;2.0;3.0;0.0;3;2.0;0;2.0;0.0
16;7;193;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;3.0;3.0;1.0;7;3.0;0;3.0;0.0
17;2;98;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2;1.0;0;1.0;0.0
18;4;96;0.3333333333333333;0.25;0.3333333333333333;0.28571428571428575;0.3333333333333333;3.0;4.0;1.0;4;3.0;0;3.0;0.0
19;3;47;0.3333333333333333;0.25;0.3333333333333333;0.28571428571428575;0.3333333333333333;3.0;4.0;1.0;3;3.0;0;3.0;0.0
20;5;45;0.8;0.8;0.8;0.8000000000000002;0.8000000000000002;5.0;5.0;4.0;5;5.0;0;5.0;0.0
21;2;98;0.0;0.0;0.0;0;0;1.0;3.0;0.0;2;1.0;0;1.0;0.0
22;3;47;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;3.0;3.0;1.0;3;3.0;0;3.0;0.0
23;4;196;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;4;1.0;0;1.0;0.0
24;6;194;1.0;0.25;1.0;0.4;1.0;1.0;4.0;1.0;6;1.0;0;1.0;0.0
25;7;193;0.75;0.75;0.75;0.75;0.75;4.0;4.0;3.0;7;4.0;0;4.0;0.0
26;3;97;1.0;0.6666666666666666;1.0;0.8;1.0;2.0;3.0;2.0;3;2.0;0;2.0;0.0
27;2;48;0;0.0;0;0;0;0.0;1.0;0.0;2;0;0;0;0.0
28;4;147;0.5;0.5;0.5;0.5;0.5;2.0;2.0;1.0;4;2.0;0;2.0;0.0
29;4;96;0.3333333333333333;0.2;0.3333333333333333;0.25;0.3333333333333333;3.0;5.0;1.0;4;3.0;0;3.0;0.0
30;12;239;0.5;0.5;0.5;0.5;0.5;4.0;4.0;2.0;5;4.0;0;4.0;0.0
31;8;192;0.6;0.42857142857142855;0.6;0.5;0.6;5.0;7.0;3.0;8;5.0;0;5.0;0.0
32;5;195;1.0;1.0;1.0;1.0;1.0;2.0;2.0;2.0;5;2.0;0;2.0;0.0
33;4;96;0.6666666666666666;0.6666666666666666;0.6666666666666666;0.6666666666666666;0.6666666666666666;3.0;3.0;2.0;4;3.0;0;3.0;0.0
34;8;92;1.0;1.0;1.0;1.0;1.0;4.0;4.0;4.0;8;4.0;0;4.0;0.0
35;11;239;0.0;0.0;0.0;0;0;3.0;4.0;0.0;3;2.0;0;2.0;0.0
36;2;50;1.0;1.0;1.0;1.0;1.0;2.0;2.0;2.0;2;2.0;0;2.0;0.0
37;5;195;0.5;0.3333333333333333;0.5;0.4;0.5;2.0;3.0;1.0;5;2.0;0;2.0;0.0
38;9;191;0.0;0.0;0.0;0;0;3.0;4.0;0.0;9;3.0;0;3.0;0.0
39;5;95;1.0;1.0;1.0;1.0;1.0;2.0;2.0;2.0;5;2.0;0;2.0;0.0
40;3;97;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3;1.0;0;1.0;0.0
41;3;97;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3;1.0;0;1.0;0.0
42;2;48;0.0;0.0;0.0;0;0;2.0;2.0;0.0;2;2.0;0;2.0;0.0
43;2;48;1.0;1.0;1.0;1.0;1.0;2.0;2.0;2.0;2;2.0;0;2.0;0.0
44;3;97;0.0;0.0;0.0;0;0;1.0;2.0;0.0;3;1.0;0;1.0;0.0
45;3;97;0.5;0.25;0.5;0.3333333333333333;0.5;2.0;4.0;1.0;3;2.0;0;2.0;0.0
46;4;96;0.6666666666666666;0.6666666666666666;0.6666666666666666;0.6666666666666666;0.6666666666666666;3.0;3.0;2.0;4;3.0;0;3.0;0.0
47;4;96;0.6666666666666666;0.6666666666666666;0.6666666666666666;0.6666666666666666;0.6666666666666666;3.0;3.0;2.0;4;3.0;0;3.0;0.0
48;2;98;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2;1.0;0;1.0;0.0
49;3;147;0;0.0;0;0;0;0.0;1.0;0.0;3;0;0;0;0.0
50;7;144;0.3333333333333333;0.25;0.3333333333333333;0.28571428571428575;0.3333333333333333;6.0;8.0;2.0;7;6.0;0;6.0;0.0
51;1;49;0;0;0;0;0;0.0;0.0;0.0;1;0;0;0;0.0
52;10;192;1.0;0.5;0.5;0.6666666666666666;0.6666666666666666;2.0;2.0;1.0;4;1.0;0;1.0;0.0
53;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
54;1;49;0.0;0.0;0.0;0;0;1.0;2.0;0.0;1;1.0;0;1.0;0.0
55;4;46;0.5;0.3333333333333333;0.5;0.4;0.5;4.0;6.0;2.0;4;4.0;0;4.0;0.0
56;4;99;0.5;0.3333333333333333;0.5;0.4;0.5;2.0;3.0;1.0;4;2.0;0;2.0;0.0
57;2;48;0.5;0.5;0.5;0.5;0.5;2.0;2.0;1.0;2;2.0;0;2.0;0.0
58;8;92;0.0;0.0;0.0;0;0;2.0;3.0;0.0;8;2.0;0;2.0;0.0
59;2;48;0;0.0;0;0;0;0.0;1.0;0.0;2;0;0;0;0.0
60;2;98;1.0;0.5;1.0;0.6666666666666666;1.0;1.0;2.0;1.0;2;1.0;0;1.0;0.0
61;6;94;1.0;0.6666666666666666;1.0;0.8;1.0;2.0;3.0;2.0;6;2.0;0;2.0;0.0
62;3;99;1.0;1.0;1.0;1.0;1.0;2.0;2.0;2.0;3;2.0;0;2.0;0.0
63;7;293;0.5;0.2857142857142857;0.5;0.36363636363636365;0.5;4.0;7.0;2.0;7;4.0;0;4.0;0.0
64;6;145;0.5;0.25;0.5;0.3333333333333333;0.5;2.0;4.0;1.0;6;2.0;0;2.0;0.0
65;4;96;1.0;0.25;1.0;0.4;1.0;1.0;4.0;1.0;4;1.0;0;1.0;0.0
66;2;98;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2;1.0;0;1.0;0.0
67;6;94;0.75;0.6;0.75;0.6666666666666665;0.75;4.0;5.0;3.0;6;4.0;0;4.0;0.0
68;4;96;1.0;0.75;1.0;0.8571428571428571;1.0;3.0;4.0;3.0;4;3.0;0;3.0;0.0
69;2;98;0.0;0.0;0.0;0;0;1.0;2.0;0.0;2;1.0;0;1.0;0.0
70;4;96;1.0;0.4;1.0;0.5714285714285715;1.0;2.0;5.0;2.0;4;2.0;0;2.0;0.0
71;4;96;0.5;0.3333333333333333;0.5;0.4;0.5;2.0;3.0;1.0;4;2.0;0;2.0;0.0
72;1;50;0.0;0.0;0.0;0;0;1.0;1.0;0.0;1;1.0;0;1.0;0.0
73;12;192;0.0;0.0;0.0;0;0;2.0;3.0;0.0;2;1.0;0;1.0;0.0
74;4;96;0.3333333333333333;0.25;0.3333333333333333;0.28571428571428575;0.3333333333333333;3.0;4.0;1.0;4;3.0;0;3.0;0.0
75;3;147;0;0;0;0;0;0.0;0.0;0.0;3;0;0;0;0.0
76;4;146;1.0;1.0;1.0;1.0;1.0;2.0;2.0;2.0;4;2.0;0;2.0;0.0
77;2;48;0;0;0;0;0;0.0;0.0;0.0;2;0;0;0;0.0
78;2;48;0.5;0.3333333333333333;0.5;0.4;0.5;2.0;3.0;1.0;2;2.0;0;2.0;0.0
79;5;95;0.6666666666666666;0.6666666666666666;0.6666666666666666;0.6666666666666666;0.6666666666666666;3.0;3.0;2.0;5;3.0;0;3.0;0.0
80;5;195;1.0;1.0;1.0;1.0;1.0;2.0;2.0;2.0;5;2.0;0;2.0;0.0
