batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;repairs_on_correct_cells;repairs_on_incorrect_cells;rmse
1;6;34;0;0.0;0.0;0;0;1.0;8.0;0.0;2;0;0;0;0.0
2;5;56;0;0.0;0.0;0;0;1.0;13.0;0.0;0;0;0;0;0.0
3;35;208;0;0.0;0.0;0;0;5.0;16.0;0.0;4;0;0;0;0.0
4;91;438;0.8571428571428571;0.25;0.4;0.3870967741935483;0.5454545454545455;15.0;24.0;6.0;12;7.0;1.0;6.0;0.0
5;102;553;1.0;0.17391304347826086;0.25;0.29629629629629634;0.4;16.0;23.0;4.0;7;4.0;0;4.0;0.0
6;118;791;1.0;0.20833333333333334;0.2777777777777778;0.3448275862068966;0.4347826086956522;18.0;24.0;5.0;10;5.0;0;5.0;0.0
7;123;654;1.0;0.23076923076923078;0.3333333333333333;0.375;0.5;18.0;26.0;6.0;9;6.0;0;6.0;0.0
8;114;936;0;0.0;0.0;0;0;16.0;24.0;0.0;7;0;0;0;0.0
9;144;1131;1.0;0.13793103448275862;0.19047619047619047;0.2424242424242424;0.32;21.0;29.0;4.0;5;4.0;0;4.0;0.0
10;155;1156;1.0;0.17857142857142858;0.25;0.30303030303030304;0.4;20.0;28.0;5.0;12;5.0;0;5.0;0.0
11;156;1066;0.8461538461538461;0.3793103448275862;0.5;0.5238095238095238;0.6285714285714286;22.0;29.0;11.0;13;13.0;2.0;11.0;0.0
12;126;1339;1.0;0.2692307692307692;0.4117647058823529;0.42424242424242425;0.5833333333333334;17.0;26.0;7.0;9;7.0;0;7.0;0.0
13;136;1444;1.0;0.26666666666666666;0.4444444444444444;0.4210526315789474;0.6153846153846153;18.0;30.0;8.0;10;8.0;0;8.0;0.0
14;76;1348;1.0;0.19230769230769232;0.4166666666666667;0.32258064516129037;0.5882352941176471;12.0;26.0;5.0;7;5.0;0;5.0;0.0
15;71;1449;1.0;0.1111111111111111;0.25;0.19999999999999998;0.4;12.0;27.0;3.0;6;3.0;0;3.0;0.0
16;117;2003;1.0;0.25;0.47058823529411764;0.4;0.6399999999999999;17.0;32.0;8.0;9;8.0;0;8.0;0.0
17;111;2471;1.0;0.27586206896551724;0.6153846153846154;0.4324324324324324;0.761904761904762;13.0;29.0;8.0;11;8.0;0;8.0;0.0
18;57;1952;1.0;0.17391304347826086;0.5714285714285714;0.29629629629629634;0.7272727272727273;7.0;23.0;4.0;4;4.0;0;4.0;0.0
19;45;1488;1.0;0.20833333333333334;0.8333333333333334;0.3448275862068966;0.9090909090909091;6.0;24.0;5.0;6;5.0;0;5.0;0.0
20;76;1943;0.8;0.18181818181818182;0.8;0.2962962962962963;0.8000000000000002;5.0;22.0;4.0;7;5.0;1.0;4.0;0.0
21;74;1625;1.0;0.2;0.8333333333333334;0.33333333333333337;0.9090909090909091;6.0;25.0;5.0;7;5.0;0;5.0;0.0
22;134;2987;1.0;0.28125;0.8181818181818182;0.43902439024390244;0.9;11.0;32.0;9.0;10;9.0;0;9.0;0.0
23;67;2018;0.7142857142857143;0.18518518518518517;0.7142857142857143;0.2941176470588235;0.7142857142857143;7.0;27.0;5.0;10;7.0;1.0;6.0;0.0
24;76;2098;1.0;0.14285714285714285;0.6666666666666666;0.25;0.8;6.0;28.0;4.0;6;4.0;0;4.0;0.0
25;117;2403;1.0;0.22580645161290322;0.7777777777777778;0.3684210526315789;0.8750000000000001;9.0;31.0;7.0;10;7.0;0;7.0;0.0
26;80;2015;1.0;0.1111111111111111;0.75;0.19999999999999998;0.8571428571428571;4.0;27.0;3.0;6;3.0;0;3.0;0.0
27;154;3379;0.8571428571428571;0.1875;0.6;0.30769230769230765;0.7058823529411764;10.0;32.0;6.0;9;7.0;1.0;6.0;0.0
28;177;3221;1.0;0.2571428571428571;1.0;0.40909090909090906;1.0;9.0;35.0;9.0;10;9.0;0;9.0;0.0
29;76;1685;1.0;0.0967741935483871;1.0;0.17647058823529413;1.0;3.0;31.0;3.0;3;3.0;0;3.0;0.0
30;200;3160;0.875;0.19444444444444445;1.0;0.3181818181818182;0.9333333333333333;7.0;36.0;7.0;10;8.0;1.0;7.0;0.0
31;81;2724;1.0;0.1388888888888889;1.0;0.24390243902439027;1.0;5.0;36.0;5.0;6;5.0;0;5.0;0.0
32;62;1234;1.0;0.08571428571428572;1.0;0.15789473684210528;1.0;3.0;35.0;3.0;3;3.0;0;3.0;0.0
33;213;3797;1.0;0.18181818181818182;0.8888888888888888;0.3076923076923077;0.9411764705882353;9.0;44.0;8.0;12;8.0;0;8.0;0.0
34;153;3613;0.8333333333333334;0.1282051282051282;0.625;0.2222222222222222;0.7142857142857143;8.0;39.0;5.0;9;6.0;1.0;5.0;0.0
35;90;2022;0.4;0.05405405405405406;0.3333333333333333;0.09523809523809523;0.3636363636363636;6.0;37.0;2.0;5;5.0;3.0;2.0;0.0
36;116;1709;0.6666666666666666;0.046511627906976744;1.0;0.08695652173913045;0.8;2.0;43.0;2.0;5;3.0;1.0;2.0;0.0
37;70;2902;0.4;0.045454545454545456;0.25;0.0816326530612245;0.3076923076923077;8.0;44.0;2.0;7;5.0;3.0;2.0;0.0
38;150;3660;0.8571428571428571;0.11320754716981132;0.42857142857142855;0.2;0.5714285714285714;14.0;53.0;6.0;11;7.0;1.0;6.0;0.0
39;122;3794;1.0;0.12962962962962962;0.875;0.22950819672131148;0.9333333333333333;8.0;54.0;7.0;8;7.0;0;7.0;0.0
40;212;4218;1.0;0.11320754716981132;1.0;0.2033898305084746;1.0;6.0;53.0;6.0;8;6.0;0;6.0;0.0
41;84;3621;1.0;0.07692307692307693;1.0;0.14285714285714288;1.0;4.0;52.0;4.0;4;4.0;0;4.0;0.0
42;80;4134;1.0;0.05555555555555555;0.6;0.10526315789473684;0.7499999999999999;5.0;54.0;3.0;5;3.0;0;3.0;0.0
43;93;3803;1.0;0.07547169811320754;1.0;0.14035087719298245;1.0;4.0;53.0;4.0;6;4.0;0;4.0;0.0
44;72;3455;1.0;0.07692307692307693;1.0;0.14285714285714288;1.0;4.0;52.0;4.0;4;4.0;0;4.0;0.0
45;92;2162;0.75;0.058823529411764705;0.25;0.10909090909090909;0.375;12.0;51.0;3.0;6;4.0;1.0;3.0;0.0
46;66;2706;0.5;0.0196078431372549;1.0;0.03773584905660377;0.6666666666666666;1.0;51.0;1.0;4;2.0;1.0;1.0;0.0
47;175;5018;0.8333333333333334;0.08928571428571429;0.3333333333333333;0.16129032258064516;0.47619047619047616;15.0;56.0;5.0;7;6.0;1.0;5.0;0.0
48;163;4166;1.0;0.08771929824561403;1.0;0.16129032258064516;1.0;5.0;57.0;5.0;6;5.0;0;5.0;0.0
49;69;2881;1.0;0.037037037037037035;1.0;0.07142857142857142;1.0;2.0;54.0;2.0;3;2.0;0;2.0;0.0
50;187;4855;1.0;0.0847457627118644;1.0;0.15625;1.0;5.0;59.0;5.0;5;5.0;0;5.0;0.0
51;46;3026;1.0;0.01818181818181818;0.5;0.03571428571428572;0.6666666666666666;2.0;55.0;1.0;1;1.0;0;1.0;0.0
52;170;4529;1.0;0.05263157894736842;0.75;0.1;0.8571428571428571;4.0;57.0;3.0;3;3.0;0;3.0;0.0
53;271;6667;1.0;0.11475409836065574;0.875;0.2058823529411765;0.9333333333333333;8.0;61.0;7.0;9;7.0;0;7.0;0.0
54;210;5748;1.0;0.09836065573770492;0.8571428571428571;0.1791044776119403;0.923076923076923;7.0;61.0;6.0;8;6.0;0;6.0;0.0
55;233;4200;0.6666666666666666;0.06666666666666667;0.25;0.1212121212121212;0.36363636363636365;16.0;60.0;4.0;7;6.0;2.0;4.0;0.0
56;156;4341;0.75;0.04918032786885246;0.1875;0.0923076923076923;0.3;16.0;61.0;3.0;4;4.0;1.0;3.0;0.0
57;90;3904;0.5;0.01639344262295082;0.06666666666666667;0.031746031746031744;0.11764705882352941;15.0;61.0;1.0;2;2.0;1.0;1.0;0.0
58;250;5010;0.75;0.046875;0.6;0.08823529411764706;0.6666666666666665;5.0;64.0;3.0;5;4.0;1.0;3.0;0.0
59;242;6277;0.8333333333333334;0.07352941176470588;0.7142857142857143;0.13513513513513514;0.7692307692307692;7.0;68.0;5.0;6;6.0;1.0;5.0;0.0
60;123;4096;1.0;0.030303030303030304;0.5;0.05882352941176471;0.6666666666666666;4.0;66.0;2.0;3;2.0;0;2.0;0.0
61;231;6504;1.0;0.08450704225352113;0.75;0.15584415584415587;0.8571428571428571;8.0;71.0;6.0;7;6.0;0;6.0;0.0
62;275;4706;0.8;0.05555555555555555;0.5714285714285714;0.10389610389610389;0.6666666666666666;7.0;72.0;4.0;5;5.0;1.0;4.0;0.0
63;172;5522;1.0;0.04054054054054054;0.6;0.07792207792207792;0.7499999999999999;5.0;74.0;3.0;3;3.0;0;3.0;0.0
64;390;7351;1.0;0.1;0.8;0.18181818181818182;0.888888888888889;10.0;80.0;8.0;10;8.0;0;8.0;0.0
65;302;7555;1.0;0.07792207792207792;0.75;0.14457831325301204;0.8571428571428571;8.0;77.0;6.0;6;6.0;0;6.0;0.0
66;288;5674;0.8333333333333334;0.06578947368421052;0.23809523809523808;0.12195121951219512;0.37037037037037035;21.0;76.0;5.0;6;6.0;1.0;5.0;0.0
67;344;7748;0.8333333333333334;0.0625;0.22727272727272727;0.11627906976744186;0.35714285714285715;22.0;80.0;5.0;8;6.0;1.0;5.0;0.0
68;544;8402;0.875;0.0875;0.7777777777777778;0.15909090909090906;0.823529411764706;9.0;80.0;7.0;10;8.0;1.0;7.0;0.0
69;143;5405;1.0;0.02631578947368421;0.5;0.05128205128205127;0.6666666666666666;4.0;76.0;2.0;3;2.0;0;2.0;0.0
70;406;8734;0.75;0.07407407407407407;0.75;0.1348314606741573;0.75;8.0;81.0;6.0;10;8.0;2.0;6.0;0.0
71;460;7415;1.0;0.08433734939759036;0.6363636363636364;0.15555555555555556;0.7777777777777778;11.0;83.0;7.0;7;7.0;0;7.0;0.0
72;324;6902;0.8571428571428571;0.07228915662650602;0.6666666666666666;0.13333333333333333;0.75;9.0;83.0;6.0;8;7.0;1.0;6.0;0.0
73;291;9257;1.0;0.060240963855421686;0.625;0.11363636363636363;0.7692307692307693;8.0;83.0;5.0;5;5.0;0;5.0;0.0
74;387;7082;1.0;0.04819277108433735;0.5714285714285714;0.09195402298850576;0.7272727272727273;7.0;83.0;4.0;5;4.0;0;4.0;0.0
75;200;6567;0.5;0.012345679012345678;0.05;0.024096385542168672;0.09090909090909091;20.0;81.0;1.0;3;2.0;1.0;1.0;0.0
76;304;8080;1.0;0.047058823529411764;0.5714285714285714;0.0898876404494382;0.7272727272727273;7.0;85.0;4.0;4;4.0;0;4.0;0.0
77;433;8862;1.0;0.06818181818181818;0.6;0.1276595744680851;0.7499999999999999;10.0;88.0;6.0;7;6.0;0;6.0;0.0
78;337;8278;1.0;0.046511627906976744;0.5714285714285714;0.08888888888888888;0.7272727272727273;7.0;86.0;4.0;6;4.0;0;4.0;0.0
79;318;7607;0.75;0.03529411764705882;0.13043478260869565;0.06741573033707865;0.22222222222222218;23.0;85.0;3.0;4;4.0;1.0;3.0;0.0
80;320;7757;1.0;0.034482758620689655;0.5;0.06666666666666667;0.6666666666666666;6.0;87.0;3.0;5;3.0;0;3.0;0.0
81;397;10170;1.0;0.06593406593406594;0.6666666666666666;0.12371134020618557;0.8;9.0;91.0;6.0;7;6.0;0;6.0;0.0
82;519;9394;1.0;0.06666666666666667;0.21428571428571427;0.125;0.35294117647058826;28.0;90.0;6.0;7;6.0;0;6.0;0.0
83;460;7878;1.0;0.056179775280898875;0.625;0.10638297872340426;0.7692307692307693;8.0;89.0;5.0;6;5.0;0;5.0;0.0
84;512;13037;0.8;0.045454545454545456;0.5714285714285714;0.08602150537634409;0.6666666666666666;7.0;88.0;4.0;5;5.0;1.0;4.0;0.0
85;315;8211;1.0;0.033707865168539325;0.42857142857142855;0.06521739130434782;0.6;7.0;89.0;3.0;4;3.0;0;3.0;0.0
86;554;8967;1.0;0.054945054945054944;0.5555555555555556;0.10416666666666666;0.7142857142857143;9.0;91.0;5.0;6;5.0;0;5.0;0.0
87;572;9075;1.0;0.053763440860215055;0.5555555555555556;0.10204081632653061;0.7142857142857143;9.0;93.0;5.0;6;5.0;0;5.0;0.0
88;469;8367;0.6;0.03260869565217391;0.12;0.06185567010309278;0.19999999999999998;25.0;92.0;3.0;6;5.0;2.0;3.0;0.0
89;573;9279;0.875;0.07142857142857142;0.2413793103448276;0.1320754716981132;0.3783783783783784;29.0;98.0;7.0;8;8.0;1.0;7.0;0.0
90;282;6946;1.0;0.02127659574468085;0.4;0.04166666666666667;0.5714285714285715;5.0;94.0;2.0;2;2.0;0;2.0;0.0
91;359;8821;1.0;0.020618556701030927;0.3333333333333333;0.04040404040404041;0.5;6.0;97.0;2.0;4;2.0;0;2.0;0.0
92;511;6902;1.0;0.05;0.5555555555555556;0.09523809523809523;0.7142857142857143;9.0;100.0;5.0;5;5.0;0;5.0;0.0
93;478;7947;0.7142857142857143;0.04950495049504951;0.17857142857142858;0.09259259259259259;0.2857142857142857;28.0;101.0;5.0;8;7.0;2.0;5.0;0.0
94;585;10752;1.0;0.0673076923076923;0.7;0.12612612612612611;0.8235294117647058;10.0;104.0;7.0;8;7.0;0;7.0;0.0
95;547;10982;0.75;0.03;0.10714285714285714;0.05769230769230769;0.1875;28.0;100.0;3.0;4;4.0;1.0;3.0;0.0
96;448;10155;1.0;0.0392156862745098;0.5714285714285714;0.07547169811320754;0.7272727272727273;7.0;102.0;4.0;6;4.0;0;4.0;0.0
97;575;11179;1.0;0.0392156862745098;0.5714285714285714;0.07547169811320754;0.7272727272727273;7.0;102.0;4.0;6;4.0;0;4.0;0.0
98;437;11358;0.75;0.029411764705882353;0.10344827586206896;0.056603773584905655;0.18181818181818182;29.0;102.0;3.0;5;4.0;1.0;3.0;0.0
99;542;8435;1.0;0.02912621359223301;0.42857142857142855;0.05660377358490566;0.6;7.0;103.0;3.0;4;3.0;0;3.0;0.0
100;618;8452;0.8;0.03773584905660377;0.12903225806451613;0.07207207207207207;0.2222222222222222;31.0;106.0;4.0;7;5.0;1.0;4.0;0.0
