infer_mode;features;train_using_all_batches;skip_training_starting_batch;batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;repairs_on_correct_cells;repairs_on_incorrect_cells;rmse
dk;incremental;True;-1;1;6;34;0;0.0;0.0;0;0;1.0;8.0;0.0;2;0;0;0;0.0
dk;incremental;True;-1;2;1;19;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
dk;incremental;True;-1;3;14;128;0.0;0.0;0.0;0;0;1.0;3.0;0.0;5;1.0;1.0;0;0.0
dk;incremental;True;-1;4;36;330;1.0;0.625;1.0;0.7692307692307693;1.0;5.0;8.0;5.0;9;5.0;0;5.0;0.0
dk;incremental;True;-1;5;31;452;1.0;0.25;0.25;0.4;0.4;4.0;4.0;1.0;4;1.0;0;1.0;0.0
dk;incremental;True;-1;6;21;432;1.0;0.4;0.5;0.5714285714285715;0.6666666666666666;4.0;5.0;2.0;7;2.0;0;2.0;0.0
dk;incremental;True;-1;7;23;641;1.0;0.42857142857142855;0.6;0.6;0.7499999999999999;5.0;7.0;3.0;6;3.0;0;3.0;0.0
dk;incremental;True;-1;8;27;542;1.0;0.5;1.0;0.6666666666666666;1.0;2.0;4.0;2.0;9;2.0;0;2.0;0.0
dk;incremental;True;-1;9;19;704;1.0;0.4;0.5;0.5714285714285715;0.6666666666666666;4.0;5.0;2.0;3;2.0;0;2.0;0.0
dk;incremental;True;-1;10;26;352;1.0;0.3333333333333333;0.3333333333333333;0.5;0.5;3.0;3.0;1.0;8;1.0;0;1.0;0.0
dk;incremental;True;-1;11;35;1070;1.0;0.3333333333333333;0.3333333333333333;0.5;0.5;6.0;6.0;2.0;2;2.0;0;2.0;0.0
dk;incremental;True;-1;12;30;437;1.0;0.6666666666666666;0.8;0.8;0.888888888888889;5.0;6.0;4.0;6;4.0;0;4.0;0.0
dk;incremental;True;-1;13;42;701;1.0;0.45454545454545453;0.625;0.625;0.7692307692307693;8.0;11.0;5.0;7;5.0;0;5.0;0.0
dk;incremental;True;-1;14;30;514;1.0;0.25;0.5;0.4;0.6666666666666666;2.0;4.0;1.0;3;1.0;0;1.0;0.0
dk;incremental;True;-1;15;31;555;1.0;0.6666666666666666;0.8;0.8;0.888888888888889;5.0;6.0;4.0;7;4.0;0;4.0;0.0
dk;incremental;True;-1;16;38;1036;1.0;0.625;0.7142857142857143;0.7692307692307693;0.8333333333333333;7.0;8.0;5.0;6;5.0;0;5.0;0.0
dk;incremental;True;-1;17;42;477;1.0;0.4;0.5;0.5714285714285715;0.6666666666666666;4.0;5.0;2.0;5;2.0;0;2.0;0.0
dk;incremental;True;-1;18;36;337;1.0;0.5;1.0;0.6666666666666666;1.0;1.0;2.0;1.0;1;1.0;0;1.0;0.0
dk;incremental;True;-1;19;29;713;1.0;0.4;0.6666666666666666;0.5714285714285715;0.8;3.0;5.0;2.0;3;2.0;0;2.0;0.0
dk;incremental;True;-1;20;37;567;1.0;1.0;1.0;1.0;1.0;3.0;3.0;3.0;5;3.0;0;3.0;0.0
dk;incremental;True;-1;21;39;591;1.0;0.6666666666666666;0.8;0.8;0.888888888888889;5.0;6.0;4.0;6;4.0;0;4.0;0.0
dk;incremental;True;-1;22;54;417;1.0;0.5833333333333334;0.7777777777777778;0.7368421052631579;0.8750000000000001;9.0;12.0;7.0;8;7.0;0;7.0;0.0
dk;incremental;True;-1;23;26;1091;1.0;0.75;1.0;0.8571428571428571;1.0;3.0;4.0;3.0;6;3.0;0;3.0;0.0
dk;incremental;True;-1;24;43;687;1.0;1.0;1.0;1.0;1.0;5.0;5.0;5.0;7;5.0;0;5.0;0.0
dk;incremental;True;-1;25;34;238;1.0;0.8571428571428571;1.0;0.923076923076923;1.0;6.0;7.0;6.0;9;6.0;0;6.0;0.0
dk;incremental;True;-1;26;27;249;1.0;1.0;1.0;1.0;1.0;3.0;3.0;3.0;6;3.0;0;3.0;0.0
