infer_mode;features;train_using_all_batches;iteration;skip_training_starting_batch;batch;load_data;load_dcs;detect_errors;setup_domain;featurize_data;setup_model;fit_model;infer_repairs;get_inferred_values;generate_repaired_dataset;repaired_table_copy_time;save_stats_time
dk;incremental;True;0;-1;1;0.10904499999999961;0.002886999999999862;0.13547600000000015;0.46088600158691406;0.08294600000000063;0.0023860000000004433;0.4124060000000007;0.0507200000000001;0.02857699999999941;0.033328000000000024;0;0.0033330000000004745
dk;incremental;True;0;-1;2;0.1373370000000005;0.0029570000000003205;0.15957100000000057;0.8007853031158447;0.0924820000000004;0.0038560000000007477;0.7420289999999987;0.04583200000000076;0.028064999999999785;0.03275900000000043;0.03523500000000013;0.0051349999999992235
dk;incremental;True;0;-1;3;0.13787699999999958;0.002937999999998553;0.17197400000000052;0.6790945529937744;0.37773699999999977;0.0057709999999993045;3.2388140000000014;0.07197099999999779;0.031121999999999872;0.0511020000000002;0.035130000000002326;0.006857000000000113
dk;incremental;True;0;-1;4;0.1312749999999987;0.0029420000000008883;0.18404800000000066;0.8415536880493164;0.8325259999999979;0.007943999999998397;5.8334730000000015;0.09727499999999978;0.031770999999999106;0.07936999999999728;0.03663700000000247;0.007804000000000144
dk;incremental;True;0;-1;5;0.13052100000000166;0.0029690000000002215;0.18168700000000015;0.855750322341919;1.3087280000000021;0.012846000000003244;7.504320999999997;0.10666200000000003;0.030697999999993897;0.09400899999999979;0.03584599999999938;0.008442000000002281
dk;incremental;True;0;-1;6;0.12958100000000172;0.0029080000000050177;0.18278899999999965;0.904517412185669;1.726193000000002;0.013119000000003211;9.305272000000002;0.11442499999999711;0.030160000000002185;0.10870599999999797;0.036560999999998955;0.010559000000000651
dk;incremental;True;0;-1;7;0.1339490000000012;0.002785000000002924;0.18356499999999443;0.9676015377044678;2.411042000000009;0.009627999999992198;12.012233999999992;0.12010999999999683;0.029736999999997238;0.10861700000000951;0.035901999999992995;0.01101099999999633
dk;incremental;True;0;-1;8;0.13921299999999803;0.0030220000000014124;0.19448100000001034;1.0512182712554932;2.2748129999999946;0.012410000000002697;13.709960999999993;0.12294399999998973;0.028394000000005803;0.12826200000000654;0.03669399999999712;0.012453000000007819
dk;incremental;True;0;-1;9;0.12251700000000199;0.0028520000000042955;0.1773239999999987;1.2752225399017334;3.4592719999999986;0.013174000000006458;16.401153000000008;0.12809599999999932;0.031156000000009954;0.12915399999998556;0.03511300000000972;0.01462399999999775
dk;incremental;True;0;-1;10;0.13206700000000637;0.0028569999999916718;0.1769039999999933;1.0836265087127686;2.639645999999999;0.007472000000007029;13.030651000000006;0.09413599999999178;0.029970000000020036;0.1062700000000234;0.03643899999997302;0.012526999999977306
dk;incremental;True;0;-1;11;0.13384199999998714;0.0028850000000204545;0.17300199999999677;1.1261847019195557;2.176052999999996;0.006382000000002108;16.424086000000017;0.10675999999997998;0.030630000000002156;0.08973399999999288;0.036418999999995094;0.014350000000007412
dk;incremental;True;0;-1;12;0.13829400000000192;0.0028990000000135296;0.16902199999998402;1.2078330516815186;2.867633999999981;0.0076420000000041455;19.22468699999999;0.12408600000000547;0.029044999999996435;0.06974400000001424;0.03654199999999719;0.013857000000001563
dk;incremental;True;0;-1;13;0.13730300000000284;0.0029670000000123764;0.1779860000000042;1.415525197982788;2.9627780000000143;0.008729999999985694;23.739514000000014;0.12268199999999752;0.029482999999999038;0.10489300000000412;0.03686300000001097;0.016227999999983922
dk;incremental;True;0;-1;14;0.1333609999999794;0.0028760000000147556;0.17130399999999213;1.4713547229766846;3.3571560000000034;0.009891999999979362;24.624652999999995;0.12599999999997635;0.030764999999973952;0.07435399999997117;0.03760699999997996;0.017689000000018495
dk;incremental;True;0;-1;15;0.13474999999999682;0.003030000000023847;0.15905099999997674;1.4319179058074951;3.293283000000031;0.00869599999998627;17.117918999999972;0.09996399999999994;0.031922000000008666;0.06799000000000888;0.03685500000000275;0.017455999999981486
dk;incremental;True;0;-1;16;0.12988999999998896;0.0028290000000197324;0.1717310000000225;1.5839996337890625;3.905329999999992;0.01104099999997743;27.988929999999982;0.11460299999998824;0.02913699999999153;0.08415400000006912;0.03760099999999511;0.016586999999958607
dk;incremental;True;0;-1;17;0.13587000000001126;0.0031020000000125947;0.17567900000000236;1.6774051189422607;5.593532000000039;0.011943000000030679;29.52664299999998;0.14305699999999888;0.04145100000005186;0.0891990000000078;0.038679000000001906;0.019123999999976604
dk;incremental;True;0;-1;18;0.12791499999997313;0.002904999999998381;0.15406200000001036;1.5403871536254883;3.761491000000035;0.00779499999998734;26.302734999999984;0.11992600000002085;0.03100699999998824;0.06586300000003575;0.03766699999999901;0.018304000000000542
dk;incremental;True;0;-1;19;0.1388900000000035;0.003114999999979773;0.17302599999999302;1.5498361587524414;3.5767779999999902;0.008403999999984535;22.608194999999967;0.12866100000002234;0.034694999999999254;0.06353500000000167;0.04011800000000676;0.020743999999979224
dk;incremental;True;0;-1;20;0.13856500000002825;0.0030330000000162727;0.1740970000000175;1.6550490856170654;3.7971559999999727;0.00970599999999422;22.774618999999973;0.13344000000000733;0.03172600000004877;0.07839999999998781;0.03706399999998666;0.021016000000031454
dk;incremental;True;0;-1;21;0.13178599999997687;0.0029120000000375512;0.17548800000002984;0.795264720916748;0.9264739999999847;0.007858999999996286;5.213070999999957;0.08549999999996771;0.031250999999997475;0.10173199999996996;0.04329500000000053;0.021507000000042353
dk;incremental;True;0;-1;22;0.13432399999999234;0.0028759999999579122;0.18134900000001153;1.7900009155273438;4.535789999999963;0.009970000000009804;35.74954300000002;0.1430759999999509;0.03029100000003382;0.09257700000000568;0.03839600000003429;0.020253000000025168
dk;incremental;True;0;-1;23;0.13920599999994465;0.0030270000000882646;0.1722500000000764;1.7305514812469482;5.2836090000000695;0.0086069999999836;22.277954000000022;0.11835599999994884;0.029496999999992113;0.08479000000011183;0.040400999999974374;0.019921999999951367
dk;incremental;True;0;-1;24;0.14133000000003904;0.0027199999999538704;0.17339100000003782;1.2944819927215576;2.5315219999999954;0.008793999999966218;17.026683999999932;0.10738200000002962;0.02979199999992943;0.08364400000004935;0.03976199999999608;0.020983000000001084
dk;incremental;True;0;-1;25;0.12863200000003872;0.0029379999999719075;0.17044800000007854;1.5907824039459229;4.288545999999997;0.007539999999949032;21.476180999999997;0.119371000000001;0.03091400000005251;0.10405400000001919;0.03901400000006561;0.02008499999999458
dk;incremental;True;0;-1;26;0.13290399999993951;0.0028969999999617357;0.1725860000000239;1.0964810848236084;1.8205749999999625;0.00659300000006624;11.106286999999952;0.08936100000005354;0.029627000000004955;0.07703499999990981;0.0386590000000524;0.022306000000071435
dk;incremental;True;0;-1;27;0.13150099999995746;0.0028159999999388674;0.18603199999995468;1.9805614948272705;5.545750999999996;0.01093100000002778;35.48259800000005;0.14766099999997095;0.030462000000056833;0.11997699999994893;0.04045800000005784;0.018947000000025582
dk;incremental;True;0;-1;28;0.12954400000000987;0.0028949999999667853;0.18585200000006807;1.0723037719726562;2.382844999999975;0.009585000000015498;12.76207199999999;0.11556399999994937;0.0292180000000144;0.11503200000015568;0.03974499999992531;0.02149599999995644
dk;incremental;True;0;-1;29;0.13795199999992747;0.002920000000017353;0.17243099999996048;1.8020799160003662;5.2089939999999615;0.007310000000074979;28.580270999999925;0.12129800000002433;0.027452000000039334;0.0914589999998725;0.04107099999998809;0.018851000000040585
