infer_mode;features;train_using_all_batches;skip_training_starting_batch;batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;repairs_on_correct_cells;repairs_on_incorrect_cells;rmse
dk;incremental;True;-1;1;6;34;0;0.0;0.0;0;0;1.0;8.0;0.0;2;0;0;0;0.0
dk;incremental;True;-1;2;5;56;0;0.0;0.0;0;0;1.0;13.0;0.0;0;0;0;0;0.0
dk;incremental;True;-1;3;35;208;0;0.0;0.0;0;0;5.0;16.0;0.0;4;0;0;0;0.0
dk;incremental;True;-1;4;91;438;0.8571428571428571;0.25;0.4;0.3870967741935483;0.5454545454545455;15.0;24.0;6.0;12;7.0;1.0;6.0;0.0
dk;incremental;True;-1;5;112;365;0.6666666666666666;0.17391304347826086;0.23529411764705882;0.27586206896551724;0.3478260869565218;17.0;23.0;4.0;9;6.0;1.0;5.0;0.0
dk;incremental;True;-1;6;132;780;0.75;0.12;0.15;0.20689655172413793;0.24999999999999997;20.0;25.0;3.0;9;4.0;1.0;3.0;0.0
dk;incremental;True;-1;7;147;845;0.8571428571428571;0.2;0.2857142857142857;0.32432432432432434;0.42857142857142855;21.0;30.0;6.0;10;7.0;1.0;6.0;0.0
dk;incremental;True;-1;8;146;986;0.8333333333333334;0.1724137931034483;0.22727272727272727;0.28571428571428575;0.35714285714285715;22.0;29.0;5.0;13;6.0;1.0;5.0;0.0
dk;incremental;True;-1;9;138;808;0.7272727272727273;0.26666666666666666;0.34782608695652173;0.3902439024390244;0.4705882352941176;23.0;30.0;8.0;12;11.0;3.0;8.0;0.0
dk;incremental;True;-1;10;107;1303;0.8333333333333334;0.17857142857142858;0.3125;0.29411764705882354;0.45454545454545453;16.0;28.0;5.0;13;6.0;1.0;5.0;0.0
dk;incremental;True;-1;11;96;715;0.9;0.3;0.5;0.45000000000000007;0.6428571428571429;18.0;30.0;9.0;10;10.0;1.0;9.0;0.0
dk;incremental;True;-1;12;114;1344;0.7777777777777778;0.25;0.3684210526315789;0.3783783783783784;0.5;19.0;28.0;7.0;11;9.0;2.0;7.0;0.0
dk;incremental;True;-1;13;124;999;1.0;0.3235294117647059;0.6111111111111112;0.48888888888888893;0.7586206896551725;18.0;34.0;11.0;13;11.0;0;11.0;0.0
dk;incremental;True;-1;14;54;1097;1.0;0.14814814814814814;0.5;0.25806451612903225;0.6666666666666666;8.0;27.0;4.0;6;4.0;0;4.0;0.0
dk;incremental;True;-1;15;51;741;1.0;0.13793103448275862;0.4444444444444444;0.2424242424242424;0.6153846153846153;9.0;29.0;4.0;7;4.0;0;4.0;0.0
dk;incremental;True;-1;16;101;1398;0.875;0.21212121212121213;0.3888888888888889;0.3414634146341463;0.5384615384615385;18.0;33.0;7.0;9;8.0;1.0;7.0;0.0
dk;incremental;True;-1;17;79;1672;1.0;0.1875;0.6;0.3157894736842105;0.7499999999999999;10.0;32.0;6.0;9;6.0;0;6.0;0.0
dk;incremental;True;-1;18;34;891;1.0;0.14285714285714285;0.8;0.25;0.888888888888889;5.0;28.0;4.0;4;4.0;0;4.0;0.0
dk;incremental;True;-1;19;40;1115;0.75;0.10344827586206896;0.5;0.18181818181818182;0.6;6.0;29.0;3.0;5;4.0;1.0;3.0;0.0
dk;incremental;True;-1;20;64;1158;0.75;0.1;0.75;0.17647058823529416;0.75;4.0;30.0;3.0;6;4.0;1.0;3.0;0.0
dk;incremental;True;-1;21;82;1617;0.8571428571428571;0.17647058823529413;0.6666666666666666;0.29268292682926833;0.75;9.0;34.0;6.0;9;7.0;1.0;6.0;0.0
dk;incremental;True;-1;22;126;1931;1.0;0.1951219512195122;0.8;0.326530612244898;0.888888888888889;10.0;41.0;8.0;9;8.0;0;8.0;0.0
dk;incremental;True;-1;23;67;1130;1.0;0.13513513513513514;0.7142857142857143;0.2380952380952381;0.8333333333333333;7.0;37.0;5.0;8;5.0;0;5.0;0.0
dk;incremental;True;-1;24;88;1171;0.8333333333333334;0.13513513513513514;0.45454545454545453;0.23255813953488372;0.5882352941176471;11.0;37.0;5.0;8;6.0;1.0;5.0;0.0
dk;incremental;True;-1;25;109;1691;1.0;0.15;0.6666666666666666;0.2608695652173913;0.8;9.0;40.0;6.0;9;6.0;0;6.0;0.0
