infer_mode;features;train_using_all_batches;skip_training_starting_batch;batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;repairs_on_correct_cells;repairs_on_incorrect_cells;rmse
dk;incremental;True;-1;1;6;34;0;0.0;0.0;0;0;1.0;8.0;0.0;2;0;0;0;0.0
dk;incremental;True;-1;2;5;56;0;0.0;0.0;0;0;1.0;13.0;0.0;0;0;0;0;0.0
dk;incremental;True;-1;3;35;208;0;0.0;0.0;0;0;5.0;16.0;0.0;4;0;0;0;0.0
dk;incremental;True;-1;4;91;438;1.0;0.25;0.4;0.4;0.5714285714285715;15.0;24.0;6.0;11;6.0;0;6.0;0.0
dk;incremental;True;-1;5;112;593;0.6;0.13636363636363635;0.1875;0.22222222222222218;0.2857142857142857;16.0;22.0;3.0;8;5.0;1.0;4.0;0.0
dk;incremental;True;-1;6;136;835;0.75;0.12;0.15;0.20689655172413793;0.24999999999999997;20.0;25.0;3.0;9;4.0;1.0;3.0;0.0
dk;incremental;True;-1;7;153;910;0.8333333333333334;0.16666666666666666;0.23809523809523808;0.2777777777777778;0.37037037037037035;21.0;30.0;5.0;9;6.0;1.0;5.0;0.0
dk;incremental;True;-1;8;152;830;0.875;0.23333333333333334;0.3181818181818182;0.3684210526315789;0.4666666666666667;22.0;30.0;7.0;15;8.0;1.0;7.0;0.0
dk;incremental;True;-1;9;141;1315;0.7777777777777778;0.2413793103448276;0.3181818181818182;0.368421052631579;0.45161290322580644;22.0;29.0;7.0;10;9.0;2.0;7.0;0.0
dk;incremental;True;-1;10;107;1009;0.8571428571428571;0.2222222222222222;0.4;0.35294117647058826;0.5454545454545455;15.0;27.0;6.0;14;7.0;1.0;6.0;0.0
dk;incremental;True;-1;11;86;294;1.0;0.21428571428571427;0.375;0.35294117647058826;0.5454545454545454;16.0;28.0;6.0;6;6.0;0;6.0;0.0
dk;incremental;True;-1;12;112;1136;0.8;0.14285714285714285;0.21052631578947367;0.24242424242424243;0.3333333333333333;19.0;28.0;4.0;7;5.0;1.0;4.0;0.0
dk;incremental;True;-1;13;146;614;1.0;0.3611111111111111;0.6842105263157895;0.5306122448979591;0.8125000000000001;19.0;36.0;13.0;15;13.0;0;13.0;0.0
dk;incremental;True;-1;14;58;277;1.0;0.18518518518518517;0.5555555555555556;0.3125;0.7142857142857143;9.0;27.0;5.0;7;5.0;0;5.0;0.0
dk;incremental;True;-1;15;59;1010;1.0;0.17857142857142858;0.5;0.30303030303030304;0.6666666666666666;10.0;28.0;5.0;8;5.0;0;5.0;0.0
dk;incremental;True;-1;16;101;1086;0.875;0.22580645161290322;0.3888888888888889;0.358974358974359;0.5384615384615385;18.0;31.0;7.0;9;8.0;1.0;7.0;0.0
dk;incremental;True;-1;17;79;507;1.0;0.16666666666666666;0.5;0.2857142857142857;0.6666666666666666;10.0;30.0;5.0;8;5.0;0;5.0;0.0
dk;incremental;True;-1;18;38;0;1.0;0.1111111111111111;0.5;0.19999999999999998;0.6666666666666666;6.0;27.0;3.0;3;3.0;0;3.0;0.0
dk;incremental;True;-1;19;47;0;1.0;0.13793103448275862;0.6666666666666666;0.2424242424242424;0.8;6.0;29.0;4.0;5;4.0;0;4.0;0.0
dk;incremental;True;-1;20;80;1772;0.8;0.14285714285714285;0.8;0.24242424242424243;0.8000000000000002;5.0;28.0;4.0;7;5.0;1.0;4.0;0.0
dk;incremental;True;-1;21;74;208;1.0;0.1935483870967742;1.0;0.3243243243243243;1.0;6.0;31.0;6.0;8;6.0;0;6.0;0.0
dk;incremental;True;-1;22;126;638;1.0;0.21621621621621623;0.8;0.35555555555555557;0.888888888888889;10.0;37.0;8.0;9;8.0;0;8.0;0.0
dk;incremental;True;-1;23;67;458;1.0;0.15151515151515152;0.7142857142857143;0.2631578947368421;0.8333333333333333;7.0;33.0;5.0;8;5.0;0;5.0;0.0
dk;incremental;True;-1;24;78;238;1.0;0.15151515151515152;0.7142857142857143;0.2631578947368421;0.8333333333333333;7.0;33.0;5.0;7;5.0;0;5.0;0.0
dk;incremental;True;-1;25;109;712;1.0;0.17142857142857143;0.6666666666666666;0.2926829268292683;0.8;9.0;35.0;6.0;9;6.0;0;6.0;0.0
