infer_mode;features;train_using_all_batches;iteration;skip_training_starting_batch;batch;load_data;load_dcs;detect_errors;setup_domain;featurize_data;setup_model;fit_model;infer_repairs;get_inferred_values;generate_repaired_dataset;repaired_table_copy_time;save_stats_time
dk;incremental;True;0;-1;1;0.11078999999999972;0.0029159999999999187;0.13095400000000001;0.4848775863647461;0.07857400000000059;0.0024329999999999075;0.5125409999999997;0.055314000000000085;0.028095999999999677;0.0329019999999991;0;0.0033970000000005385
dk;incremental;True;0;-1;2;0.1320490000000003;0.002890999999999977;0.1532599999999995;0.6463732719421387;0.09819999999999851;0.0036999999999984823;0.7517999999999994;0.05543700000000129;0.02782299999999971;0.032740000000000435;0.04373700000000014;0.005361999999999867
dk;incremental;True;0;-1;3;0.1401450000000004;0.0028120000000004808;0.16896599999999928;0.787050724029541;0.36183299999999896;0.006368000000000151;2.928809000000001;0.07075800000000143;0.0307549999999992;0.05197599999999625;0.033803999999999945;0.006866000000002259
dk;incremental;True;0;-1;4;0.13429299999999955;0.002928000000000708;0.17545700000000153;0.9114377498626709;0.7857920000000007;0.008752999999998679;4.850135000000002;0.08586599999999933;0.029330999999999108;0.07749500000000253;0.035567999999997824;0.007575000000002774
dk;incremental;True;0;-1;5;0.13672400000000096;0.002845999999998128;0.1772129999999983;0.827155351638794;1.2439159999999987;0.014767999999996562;6.601016000000001;0.0930579999999992;0.029359999999996944;0.10238199999999864;0.038945000000005336;0.009036999999999296
dk;incremental;True;0;-1;6;0.1340190000000021;0.00287699999999802;0.18439999999999657;0.9591264724731445;1.6910899999999955;0.014060000000000628;9.335895;0.1055509999999984;0.0289810000000017;0.10482700000000733;0.03608400000000245;0.008613999999994348
dk;incremental;True;0;-1;7;0.13454800000000233;0.0028480000000001837;0.18431799999999754;1.2908720970153809;2.579818000000003;0.013716000000002282;12.189363;0.10725099999999088;0.029078999999995858;0.1139140000000225;0.03575599999999213;0.010219999999989682
dk;incremental;True;0;-1;8;0.12706500000000176;0.0028980000000018435;0.17158499999999322;1.0019969940185547;2.00314800000001;0.012022999999999229;9.093350000000001;0.10731800000000646;0.02999499999999955;0.12518999999998925;0.03630300000000375;0.012971000000007393
dk;incremental;True;0;-1;9;0.12950899999999876;0.0028649999999998954;0.1822959999999938;1.161184549331665;2.2930429999999973;0.013182000000000471;15.10932799999999;0.10334900000000857;0.02971699999999089;0.12590600000000052;0.0367999999999995;0.011467999999993594
dk;incremental;True;0;-1;10;0.12774000000000285;0.002950999999995929;0.17461500000000285;0.9990460872650146;2.600455999999994;0.009704999999996744;10.952793;0.10473700000000008;0.029789999999991323;0.11068299999999454;0.03695400000000859;0.012831000000005588
dk;incremental;True;0;-1;11;0.1284419999999784;0.0028570000000058826;0.1659840000000088;0.7076911926269531;0.7962310000000059;0.006749000000013439;3.2453409999999963;0.08379200000001674;0.028498000000013235;0.08542099999996822;0.03708900000000881;0.012039000000015676
dk;incremental;True;0;-1;12;0.13346900000001938;0.002953999999988355;0.1776570000000106;1.1800146102905273;2.2179490000000044;0.010259000000019114;15.396052999999995;0.10215700000000538;0.028582000000000107;0.08947399999996719;0.0353369999999984;0.012532000000021526
