infer_mode;features;train_using_all_batches;skip_training_starting_batch;batch;featurizer;attribute;feature;weight
dk;incremental;True;-1;1;OccurAttrFeaturizer;MeasureCode;ProviderNumber;-0.042
dk;incremental;True;-1;1;OccurAttrFeaturizer;MeasureCode;HospitalName;0.294
dk;incremental;True;-1;1;OccurAttrFeaturizer;MeasureCode;Address1;0.32
dk;incremental;True;-1;1;OccurAttrFeaturizer;MeasureCode;City;-0.34
dk;incremental;True;-1;1;OccurAttrFeaturizer;MeasureCode;State;0.472
dk;incremental;True;-1;1;OccurAttrFeaturizer;MeasureCode;ZipCode;-0.058
dk;incremental;True;-1;1;OccurAttrFeaturizer;MeasureCode;CountyName;0.178
dk;incremental;True;-1;1;OccurAttrFeaturizer;MeasureCode;PhoneNumber;0.227
dk;incremental;True;-1;1;OccurAttrFeaturizer;MeasureCode;HospitalType;0.444
dk;incremental;True;-1;1;OccurAttrFeaturizer;MeasureCode;HospitalOwner;0.483
dk;incremental;True;-1;1;OccurAttrFeaturizer;MeasureCode;EmergencyService;0.346
dk;incremental;True;-1;1;OccurAttrFeaturizer;MeasureCode;Condition;-0.106
dk;incremental;True;-1;1;OccurAttrFeaturizer;MeasureCode;MeasureCode;-0.157
dk;incremental;True;-1;1;OccurAttrFeaturizer;MeasureCode;MeasureName;0.555
dk;incremental;True;-1;1;OccurAttrFeaturizer;MeasureCode;Score;-0.08
dk;incremental;True;-1;1;OccurAttrFeaturizer;MeasureCode;Sample;-0.283
dk;incremental;True;-1;1;OccurAttrFeaturizer;MeasureCode;Stateavg;0.452
dk;incremental;True;-1;1;OccurAttrFeaturizer;MeasureName;ProviderNumber;-0.225
dk;incremental;True;-1;1;OccurAttrFeaturizer;MeasureName;HospitalName;0.669
dk;incremental;True;-1;1;OccurAttrFeaturizer;MeasureName;Address1;0.348
dk;incremental;True;-1;1;OccurAttrFeaturizer;MeasureName;City;0.597
dk;incremental;True;-1;1;OccurAttrFeaturizer;MeasureName;State;-0.443
dk;incremental;True;-1;1;OccurAttrFeaturizer;MeasureName;ZipCode;0.2
dk;incremental;True;-1;1;OccurAttrFeaturizer;MeasureName;CountyName;0.467
dk;incremental;True;-1;1;OccurAttrFeaturizer;MeasureName;PhoneNumber;-0.375
dk;incremental;True;-1;1;OccurAttrFeaturizer;MeasureName;HospitalType;0.391
dk;incremental;True;-1;1;OccurAttrFeaturizer;MeasureName;HospitalOwner;-0.304
dk;incremental;True;-1;1;OccurAttrFeaturizer;MeasureName;EmergencyService;-0.464
dk;incremental;True;-1;1;OccurAttrFeaturizer;MeasureName;Condition;-0.346
dk;incremental;True;-1;1;OccurAttrFeaturizer;MeasureName;MeasureCode;0.046
dk;incremental;True;-1;1;OccurAttrFeaturizer;MeasureName;MeasureName;-0.162
dk;incremental;True;-1;1;OccurAttrFeaturizer;MeasureName;Score;0.449
dk;incremental;True;-1;1;OccurAttrFeaturizer;MeasureName;Sample;0.166
dk;incremental;True;-1;1;OccurAttrFeaturizer;MeasureName;Stateavg;0.348
dk;incremental;True;-1;1;OccurAttrFeaturizer;Sample;ProviderNumber;0.315
dk;incremental;True;-1;1;OccurAttrFeaturizer;Sample;HospitalName;0.268
