infer_mode;features;train_using_all_batches;skip_training_starting_batch;batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;repairs_on_correct_cells;repairs_on_incorrect_cells;rmse
dk;incremental;True;-1;1;6;34;0;0.0;0.0;0;0;1.0;8.0;0.0;2;0;0;0;0.0
dk;incremental;True;-1;2;5;56;0;0.0;0.0;0;0;1.0;13.0;0.0;0;0;0;0;0.0
dk;incremental;True;-1;3;35;208;0;0.0;0.0;0;0;5.0;16.0;0.0;4;0;0;0;0.0
dk;incremental;True;-1;4;91;438;1.0;0.2916666666666667;0.4666666666666667;0.45161290322580644;0.6363636363636364;15.0;24.0;7.0;12;7.0;0;7.0;0.0
dk;incremental;True;-1;5;112;593;0.625;0.23809523809523808;0.3125;0.3448275862068965;0.4166666666666667;16.0;21.0;5.0;11;8.0;2.0;6.0;0.0
dk;incremental;True;-1;6;106;743;0.8;0.17391304347826086;0.23529411764705882;0.2857142857142857;0.3636363636363636;17.0;23.0;4.0;10;5.0;1.0;4.0;0.0
dk;incremental;True;-1;7;115;804;1.0;0.14814814814814814;0.23529411764705882;0.25806451612903225;0.38095238095238093;17.0;27.0;4.0;7;4.0;0;4.0;0.0
dk;incremental;True;-1;8;128;1003;0.8;0.2962962962962963;0.42105263157894735;0.43243243243243246;0.5517241379310345;19.0;27.0;8.0;17;10.0;2.0;8.0;0.0
dk;incremental;True;-1;9;117;1246;0.8571428571428571;0.23076923076923078;0.3157894736842105;0.36363636363636365;0.46153846153846156;19.0;26.0;6.0;8;7.0;1.0;6.0;0.0
dk;incremental;True;-1;10;103;1103;0.8571428571428571;0.25;0.46153846153846156;0.3870967741935483;0.6;13.0;24.0;6.0;14;7.0;1.0;6.0;0.0
dk;incremental;True;-1;11;74;1153;1.0;0.36;0.6428571428571429;0.5294117647058824;0.782608695652174;14.0;25.0;9.0;9;9.0;0;9.0;0.0
dk;incremental;True;-1;12;80;1497;0.8;0.18181818181818182;0.2857142857142857;0.2962962962962963;0.4210526315789473;14.0;22.0;4.0;7;5.0;1.0;4.0;0.0
dk;incremental;True;-1;13;108;1602;1.0;0.3;0.6428571428571429;0.4615384615384615;0.782608695652174;14.0;30.0;9.0;11;9.0;0;9.0;0.0
dk;incremental;True;-1;14;54;1924;1.0;0.16;0.5;0.2758620689655173;0.6666666666666666;8.0;25.0;4.0;6;4.0;0;4.0;0.0
dk;incremental;True;-1;15;51;1462;1.0;0.14814814814814814;0.4444444444444444;0.25806451612903225;0.6153846153846153;9.0;27.0;4.0;7;4.0;0;4.0;0.0
dk;incremental;True;-1;16;101;2174;0.875;0.22580645161290322;0.3888888888888889;0.358974358974359;0.5384615384615385;18.0;31.0;7.0;9;8.0;1.0;7.0;0.0
dk;incremental;True;-1;17;79;2164;1.0;0.2;0.6;0.33333333333333337;0.7499999999999999;10.0;30.0;6.0;9;6.0;0;6.0;0.0
dk;incremental;True;-1;18;34;2141;1.0;0.15384615384615385;0.8;0.2666666666666667;0.888888888888889;5.0;26.0;4.0;4;4.0;0;4.0;0.0
dk;incremental;True;-1;19;37;1882;1.0;0.1111111111111111;0.75;0.19999999999999998;0.8571428571428571;4.0;27.0;3.0;4;3.0;0;3.0;0.0
dk;incremental;True;-1;20;64;2155;0.75;0.1111111111111111;0.75;0.19354838709677416;0.75;4.0;27.0;3.0;6;4.0;1.0;3.0;0.0
dk;incremental;True;-1;21;74;208;1.0;0.1935483870967742;1.0;0.3243243243243243;1.0;6.0;31.0;6.0;8;6.0;0;6.0;0.0
dk;incremental;True;-1;22;126;2775;1.0;0.21621621621621623;0.8;0.35555555555555557;0.888888888888889;10.0;37.0;8.0;9;8.0;0;8.0;0.0
dk;incremental;True;-1;23;67;2248;1.0;0.15151515151515152;0.7142857142857143;0.2631578947368421;0.8333333333333333;7.0;33.0;5.0;8;5.0;0;5.0;0.0
dk;incremental;True;-1;24;78;1178;1.0;0.15151515151515152;0.7142857142857143;0.2631578947368421;0.8333333333333333;7.0;33.0;5.0;7;5.0;0;5.0;0.0
dk;incremental;True;-1;25;109;2198;1.0;0.17142857142857143;0.6666666666666666;0.2926829268292683;0.8;9.0;35.0;6.0;9;6.0;0;6.0;0.0
