infer_mode;features;train_using_all_batches;skip_training_starting_batch;batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;repairs_on_correct_cells;repairs_on_incorrect_cells;rmse
dk;incremental;True;-1;1;6;34;0;0.0;0.0;0;0;1.0;8.0;0.0;2;0;0;0;0.0
dk;incremental;True;-1;2;5;56;0;0.0;0.0;0;0;1.0;13.0;0.0;0;0;0;0;0.0
dk;incremental;True;-1;3;35;208;0.0;0.0;0.0;0;0;5.0;16.0;0.0;5;1.0;1.0;0;0.0
dk;incremental;True;-1;4;83;446;0.8571428571428571;0.24;0.4;0.375;0.5454545454545455;15.0;25.0;6.0;12;7.0;1.0;6.0;0.0
dk;incremental;True;-1;5;97;558;1.0;0.16666666666666666;0.25;0.2857142857142857;0.4;16.0;24.0;4.0;7;4.0;0;4.0;0.0
dk;incremental;True;-1;6;113;796;1.0;0.16;0.2222222222222222;0.2758620689655173;0.3636363636363636;18.0;25.0;4.0;9;4.0;0;4.0;0.0
dk;incremental;True;-1;7;126;792;1.0;0.14285714285714285;0.21052631578947367;0.25;0.34782608695652173;19.0;28.0;4.0;7;4.0;0;4.0;0.0
dk;incremental;True;-1;8;130;628;1.0;0.17857142857142858;0.2631578947368421;0.30303030303030304;0.4166666666666667;19.0;28.0;5.0;12;5.0;0;5.0;0.0
dk;incremental;True;-1;9;126;1149;1.0;0.2857142857142857;0.4;0.4444444444444445;0.5714285714285715;20.0;28.0;8.0;9;8.0;0;8.0;0.0
dk;incremental;True;-1;10;119;290;0.8571428571428571;0.2608695652173913;0.4;0.4;0.5454545454545455;15.0;23.0;6.0;14;7.0;1.0;6.0;0.0
dk;incremental;True;-1;11;86;817;1.0;0.3333333333333333;0.5;0.5;0.6666666666666666;16.0;24.0;8.0;8;8.0;0;8.0;0.0
dk;incremental;True;-1;12;88;582;1.0;0.2727272727272727;0.46153846153846156;0.42857142857142855;0.631578947368421;13.0;22.0;6.0;8;6.0;0;6.0;0.0
dk;incremental;True;-1;13;128;970;1.0;0.4074074074074074;0.6875;0.5789473684210525;0.8148148148148148;16.0;27.0;11.0;13;11.0;0;11.0;0.0
dk;incremental;True;-1;14;54;554;1.0;0.2;0.5;0.33333333333333337;0.6666666666666666;8.0;20.0;4.0;6;4.0;0;4.0;0.0
dk;incremental;True;-1;15;51;295;1.0;0.18181818181818182;0.4444444444444444;0.3076923076923077;0.6153846153846153;9.0;22.0;4.0;7;4.0;0;4.0;0.0
dk;incremental;True;-1;16;89;1080;1.0;0.2692307692307692;0.5384615384615384;0.42424242424242425;0.7000000000000001;13.0;26.0;7.0;8;7.0;0;7.0;0.0
dk;incremental;True;-1;17;79;839;1.0;0.25;0.6;0.4;0.7499999999999999;10.0;24.0;6.0;9;6.0;0;6.0;0.0
dk;incremental;True;-1;18;34;176;1.0;0.2;0.8;0.33333333333333337;0.888888888888889;5.0;20.0;4.0;4;4.0;0;4.0;0.0
dk;incremental;True;-1;19;37;0;1.0;0.14285714285714285;0.75;0.25;0.8571428571428571;4.0;21.0;3.0;4;3.0;0;3.0;0.0
dk;incremental;True;-1;20;64;393;0.75;0.14285714285714285;0.75;0.24;0.75;4.0;21.0;3.0;6;4.0;1.0;3.0;0.0
dk;incremental;True;-1;21;74;814;1.0;0.24;1.0;0.3870967741935484;1.0;6.0;25.0;6.0;8;6.0;0;6.0;0.0
dk;incremental;True;-1;22;126;1490;1.0;0.25806451612903225;0.8;0.41025641025641024;0.888888888888889;10.0;31.0;8.0;9;8.0;0;8.0;0.0
dk;incremental;True;-1;23;67;686;1.0;0.18518518518518517;0.7142857142857143;0.3125;0.8333333333333333;7.0;27.0;5.0;8;5.0;0;5.0;0.0
dk;incremental;True;-1;24;78;238;1.0;0.18518518518518517;0.7142857142857143;0.3125;0.8333333333333333;7.0;27.0;5.0;7;5.0;0;5.0;0.0
dk;incremental;True;-1;25;109;234;1.0;0.20689655172413793;0.6666666666666666;0.34285714285714286;0.8;9.0;29.0;6.0;9;6.0;0;6.0;0.0
dk;incremental;True;-1;26;82;0;1.0;0.11538461538461539;0.6;0.20689655172413793;0.7499999999999999;5.0;26.0;3.0;6;3.0;0;3.0;0.0
