infer_mode;features;train_using_all_batches;skip_training_starting_batch;batch;featurizer;attribute;feature;weight
dk;incremental;True;-1;2;OccurAttrFeaturizer;birthplace;name;1.292
dk;incremental;True;-1;2;OccurAttrFeaturizer;birthplace;surname;2.415
dk;incremental;True;-1;2;OccurAttrFeaturizer;birthplace;birthyear;1.597
dk;incremental;True;-1;2;OccurAttrFeaturizer;birthplace;birthplace;0.0
dk;incremental;True;-1;2;OccurAttrFeaturizer;birthplace;position;0.335
dk;incremental;True;-1;2;OccurAttrFeaturizer;birthplace;team;1.161
dk;incremental;True;-1;2;OccurAttrFeaturizer;birthplace;city;1.527
dk;incremental;True;-1;2;OccurAttrFeaturizer;birthplace;stadium;0.482
dk;incremental;True;-1;2;OccurAttrFeaturizer;birthplace;season;1.04
dk;incremental;True;-1;2;OccurAttrFeaturizer;birthplace;manager;0.814
dk;incremental;True;-1;2;OccurAttrFeaturizer;team;name;0.622
dk;incremental;True;-1;2;OccurAttrFeaturizer;team;surname;0.713
dk;incremental;True;-1;2;OccurAttrFeaturizer;team;birthyear;0.872
dk;incremental;True;-1;2;OccurAttrFeaturizer;team;birthplace;0.842
dk;incremental;True;-1;2;OccurAttrFeaturizer;team;position;0.659
dk;incremental;True;-1;2;OccurAttrFeaturizer;team;team;0.0
dk;incremental;True;-1;2;OccurAttrFeaturizer;team;city;1.428
dk;incremental;True;-1;2;OccurAttrFeaturizer;team;stadium;1.4
dk;incremental;True;-1;2;OccurAttrFeaturizer;team;season;0.977
dk;incremental;True;-1;2;OccurAttrFeaturizer;team;manager;1.931
dk;incremental;True;-1;4;OccurAttrFeaturizer;stadium;name;1.109
dk;incremental;True;-1;4;OccurAttrFeaturizer;stadium;surname;1.992
dk;incremental;True;-1;4;OccurAttrFeaturizer;stadium;birthyear;0.621
dk;incremental;True;-1;4;OccurAttrFeaturizer;stadium;birthplace;1.649
dk;incremental;True;-1;4;OccurAttrFeaturizer;stadium;position;0.085
dk;incremental;True;-1;4;OccurAttrFeaturizer;stadium;team;1.973
dk;incremental;True;-1;4;OccurAttrFeaturizer;stadium;city;2.309
dk;incremental;True;-1;4;OccurAttrFeaturizer;stadium;stadium;-0.0
