infer_mode;features;train_using_all_batches;skip_training_starting_batch;batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;repairs_on_correct_cells;repairs_on_incorrect_cells;rmse
dk;incremental;True;-1;1;136;875;1.0;0.022058823529411766;0.022058823529411766;0.04316546762589929;0.04316546762589929;136.0;136.0;3.0;3;3.0;0;3.0;0.0
dk;incremental;True;-1;2;254;1774;0.6923076923076923;0.035856573705179286;0.035856573705179286;0.06818181818181819;0.06818181818181819;251.0;251.0;9.0;13;13.0;0;13.0;0.0
dk;incremental;True;-1;3;388;2647;0.8095238095238095;0.04521276595744681;0.04521276595744681;0.08564231738035263;0.08564231738035263;376.0;376.0;17.0;21;21.0;0;21.0;0.0
dk;incremental;True;-1;4;509;3532;0.6923076923076923;0.0375;0.0375;0.07114624505928853;0.07114624505928853;480.0;480.0;18.0;26;26.0;0;26.0;0.0
dk;incremental;True;-1;5;628;4412;0.8181818181818182;0.04647160068846816;0.04647160068846816;0.08794788273615636;0.08794788273615636;581.0;581.0;27.0;33;33.0;0;33.0;0.0
dk;incremental;True;-1;6;765;5279;0.7560975609756098;0.04486251808972504;0.04486251808972504;0.08469945355191258;0.08469945355191258;691.0;691.0;31.0;41;41.0;0;41.0;0.0
dk;incremental;True;-1;7;896;6150;0.8;0.040455120101137804;0.040455120101137804;0.07701564380264742;0.07701564380264742;791.0;791.0;32.0;40;40.0;0;40.0;0.0
dk;incremental;True;-1;8;1021;7022;0.782608695652174;0.04072398190045249;0.04072398190045249;0.07741935483870968;0.07741935483870968;884.0;884.0;36.0;46;46.0;0;46.0;0.0
dk;incremental;True;-1;9;1146;7899;0.6585365853658537;0.02774922918807811;0.02774922918807811;0.05325443786982249;0.05325443786982249;973.0;973.0;27.0;41;41.0;0;41.0;0.0
dk;incremental;True;-1;10;1280;8768;0.6744186046511628;0.026851851851851852;0.026851851851851852;0.0516473731077471;0.0516473731077471;1080.0;1080.0;29.0;43;43.0;0;43.0;0.0
dk;incremental;True;-1;11;1404;9644;0.7551020408163265;0.03148936170212766;0.03148936170212766;0.06045751633986928;0.06045751633986928;1175.0;1175.0;37.0;49;49.0;0;49.0;0.0
dk;incremental;True;-1;12;1527;10517;0.6486486486486487;0.0190325138778747;0.0190325138778747;0.03697996918335901;0.03697996918335901;1261.0;1261.0;24.0;37;37.0;1.0;36.0;0.0
dk;incremental;True;-1;13;1649;8453;0.75;0.02426470588235294;0.02426470588235294;0.04700854700854701;0.04700854700854701;1360.0;1360.0;33.0;44;44.0;1.0;43.0;0.0
dk;incremental;True;-1;14;1781;9298;0.8;0.0273972602739726;0.0273972602739726;0.052980132450331126;0.052980132450331126;1460.0;1460.0;40.0;50;50.0;1.0;49.0;0.0
dk;incremental;True;-1;15;1914;8103;0.8048780487804879;0.021235521235521235;0.021235521235521235;0.04137931034482759;0.04137931034482759;1554.0;1554.0;33.0;41;41.0;0;41.0;0.0
dk;incremental;True;-1;16;2044;7170;0.8387096774193549;0.015748031496062992;0.015748031496062992;0.030915576694411414;0.030915576694411414;1651.0;1651.0;26.0;31;31.0;0;31.0;0.0
dk;incremental;True;-1;17;2162;7264;0.8478260869565217;0.022375215146299483;0.022375215146299483;0.04359977641140302;0.04359977641140302;1743.0;1743.0;39.0;46;46.0;0;46.0;0.0
dk;incremental;True;-1;18;2299;6054;0.78;0.021184139054861488;0.021184139054861488;0.04124801692226335;0.04124801692226335;1841.0;1841.0;39.0;50;50.0;0;50.0;0.0
