batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;repairs_on_correct_cells;repairs_on_incorrect_cells;rmse
1;2;499;1.0;1.0;1.0;1.0;1.0;2.0;2.0;2.0;2;2.0;0;2.0;0.0
2;1;250;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;1.0;0;1.0;0.0
3;3;498;1.0;0.6666666666666666;0.6666666666666666;0.8;0.8;3.0;3.0;2.0;2;2.0;0;2.0;0.0
4;9;995;0.6666666666666666;0.2222222222222222;0.2222222222222222;0.3333333333333333;0.3333333333333333;9.0;9.0;2.0;3;3.0;0;3.0;0.0
5;3;749;1.0;0.6666666666666666;0.6666666666666666;0.8;0.8;3.0;3.0;2.0;2;2.0;0;2.0;0.0
6;1;249;0;0.0;0.0;0;0;1.0;1.0;0.0;0;0;0;0;0.0
7;3;748;1.0;0.3333333333333333;0.3333333333333333;0.5;0.5;3.0;3.0;1.0;1;1.0;0;1.0;0.0
8;4;999;1.0;0.75;0.75;0.8571428571428571;0.8571428571428571;4.0;4.0;3.0;3;3.0;0;3.0;0.0
9;1;249;0;0.0;0.0;0;0;1.0;1.0;0.0;0;0;0;0;0.0
10;3;748;0;0.0;0.0;0;0;3.0;3.0;0.0;0;0;0;0;0.0
11;4;747;1.0;0.25;0.25;0.4;0.4;4.0;4.0;1.0;1;1.0;0;1.0;0.0
12;4;747;1.0;0.5;0.5;0.6666666666666666;0.6666666666666666;4.0;4.0;2.0;2;2.0;0;2.0;0.0
13;2;498;0;0.0;0.0;0;0;2.0;2.0;0.0;0;0;0;0;0.0
14;3;498;1.0;0.6666666666666666;0.6666666666666666;0.8;0.8;3.0;3.0;2.0;2;2.0;0;2.0;0.0
15;5;997;1.0;0.8;0.8;0.888888888888889;0.888888888888889;5.0;5.0;4.0;4;4.0;0;4.0;0.0
16;3;748;1.0;0.6666666666666666;0.6666666666666666;0.8;0.8;3.0;3.0;2.0;2;2.0;0;2.0;0.0
