batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;repairs_on_correct_cells;repairs_on_incorrect_cells;rmse
1;259;1771;0.7;0.02702702702702703;0.02702702702702703;0.05204460966542752;0.05204460966542752;259.0;259.0;7.0;10;10.0;0;10.0;0.0
2;493;3539;0.6153846153846154;0.03292181069958848;0.03292181069958848;0.06250000000000001;0.06250000000000001;486.0;486.0;16.0;26;26.0;0;26.0;0.0
3;745;5309;0.5319148936170213;0.03462603878116344;0.03462603878116344;0.06501950585175553;0.06501950585175553;722.0;722.0;25.0;47;47.0;0;47.0;0.0
4;981;7071;0.5185185185185185;0.030010718113612004;0.030010718113612004;0.05673758865248227;0.05673758865248227;933.0;933.0;28.0;54;54.0;1.0;53.0;0.0
5;1223;8844;0.5373134328358209;0.0313588850174216;0.0313588850174216;0.05925925925925926;0.05925925925925926;1148.0;1148.0;36.0;67;67.0;0;67.0;0.0
6;1448;10641;0.5714285714285714;0.029917726252804786;0.029917726252804786;0.056858564321250894;0.056858564321250894;1337.0;1337.0;40.0;70;70.0;0;70.0;0.0
7;1695;12400;0.6363636363636364;0.027202072538860103;0.027202072538860103;0.052173913043478265;0.052173913043478265;1544.0;1544.0;42.0;66;66.0;0;66.0;0.0
8;1936;14168;0.6363636363636364;0.03614457831325301;0.03614457831325301;0.06840390879478828;0.06840390879478828;1743.0;1743.0;63.0;99;99.0;2.0;97.0;0.0
9;2175;15929;0.46987951807228917;0.02030192608016658;0.02030192608016658;0.038922155688622756;0.038922155688622756;1921.0;1921.0;39.0;83;83.0;3.0;80.0;0.0
10;2449;17668;0.6373626373626373;0.026864289022695692;0.026864289022695692;0.05155555555555556;0.05155555555555556;2159.0;2159.0;58.0;91;91.0;3.0;88.0;0.0
11;2683;19432;0.6436781609195402;0.023952095808383235;0.023952095808383235;0.046185567010309285;0.046185567010309285;2338.0;2338.0;56.0;87;87.0;1.0;86.0;0.0
12;2956;21156;0.6551724137931034;0.022300469483568074;0.022300469483568074;0.043132803632236094;0.043132803632236094;2556.0;2556.0;57.0;87;87.0;2.0;85.0;0.0
13;3221;22888;0.4852941176470588;0.01193058568329718;0.01193058568329718;0.023288637967537048;0.023288637967537048;2766.0;2766.0;33.0;68;68.0;2.0;66.0;0.0
14;3470;24650;0.7014925373134329;0.015750670241286863;0.015750670241286863;0.030809570632579483;0.030809570632579483;2984.0;2984.0;47.0;67;67.0;2.0;65.0;0.0
15;3712;26411;0.5294117647058824;0.011317195850361521;0.011317195850361521;0.0221606648199446;0.0221606648199446;3181.0;3181.0;36.0;68;68.0;0;68.0;0.0
16;3969;28178;0.5384615384615384;0.01440329218106996;0.01440329218106996;0.028056112224448898;0.028056112224448898;3402.0;3402.0;49.0;91;91.0;1.0;90.0;0.0
17;4235;29936;0.6344086021505376;0.016298342541436465;0.016298342541436465;0.031780231618637224;0.031780231618637224;3620.0;3620.0;59.0;93;93.0;0;93.0;0.0
18;4491;31674;0.6078431372549019;0.016243122871364948;0.016243122871364948;0.031640724674661905;0.031640724674661905;3817.0;3817.0;62.0;102;102.0;0;102.0;0.0
19;4746;33428;0.6538461538461539;0.012718204488778055;0.012718204488778055;0.024951076320939333;0.024951076320939333;4010.0;4010.0;51.0;78;78.0;0;78.0;0.0
20;5004;35152;0.581081081081081;0.010196822385582168;0.010196822385582168;0.02004194826380797;0.02004194826380797;4217.0;4217.0;43.0;74;74.0;0;74.0;0.0
21;5262;36900;0.6794871794871795;0.011958483754512635;0.011958483754512635;0.023503325942350335;0.023503325942350335;4432.0;4432.0;53.0;78;78.0;0;78.0;0.0
22;5513;38660;0.6794871794871795;0.011447084233261339;0.011447084233261339;0.022514868309260833;0.022514868309260833;4630.0;4630.0;53.0;78;78.0;0;78.0;0.0
23;5801;40390;0.5824175824175825;0.010894141829393628;0.010894141829393628;0.021388216303470542;0.021388216303470542;4865.0;4865.0;53.0;91;91.0;2.0;89.0;0.0
24;6072;42090;0.5333333333333333;0.00943952802359882;0.00943952802359882;0.01855072463768116;0.01855072463768116;5085.0;5085.0;48.0;90;90.0;1.0;89.0;0.0
25;6330;43871;0.7;0.010574018126888218;0.010574018126888218;0.020833333333333336;0.020833333333333336;5296.0;5296.0;56.0;80;80.0;0;80.0;0.0
26;6585;45587;0.6493506493506493;0.009099181073703366;0.009099181073703366;0.017946877243359655;0.017946877243359655;5495.0;5495.0;50.0;77;77.0;1.0;76.0;0.0
27;6849;47351;0.6506024096385542;0.009457092819614711;0.009457092819614711;0.018643190056965304;0.018643190056965304;5710.0;5710.0;54.0;83;83.0;0;83.0;0.0
28;7099;49051;0.5862068965517241;0.005756857433118863;0.005756857433118863;0.011401743796109995;0.011401743796109995;5906.0;5906.0;34.0;58;58.0;0;58.0;0.0
29;7360;50843;0.5841584158415841;0.009620088048263493;0.009620088048263493;0.018928456849534807;0.018928456849534807;6133.0;6133.0;59.0;101;101.0;0;101.0;0.0
30;7614;52598;0.5897435897435898;0.007269279393173199;0.007269279393173199;0.014361536059943801;0.014361536059943801;6328.0;6328.0;46.0;78;78.0;1.0;77.0;0.0
31;7863;54357;0.6753246753246753;0.007960808328230252;0.007960808328230252;0.015736117415645335;0.015736117415645335;6532.0;6532.0;52.0;77;77.0;2.0;75.0;0.0
32;8111;56075;0.5068493150684932;0.00549777117384844;0.00549777117384844;0.01087755402028517;0.01087755402028517;6730.0;6730.0;37.0;73;73.0;6.0;67.0;0.0
