infer_mode;features;train_using_all_batches;skip_training_starting_batch;batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;repairs_on_correct_cells;repairs_on_incorrect_cells;rmse
dk;incremental;True;-1;1;259;1771;0.8333333333333334;0.03861003861003861;0.03861003861003861;0.07380073800738007;0.07380073800738007;259.0;259.0;10.0;12;12.0;0;12.0;0.0
dk;incremental;True;-1;2;234;3334;0.625;0.0641025641025641;0.0641025641025641;0.11627906976744184;0.11627906976744184;234.0;234.0;15.0;24;24.0;0;24.0;0.0
dk;incremental;True;-1;3;252;701;0.5806451612903226;0.07142857142857142;0.07142857142857142;0.127208480565371;0.127208480565371;252.0;252.0;18.0;31;31.0;0;31.0;0.0
dk;incremental;True;-1;4;236;0;0.5151515151515151;0.07203389830508475;0.07203389830508475;0.12639405204460966;0.12639405204460966;236.0;236.0;17.0;33;33.0;0;33.0;0.0
dk;incremental;True;-1;5;242;1223;0.6052631578947368;0.09504132231404959;0.09504132231404959;0.16428571428571428;0.16428571428571428;242.0;242.0;23.0;38;38.0;0;38.0;0.0
dk;incremental;True;-1;6;225;1493;0.6857142857142857;0.10666666666666667;0.10666666666666667;0.18461538461538463;0.18461538461538463;225.0;225.0;24.0;35;35.0;0;35.0;0.0
dk;incremental;True;-1;7;247;3427;0.6590909090909091;0.11740890688259109;0.11740890688259109;0.1993127147766323;0.1993127147766323;247.0;247.0;29.0;44;44.0;0;44.0;0.0
dk;incremental;True;-1;8;241;1981;0.64;0.13278008298755187;0.13278008298755187;0.21993127147766323;0.21993127147766323;241.0;241.0;32.0;50;50.0;0;50.0;0.0
dk;incremental;True;-1;9;239;2228;0.5869565217391305;0.11297071129707113;0.11297071129707113;0.18947368421052632;0.18947368421052632;239.0;239.0;27.0;46;46.0;0;46.0;0.0
dk;incremental;True;-1;10;274;0;0.74;0.13503649635036497;0.13503649635036497;0.22839506172839508;0.22839506172839508;274.0;274.0;37.0;50;50.0;0;50.0;0.0
dk;incremental;True;-1;11;234;2738;0.5714285714285714;0.11965811965811966;0.11965811965811966;0.1978798586572438;0.1978798586572438;234.0;234.0;28.0;49;49.0;0;49.0;0.0
dk;incremental;True;-1;12;273;0;0.7192982456140351;0.15018315018315018;0.15018315018315018;0.24848484848484848;0.24848484848484848;273.0;273.0;41.0;57;57.0;0;57.0;0.0
dk;incremental;True;-1;13;265;0;0.5227272727272727;0.08679245283018867;0.08679245283018867;0.1488673139158576;0.1488673139158576;265.0;265.0;23.0;44;44.0;0;44.0;0.0
dk;incremental;True;-1;14;249;0;0.7346938775510204;0.14457831325301204;0.14457831325301204;0.2416107382550335;0.2416107382550335;249.0;249.0;36.0;49;49.0;0;49.0;0.0
dk;incremental;True;-1;15;242;0;0.6538461538461539;0.14049586776859505;0.14049586776859505;0.23129251700680276;0.23129251700680276;242.0;242.0;34.0;52;52.0;0;52.0;0.0
dk;incremental;True;-1;16;257;0;0.6428571428571429;0.14007782101167315;0.14007782101167315;0.23003194888178913;0.23003194888178913;257.0;257.0;36.0;56;56.0;0;56.0;0.0
dk;incremental;True;-1;17;266;0;0.609375;0.14661654135338345;0.14661654135338345;0.23636363636363636;0.23636363636363636;266.0;266.0;39.0;64;64.0;0;64.0;0.0
dk;incremental;True;-1;18;256;0;0.6623376623376623;0.19921875;0.19921875;0.3063063063063063;0.3063063063063063;256.0;256.0;51.0;77;77.0;0;77.0;0.0
