infer_mode;features;train_using_all_batches;skip_training_starting_batch;batch;featurizer;attribute;feature;weight
dk;incremental;True;-1;1;OccurAttrFeaturizer;birthplace;name;2.183
dk;incremental;True;-1;1;OccurAttrFeaturizer;birthplace;surname;3.237
dk;incremental;True;-1;1;OccurAttrFeaturizer;birthplace;birthyear;1.64
dk;incremental;True;-1;1;OccurAttrFeaturizer;birthplace;birthplace;-0.0
dk;incremental;True;-1;1;OccurAttrFeaturizer;birthplace;position;0.103
dk;incremental;True;-1;1;OccurAttrFeaturizer;birthplace;team;1.231
dk;incremental;True;-1;1;OccurAttrFeaturizer;birthplace;city;1.174
dk;incremental;True;-1;1;OccurAttrFeaturizer;birthplace;stadium;0.679
dk;incremental;True;-1;1;OccurAttrFeaturizer;birthplace;season;0.214
dk;incremental;True;-1;1;OccurAttrFeaturizer;birthplace;manager;1.104
dk;incremental;True;-1;1;OccurAttrFeaturizer;birthyear;name;1.859
dk;incremental;True;-1;1;OccurAttrFeaturizer;birthyear;surname;1.948
dk;incremental;True;-1;1;OccurAttrFeaturizer;birthyear;birthyear;-0.0
dk;incremental;True;-1;1;OccurAttrFeaturizer;birthyear;birthplace;1.823
dk;incremental;True;-1;1;OccurAttrFeaturizer;birthyear;position;0.441
dk;incremental;True;-1;1;OccurAttrFeaturizer;birthyear;team;1.105
dk;incremental;True;-1;1;OccurAttrFeaturizer;birthyear;city;1.027
dk;incremental;True;-1;1;OccurAttrFeaturizer;birthyear;stadium;1.05
dk;incremental;True;-1;1;OccurAttrFeaturizer;birthyear;season;0.292
dk;incremental;True;-1;1;OccurAttrFeaturizer;birthyear;manager;1.711
dk;incremental;True;-1;1;OccurAttrFeaturizer;city;name;1.212
dk;incremental;True;-1;1;OccurAttrFeaturizer;city;surname;1.139
dk;incremental;True;-1;1;OccurAttrFeaturizer;city;birthyear;0.772
dk;incremental;True;-1;1;OccurAttrFeaturizer;city;birthplace;1.87
dk;incremental;True;-1;1;OccurAttrFeaturizer;city;position;0.139
dk;incremental;True;-1;1;OccurAttrFeaturizer;city;team;2.094
dk;incremental;True;-1;1;OccurAttrFeaturizer;city;city;0.0
dk;incremental;True;-1;1;OccurAttrFeaturizer;city;stadium;1.721
dk;incremental;True;-1;1;OccurAttrFeaturizer;city;season;0.448
dk;incremental;True;-1;1;OccurAttrFeaturizer;city;manager;1.8
dk;incremental;True;-1;1;OccurAttrFeaturizer;manager;name;1.745
dk;incremental;True;-1;1;OccurAttrFeaturizer;manager;surname;2.08
dk;incremental;True;-1;1;OccurAttrFeaturizer;manager;birthyear;1.226
dk;incremental;True;-1;1;OccurAttrFeaturizer;manager;birthplace;2.025
dk;incremental;True;-1;1;OccurAttrFeaturizer;manager;position;0.139
dk;incremental;True;-1;1;OccurAttrFeaturizer;manager;team;1.624
dk;incremental;True;-1;1;OccurAttrFeaturizer;manager;city;2.23
dk;incremental;True;-1;1;OccurAttrFeaturizer;manager;stadium;1.596
dk;incremental;True;-1;1;OccurAttrFeaturizer;manager;season;0.894
dk;incremental;True;-1;1;OccurAttrFeaturizer;manager;manager;0.0
dk;incremental;True;-1;1;OccurAttrFeaturizer;position;name;1.766
dk;incremental;True;-1;1;OccurAttrFeaturizer;position;surname;1.3
dk;incremental;True;-1;1;OccurAttrFeaturizer;position;birthyear;0.815
dk;incremental;True;-1;1;OccurAttrFeaturizer;position;birthplace;1.0
dk;incremental;True;-1;1;OccurAttrFeaturizer;position;position;0.0
dk;incremental;True;-1;1;OccurAttrFeaturizer;position;team;0.41
dk;incremental;True;-1;1;OccurAttrFeaturizer;position;city;0.46
dk;incremental;True;-1;1;OccurAttrFeaturizer;position;stadium;0.539
dk;incremental;True;-1;1;OccurAttrFeaturizer;position;season;-0.083
dk;incremental;True;-1;1;OccurAttrFeaturizer;position;manager;0.786
dk;incremental;True;-1;1;OccurAttrFeaturizer;season;name;1.087
dk;incremental;True;-1;1;OccurAttrFeaturizer;season;surname;1.106
dk;incremental;True;-1;1;OccurAttrFeaturizer;season;birthyear;0.564
dk;incremental;True;-1;1;OccurAttrFeaturizer;season;birthplace;1.235
dk;incremental;True;-1;1;OccurAttrFeaturizer;season;position;-0.057
dk;incremental;True;-1;1;OccurAttrFeaturizer;season;team;1.643
dk;incremental;True;-1;1;OccurAttrFeaturizer;season;city;0.654
dk;incremental;True;-1;1;OccurAttrFeaturizer;season;stadium;0.79
dk;incremental;True;-1;1;OccurAttrFeaturizer;season;season;0.0
dk;incremental;True;-1;1;OccurAttrFeaturizer;season;manager;1.918
dk;incremental;True;-1;1;OccurAttrFeaturizer;stadium;name;1.866
dk;incremental;True;-1;1;OccurAttrFeaturizer;stadium;surname;1.765
dk;incremental;True;-1;1;OccurAttrFeaturizer;stadium;birthyear;0.656
dk;incremental;True;-1;1;OccurAttrFeaturizer;stadium;birthplace;0.994
dk;incremental;True;-1;1;OccurAttrFeaturizer;stadium;position;0.215
dk;incremental;True;-1;1;OccurAttrFeaturizer;stadium;team;1.732
dk;incremental;True;-1;1;OccurAttrFeaturizer;stadium;city;1.545
dk;incremental;True;-1;1;OccurAttrFeaturizer;stadium;stadium;-0.0
dk;incremental;True;-1;1;OccurAttrFeaturizer;stadium;season;0.44
