infer_mode;features;train_using_all_batches;skip_training_starting_batch;batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;repairs_on_correct_cells;repairs_on_incorrect_cells;rmse
dk;incremental;True;-1;1;510;3549;0.7777777777777778;0.09607843137254903;0.09607843137254903;0.17102966841186737;0.17102966841186737;510.0;510.0;49.0;63;63.0;0;63.0;0.0
dk;incremental;True;-1;2;1014;902;0.6019417475728155;0.06424870466321243;0.06424870466321243;0.11610486891385768;0.11610486891385768;965.0;965.0;62.0;103;103.0;3.0;100.0;0.0
dk;incremental;True;-1;3;1517;3933;0.7131782945736435;0.06529453513129879;0.06529453513129879;0.11963589076723018;0.11963589076723018;1409.0;1409.0;92.0;129;129.0;0;129.0;0.0
dk;incremental;True;-1;4;2018;3613;0.7484276729559748;0.06545654565456546;0.06545654565456546;0.12038442083965606;0.12038442083965606;1818.0;1818.0;119.0;159;159.0;1.0;158.0;0.0
dk;incremental;True;-1;5;2522;4310;0.6642335766423357;0.04128856624319419;0.04128856624319419;0.07774455360956856;0.07774455360956856;2204.0;2204.0;91.0;137;137.0;2.0;135.0;0.0
dk;incremental;True;-1;6;3027;0;0.7959183673469388;0.04465648854961832;0.04465648854961832;0.08456812432237079;0.08456812432237079;2620.0;2620.0;117.0;147;147.0;3.0;144.0;0.0
dk;incremental;True;-1;7;3525;0;0.8137931034482758;0.039280958721704395;0.039280958721704395;0.07494442680215943;0.07494442680215943;3004.0;3004.0;118.0;145;145.0;1.0;144.0;0.0
dk;incremental;True;-1;8;4036;0;0.6711409395973155;0.02942907592701589;0.02942907592701589;0.05638567803777839;0.05638567803777839;3398.0;3398.0;100.0;149;149.0;3.0;146.0;0.0
dk;incremental;True;-1;9;4550;0;0.6181818181818182;0.02673656618610747;0.02673656618610747;0.05125628140703518;0.05125628140703518;3815.0;3815.0;102.0;165;165.0;2.0;163.0;0.0
dk;incremental;True;-1;10;5041;0;0.7080745341614907;0.02710413694721826;0.02710413694721826;0.052209754980535844;0.052209754980535844;4206.0;4206.0;114.0;161;161.0;5.0;156.0;0.0
dk;incremental;True;-1;11;5547;0;0.5950920245398773;0.021073213121877037;0.021073213121877037;0.04070499370541334;0.04070499370541334;4603.0;4603.0;97.0;163;163.0;6.0;157.0;0.0
dk;incremental;True;-1;12;6070;0;0.7160493827160493;0.02303872889771599;0.02303872889771599;0.04464113911872234;0.04464113911872234;5035.0;5035.0;116.0;162;162.0;6.0;156.0;0.0
dk;incremental;True;-1;13;6590;0;0.7272727272727273;0.02056932966023875;0.02056932966023875;0.04000714413288087;0.04000714413288087;5445.0;5445.0;112.0;154;154.0;1.0;153.0;0.0
dk;incremental;True;-1;14;7088;0;0.7516778523489933;0.019204389574759947;0.019204389574759947;0.03745193111519814;0.03745193111519814;5832.0;5832.0;112.0;149;149.0;3.0;146.0;0.0
dk;incremental;True;-1;15;7577;0;0.7028985507246377;0.015614938828074694;0.015614938828074694;0.030551181102362202;0.030551181102362202;6212.0;6212.0;97.0;138;138.0;1.0;137.0;0.0
dk;incremental;True;-1;16;8066;0;0.6728395061728395;0.016502649507948525;0.016502649507948525;0.032215161814688933;0.032215161814688933;6605.0;6605.0;109.0;162;162.0;2.0;160.0;0.0
dk;incremental;True;-1;17;8581;0;0.7391304347826086;0.016968487095394266;0.016968487095394266;0.03317535545023696;0.03317535545023696;7013.0;7013.0;119.0;161;161.0;2.0;159.0;0.0
dk;incremental;True;-1;18;9078;0;0.6688741721854304;0.013661571757067496;0.013661571757067496;0.026776246023329797;0.026776246023329797;7393.0;7393.0;101.0;151;151.0;4.0;147.0;0.0
dk;incremental;True;-1;19;9581;0;0.7327586206896551;0.010898833183741505;0.010898833183741505;0.02147820593809223;0.02147820593809223;7799.0;7799.0;85.0;116;116.0;4.0;112.0;0.0
dk;incremental;True;-1;20;10093;0;0.7611940298507462;0.012393681652490888;0.012393681652490888;0.02439024390243903;0.02439024390243903;8230.0;8230.0;102.0;134;134.0;0;134.0;0.0
dk;incremental;True;-1;21;10613;0;0.7378048780487805;0.013991674375578168;0.013991674375578168;0.02746255106672719;0.02746255106672719;8648.0;8648.0;121.0;164;164.0;0;164.0;0.0
dk;incremental;True;-1;22;11109;0;0.732484076433121;0.012745206694004212;0.012745206694004212;0.025054466230936823;0.025054466230936823;9023.0;9023.0;115.0;157;157.0;0;157.0;0.0
dk;incremental;True;-1;23;11612;0;0.7586206896551724;0.01168844968653703;0.01168844968653703;0.02302218501465048;0.02302218501465048;9411.0;9411.0;110.0;145;145.0;0;145.0;0.0
dk;incremental;True;-1;24;12121;0;0.6928104575163399;0.010805300713557594;0.010805300713557594;0.021278731305831574;0.021278731305831574;9810.0;9810.0;106.0;153;153.0;0;153.0;0.0
dk;incremental;True;-1;25;12641;0;0.7266666666666667;0.010661189358372456;0.010661189358372456;0.02101407364565259;0.02101407364565259;10224.0;10224.0;109.0;150;150.0;1.0;149.0;0.0
dk;incremental;True;-1;26;13134;0;0.782608695652174;0.010180035818644547;0.010180035818644547;0.020098632176421327;0.020098632176421327;10609.0;10609.0;108.0;138;138.0;0;138.0;0.0
dk;incremental;True;-1;27;13633;0;0.7703703703703704;0.009454545454545455;0.009454545454545455;0.01867983834755276;0.01867983834755276;11000.0;11000.0;104.0;135;135.0;0;135.0;0.0
dk;incremental;True;-1;28;14113;0;0.7299270072992701;0.008790436005625879;0.008790436005625879;0.017371666811430556;0.017371666811430556;11376.0;11376.0;100.0;137;137.0;0;137.0;0.0
dk;incremental;True;-1;29;14600;0;0.7265625;0.007906146391226727;0.007906146391226727;0.01564208224707762;0.01564208224707762;11763.0;11763.0;93.0;128;128.0;0;128.0;0.0
dk;incremental;True;-1;30;15109;0;0.7165354330708661;0.00747187782248132;0.00747187782248132;0.01478953356086462;0.01478953356086462;12179.0;12179.0;91.0;127;127.0;0;127.0;0.0
dk;incremental;True;-1;31;15607;0;0.7299270072992701;0.00794533608771651;0.00794533608771651;0.015719562996148705;0.015719562996148705;12586.0;12586.0;100.0;137;137.0;0;137.0;0.0
dk;incremental;True;-1;32;16105;0;0.8181818181818182;0.00831792975970425;0.00831792975970425;0.01646843549862763;0.01646843549862763;12984.0;12984.0;108.0;132;132.0;0;132.0;0.0
