batch;dk_cells;training_cells;clean_dataset_ratio;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;repairs_on_correct_cells;repairs_on_incorrect_cells
1;787;1036;0.9782352941176471;1.0;0.26;0.2765957446808511;0.41269841269841273;0.43333333333333335;47.0;50.0;13.0;33.0;0;13.0
2;1475;999;0.9814705882352941;1.0;0.2125;0.25;0.3505154639175258;0.4;68.0;80.0;17.0;38.0;0;17.0
3;2620;1222;0.9821568627450981;1.0;0.2601626016260163;0.3047619047619048;0.4129032258064516;0.4671532846715329;105.0;123.0;32.0;42.0;0;32.0
4;2688;1594;0.9627941176470588;0.1310344827586207;0.13013698630136986;0.15702479338842976;0.13058419243986255;0.14285714285714288;121.0;146.0;19.0;151.0;126.0;19.0
5;3819;1210;0.9669411764705882;0.6461538461538462;0.13592233009708737;0.15328467153284672;0.2245989304812834;0.24778761061946902;274.0;309.0;42.0;76.0;14.0;51.0
6;3951;1496;0.9696078431372549;0.9285714285714286;0.07738095238095238;0.11255411255411256;0.14285714285714288;0.2007722007722008;231.0;336.0;26.0;32.0;0;28.0
7;4376;1332;0.9725210084033613;1.0;0.08659217877094973;0.125;0.15938303341902313;0.2222222222222222;248.0;358.0;31.0;42.0;0;31.0
8;4813;1625;0.9743382352941177;0.9302325581395349;0.10335917312661498;0.14705882352941177;0.18604651162790697;0.25396825396825395;272.0;387.0;40.0;53.0;2.0;41.0
9;5051;1432;0.9761437908496732;1.0;0.061696658097686374;0.11009174311926606;0.1162227602905569;0.19834710743801653;218.0;389.0;24.0;41.0;0;24.0
10;5549;1426;0.9778823529411764;1.0;0.07616707616707617;0.1336206896551724;0.14155251141552513;0.23574144486692014;232.0;407.0;31.0;41.0;0;31.0
