batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;repairs_on_correct_cells;repairs_on_incorrect_cells
1;787;1036;1.0;0.26;0.2765957446808511;0.41269841269841273;0.43333333333333335;47.0;50.0;13.0;33.0;0;13.0
2;1475;1781;1.0;0.2375;0.27941176470588236;0.3838383838383838;0.4367816091954023;68.0;80.0;19.0;40.0;0;19.0
3;2571;2906;1.0;0.1322314049586777;0.1553398058252427;0.23357664233576642;0.2689075630252101;103.0;121.0;16.0;26.0;0;16.0
4;3198;3955;0.15079365079365079;0.11875;0.14074074074074075;0.13286713286713286;0.14559386973180077;135.0;160.0;19.0;132.0;107.0;19.0
5;4306;4615;0.9487179487179487;0.12171052631578948;0.13805970149253732;0.2157434402332362;0.24104234527687296;268.0;304.0;37.0;50.0;0;39.0
6;4914;5862;1.0;0.10248447204968944;0.12087912087912088;0.18591549295774648;0.21568627450980393;273.0;322.0;33.0;37.0;0;33.0
7;4901;6749;1.0;0.11572700296735905;0.13780918727915195;0.20744680851063832;0.24223602484472048;283.0;337.0;39.0;50.0;0;39.0
8;5369;8732;1.0;0.09217877094972067;0.11;0.1687979539641944;0.19819819819819817;300.0;358.0;33.0;43.0;0;33.0
9;5461;10230;1.0;0.06027397260273973;0.07333333333333333;0.11369509043927649;0.13664596273291926;300.0;365.0;22.0;39.0;0;22.0
10;6086;11366;1.0;0.08571428571428572;0.10476190476190476;0.15789473684210528;0.1896551724137931;315.0;385.0;33.0;43.0;0;33.0
