batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;repairs_on_correct_cells;repairs_on_incorrect_cells
1;787;1036;1.0;0.26;0.2765957446808511;0.41269841269841273;0.43333333333333335;47.0;50.0;13.0;33.0;0;13.0
2;1475;1781;1.0;0.2375;0.27941176470588236;0.3838383838383838;0.4367816091954023;68.0;80.0;19.0;40.0;0;19.0
3;2571;2906;1.0;0.1322314049586777;0.1553398058252427;0.23357664233576642;0.2689075630252101;103.0;121.0;16.0;26.0;0;16.0
4;3198;3955;0.14960629921259844;0.11875;0.14074074074074075;0.132404181184669;0.1450381679389313;135.0;160.0;19.0;133.0;108.0;19.0
5;4306;4615;0.9487179487179487;0.12131147540983607;0.137546468401487;0.21511627906976744;0.2402597402597402;269.0;305.0;37.0;50.0;0;39.0
6;4914;5862;1.0;0.1021671826625387;0.12043795620437957;0.18539325842696627;0.21498371335504887;274.0;323.0;33.0;37.0;0;33.0
7;4901;6749;1.0;0.11538461538461539;0.13732394366197184;0.20689655172413793;0.24148606811145515;284.0;338.0;39.0;50.0;0;39.0
8;5369;8732;1.0;0.09192200557103064;0.10963455149501661;0.16836734693877553;0.19760479041916168;301.0;359.0;33.0;43.0;0;33.0
9;5461;10230;1.0;0.060109289617486336;0.07308970099667775;0.11340206185567009;0.13622291021671828;301.0;366.0;22.0;39.0;0;22.0
10;6086;11366;1.0;0.08549222797927461;0.10443037974683544;0.1575178997613365;0.18911174785100285;316.0;386.0;33.0;43.0;0;33.0
