_tid_,attribute
600,relationship
610,relationship
698,relationship
706,relationship
726,relationship
798,relationship
848,relationship
927,relationship
936,relationship
984,relationship
1012,relationship
1077,relationship
1102,relationship
1238,relationship
1343,relationship
1465,relationship
1516,relationship
1537,relationship
1568,relationship
1591,relationship
1610,relationship
1628,relationship
1632,relationship
1649,relationship
1695,relationship
1717,relationship
1734,relationship
1737,relationship
1767,relationship
1776,relationship
1837,relationship
1852,relationship
1870,relationship
1952,relationship
1955,relationship
1992,relationship
1993,relationship
2010,relationship
2023,relationship
2136,relationship
2149,relationship
2151,relationship
2164,relationship
2172,relationship
2181,relationship
2217,relationship
2218,relationship
2225,relationship
2228,relationship
2262,relationship
2281,relationship
2314,relationship
2330,relationship
2355,relationship
2389,relationship
2420,relationship
2425,relationship
2429,relationship
2435,relationship
2466,relationship
2472,relationship
2580,relationship
2598,relationship
2712,sex
2719,relationship
2730,relationship
2732,relationship
2756,relationship
2774,relationship
2785,relationship
2789,relationship
2847,relationship
2886,relationship
2902,relationship
2940,relationship
2970,relationship
3022,relationship
3056,relationship
3061,relationship
3107,relationship
3171,relationship
3183,relationship
3207,relationship
3216,relationship
3361,relationship
3372,relationship
3453,relationship
3484,relationship
3501,relationship
3505,relationship
3513,relationship
3527,relationship
3556,relationship
3629,relationship
3638,relationship
3701,relationship
3729,relationship
3811,relationship
3814,relationship
3817,relationship
3843,relationship
3849,relationship
3865,relationship
3882,relationship
3925,relationship
3934,relationship
3958,relationship
3988,sex
4048,relationship
4066,sex
4095,relationship
4109,relationship
4121,relationship
4123,relationship
4132,relationship
4190,relationship
4234,relationship
4275,relationship
4429,relationship
4434,relationship
4437,relationship
4456,relationship
4621,sex
4638,relationship
4648,relationship
4663,relationship
4694,relationship
4757,relationship
4767,relationship
4788,relationship
4797,relationship
4821,relationship
4837,relationship
4838,relationship
4839,relationship
4889,relationship
4906,relationship
4918,relationship
4973,relationship
5018,relationship
5058,relationship
5189,relationship
5201,relationship
5212,relationship
5233,relationship
5266,relationship
5276,sex
5320,relationship
5338,relationship
5357,relationship
5371,sex
5424,relationship
5577,relationship
5598,relationship
5621,relationship
5623,relationship
5675,relationship
5716,relationship
5762,relationship
5770,relationship
5831,relationship
5846,relationship
5872,relationship
5909,sex
5992,sex
6184,sex
6188,relationship
6189,relationship
6192,relationship
6196,relationship
6227,relationship
6292,relationship
6326,relationship
6331,relationship
6382,sex
6522,relationship
6548,relationship
6564,sex
6612,sex
6635,relationship
6662,relationship
6730,sex
6739,relationship
6825,sex
6876,relationship
6947,relationship
6957,relationship
6986,relationship
6989,sex
7085,relationship
7150,relationship
7197,relationship
7202,sex
7210,relationship
7217,sex
7352,sex
7374,relationship
7487,relationship
7574,relationship
7603,relationship
7606,relationship
7662,relationship
7753,relationship
7756,relationship
7852,sex
7881,relationship
8012,relationship
8022,relationship
8080,sex
8135,relationship
8237,relationship
8416,relationship
8603,relationship
8690,sex
8708,sex
8798,relationship
8800,relationship
8807,sex
8808,relationship
8879,sex
8889,sex
8921,relationship
8980,sex
9102,sex
9158,relationship
9247,sex
9288,sex
9321,relationship
9395,relationship
9420,relationship
9495,relationship
9567,relationship
9599,relationship
9612,relationship
9714,relationship
9770,relationship
9799,sex
9823,relationship
9899,relationship
9907,sex
10012,relationship
10016,sex
10030,relationship
10048,relationship
10089,sex
10176,sex
10178,relationship
10179,relationship
10229,sex
10258,sex
10368,relationship
10461,relationship
10522,sex
10630,sex
10707,sex
10729,relationship
10743,sex
10794,sex
10810,relationship
10875,relationship
10882,relationship
10906,relationship
10932,sex
10976,relationship
11011,sex
11071,relationship
11190,sex
11254,relationship
11357,sex
11380,sex
11467,sex
11661,relationship
11703,relationship
11833,relationship
11922,relationship
11932,relationship
11979,sex
11999,sex
12068,sex
12196,relationship
12295,relationship
12357,relationship
12493,relationship
12641,sex
12673,sex
12765,relationship
12806,relationship
12934,relationship
12974,sex
13015,relationship
13083,relationship
13136,sex
13151,sex
13214,relationship
13233,relationship
13328,relationship
13377,relationship
13399,sex
13438,relationship
13442,relationship
13561,relationship
13664,relationship
13679,relationship
13752,sex
13763,sex
13785,relationship
13822,relationship
13925,relationship
13929,sex
13947,relationship
13971,sex
13988,relationship
13993,sex
14002,sex
14103,sex
14160,relationship
14283,sex
14362,relationship
14428,sex
14586,sex
14588,sex
14625,relationship
14634,sex
14666,sex
14842,sex
14949,relationship
14986,relationship
15072,relationship
15159,sex
15176,relationship
15224,sex
15267,relationship
15319,sex
15354,sex
15356,relationship
15457,relationship
15519,relationship
15549,sex
15593,relationship
15688,sex
15797,sex
15829,sex
15843,sex
15886,sex
15905,sex
15936,sex
16063,sex
16099,sex
16131,relationship
16201,relationship
16248,sex
16333,relationship
16369,relationship
16370,relationship
16372,sex
16390,relationship
16402,sex
16438,sex
16442,sex
16458,sex
16565,sex
16574,sex
16595,relationship
16645,relationship
16706,relationship
16768,relationship
16791,sex
16889,sex
16911,relationship
16949,relationship
16957,relationship
17004,sex
17027,sex
17142,relationship
17152,relationship
17374,sex
17420,relationship
17426,sex
17533,sex
17829,sex
18042,sex
18097,relationship
18109,sex
18111,relationship
18160,sex
18161,sex
18284,sex
18288,sex
18306,sex
18307,relationship
18334,sex
18420,relationship
18462,sex
18500,sex
18502,relationship
18579,sex
18629,sex
18657,sex
18700,sex
18868,relationship
18905,relationship
18958,relationship
18969,sex
19014,relationship
19109,relationship
19145,relationship
19211,sex
19230,sex
19239,relationship
