_tid_,attribute,init_val,correct_val,pred_val,pred_prob,domain_dict
55,address,1938 irving park rd,1938 w irving park rd,1938 w irving park rd,0.634518146514893,"{""1938 irving park rd"": 0.36548182, ""1938 w irving park rd"": 0.63451815}"
66,facilitytype,golden diner,restaurant,restaurant,0.525484442710876,"{""bakery"": 0.030151157, ""daycare above and under 2 years"": 0.02960447, ""golden diner"": 0.33983612, ""grocery store"": 0.03938538, ""restaurant"": 0.52548444, ""school"": 0.035538487}"
137,facilitytype,_nan_,restaurant,restaurant,0.48389533162117,"{""grocery store"": 0.2737556, ""restaurant"": 0.48389533, ""school"": 0.24234901}"
143,facilitytype,_nan_,restaurant,restaurant,0.481783926486969,"{""grocery store"": 0.2893729, ""restaurant"": 0.48178393, ""school"": 0.2288432}"
144,facilitytype,_nan_,restaurant,restaurant,0.481783926486969,"{""grocery store"": 0.2893729, ""restaurant"": 0.48178393, ""school"": 0.2288432}"
145,facilitytype,_nan_,restaurant,restaurant,0.481783926486969,"{""grocery store"": 0.2893729, ""restaurant"": 0.48178393, ""school"": 0.2288432}"
203,facilitytype,_nan_,shelter,restaurant,0.527509093284607,"{""grocery store"": 0.25180644, ""restaurant"": 0.5275091, ""school"": 0.22068444}"
237,facilitytype,_nan_,school,restaurant,0.159779727458954,"{""grocery store"": 0.14439932, ""long term care"": 0.13361858, ""navy pier kiosk"": 0.14057505, ""restaurant"": 0.15977973, ""school"": 0.1369961, ""shelter"": 0.14055969, ""soup kitchen"": 0.14407153}"
243,address,1938 w division st,1938-1940 w division st,1938-1940 w division st,0.47606036067009,"{""1045 w madison st"": 0.39011103, ""1938 w division st"": 0.1338287, ""1938-1940 w division st"": 0.47606036}"
245,facilitytype,_nan_,restaurant,restaurant,0.290529698133469,"{""grocery store"": 0.13760999, ""long term care"": 0.106623426, ""navy pier kiosk"": 0.116959676, ""restaurant"": 0.2905297, ""school"": 0.111491434, ""shelter"": 0.116975404, ""soup kitchen"": 0.11981039}"
254,facilitytype,_nan_,shelter,restaurant,0.434080988168716,"{""grocery store"": 0.20102397, ""long term care"": 0.16652633, ""restaurant"": 0.434081, ""school"": 0.19836871}"
273,facilitytype,_nan_,shelter,restaurant,0.437099575996399,"{""grocery store"": 0.24363635, ""mobile food dispenser"": 0.13305415, ""restaurant"": 0.43709958, ""school"": 0.1862099}"
274,facilitytype,_nan_,restaurant,restaurant,0.281483322381973,"{""grocery store"": 0.15949735, ""mobile food dispenser"": 0.0868501, ""navy pier kiosk"": 0.1146947, ""restaurant"": 0.28148332, ""school"": 0.12531793, ""shelter"": 0.11471012, ""soup kitchen"": 0.11744653}"
282,facilitytype,_nan_,restaurant,restaurant,0.439900279045105,"{""daycare above and under 2 years"": 0.16745533, ""grocery store"": 0.21882361, ""restaurant"": 0.43990028, ""school"": 0.17382085}"
289,facilitytype,_nan_,liquor,restaurant,0.631388247013092,"{""bakery"": 0.07977413, ""grocery store"": 0.10670629, ""mobile food dispenser"": 0.08347492, ""restaurant"": 0.63138825, ""school"": 0.09865638}"
294,facilitytype,_nan_,restaurant,restaurant,0.25614669919014,"{""candy/gelato"": 0.10735975, ""grocery store"": 0.16720842, ""navy pier kiosk"": 0.113080144, ""restaurant"": 0.2561467, ""school"": 0.1272734, ""shelter"": 0.11309535, ""soup kitchen"": 0.115836285}"
315,facilitytype,_nan_,restaurant,restaurant,0.469661325216293,"{""bakery"": 0.28123522, ""grocery store"": 0.12787147, ""restaurant"": 0.46966133, ""school"": 0.12123195}"
