_tid_,attribute
2,ADDR_PCT_CD
11,ADDR_PCT_CD
23,ADDR_PCT_CD
24,ADDR_PCT_CD
32,ADDR_PCT_CD
33,ADDR_PCT_CD
34,ADDR_PCT_CD
36,ADDR_PCT_CD
37,ADDR_PCT_CD
40,ADDR_PCT_CD
44,ADDR_PCT_CD
45,ADDR_PCT_CD
46,ADDR_PCT_CD
56,ADDR_PCT_CD
57,ADDR_PCT_CD
66,ADDR_PCT_CD
69,ADDR_PCT_CD
84,ADDR_PCT_CD
85,ADDR_PCT_CD
88,ADDR_PCT_CD
91,ADDR_PCT_CD
95,ADDR_PCT_CD
102,ADDR_PCT_CD
107,ADDR_PCT_CD
108,ADDR_PCT_CD
110,ADDR_PCT_CD
119,ADDR_PCT_CD
130,ADDR_PCT_CD
131,ADDR_PCT_CD
134,ADDR_PCT_CD
147,ADDR_PCT_CD
159,ADDR_PCT_CD
163,ADDR_PCT_CD
175,ADDR_PCT_CD
183,ADDR_PCT_CD
187,ADDR_PCT_CD
188,ADDR_PCT_CD
195,ADDR_PCT_CD
196,ADDR_PCT_CD
197,ADDR_PCT_CD
199,ADDR_PCT_CD
201,ADDR_PCT_CD
213,ADDR_PCT_CD
219,ADDR_PCT_CD
221,ADDR_PCT_CD
222,ADDR_PCT_CD
227,ADDR_PCT_CD
230,ADDR_PCT_CD
231,ADDR_PCT_CD
238,ADDR_PCT_CD
239,ADDR_PCT_CD
240,ADDR_PCT_CD
242,ADDR_PCT_CD
252,ADDR_PCT_CD
259,ADDR_PCT_CD
263,ADDR_PCT_CD
266,ADDR_PCT_CD
275,ADDR_PCT_CD
283,ADDR_PCT_CD
285,ADDR_PCT_CD
292,ADDR_PCT_CD
293,ADDR_PCT_CD
294,ADDR_PCT_CD
300,ADDR_PCT_CD
308,ADDR_PCT_CD
309,ADDR_PCT_CD
310,ADDR_PCT_CD
311,ADDR_PCT_CD
316,ADDR_PCT_CD
317,ADDR_PCT_CD
321,ADDR_PCT_CD
322,ADDR_PCT_CD
324,ADDR_PCT_CD
330,ADDR_PCT_CD
332,ADDR_PCT_CD
343,ADDR_PCT_CD
345,ADDR_PCT_CD
358,ADDR_PCT_CD
364,ADDR_PCT_CD
370,ADDR_PCT_CD
372,ADDR_PCT_CD
377,ADDR_PCT_CD
384,ADDR_PCT_CD
386,ADDR_PCT_CD
387,ADDR_PCT_CD
389,ADDR_PCT_CD
391,ADDR_PCT_CD
397,ADDR_PCT_CD
407,ADDR_PCT_CD
415,ADDR_PCT_CD
417,ADDR_PCT_CD
419,ADDR_PCT_CD
420,ADDR_PCT_CD
421,ADDR_PCT_CD
422,ADDR_PCT_CD
427,ADDR_PCT_CD
435,ADDR_PCT_CD
438,ADDR_PCT_CD
440,ADDR_PCT_CD
454,ADDR_PCT_CD
455,ADDR_PCT_CD
456,ADDR_PCT_CD
463,ADDR_PCT_CD
476,ADDR_PCT_CD
481,ADDR_PCT_CD
482,ADDR_PCT_CD
484,ADDR_PCT_CD
506,ADDR_PCT_CD
510,ADDR_PCT_CD
512,ADDR_PCT_CD
525,ADDR_PCT_CD
527,ADDR_PCT_CD
537,ADDR_PCT_CD
543,ADDR_PCT_CD
548,ADDR_PCT_CD
551,ADDR_PCT_CD
552,ADDR_PCT_CD
554,ADDR_PCT_CD
563,ADDR_PCT_CD
565,ADDR_PCT_CD
566,ADDR_PCT_CD
567,ADDR_PCT_CD
586,ADDR_PCT_CD
595,ADDR_PCT_CD
596,ADDR_PCT_CD
597,ADDR_PCT_CD
600,ADDR_PCT_CD
612,ADDR_PCT_CD
618,ADDR_PCT_CD
619,ADDR_PCT_CD
623,ADDR_PCT_CD
627,ADDR_PCT_CD
632,ADDR_PCT_CD
639,ADDR_PCT_CD
647,ADDR_PCT_CD
654,ADDR_PCT_CD
674,ADDR_PCT_CD
676,ADDR_PCT_CD
685,ADDR_PCT_CD
686,ADDR_PCT_CD
687,ADDR_PCT_CD
692,ADDR_PCT_CD
709,ADDR_PCT_CD
713,ADDR_PCT_CD
725,ADDR_PCT_CD
726,ADDR_PCT_CD
728,ADDR_PCT_CD
730,ADDR_PCT_CD
733,ADDR_PCT_CD
734,ADDR_PCT_CD
757,ADDR_PCT_CD
761,ADDR_PCT_CD
766,ADDR_PCT_CD
767,ADDR_PCT_CD
771,ADDR_PCT_CD
783,ADDR_PCT_CD
788,ADDR_PCT_CD
792,ADDR_PCT_CD
793,ADDR_PCT_CD
804,ADDR_PCT_CD
811,ADDR_PCT_CD
813,ADDR_PCT_CD
815,ADDR_PCT_CD
825,ADDR_PCT_CD
832,ADDR_PCT_CD
838,ADDR_PCT_CD
843,ADDR_PCT_CD
851,ADDR_PCT_CD
852,ADDR_PCT_CD
858,ADDR_PCT_CD
859,ADDR_PCT_CD
870,ADDR_PCT_CD
874,ADDR_PCT_CD
875,ADDR_PCT_CD
881,ADDR_PCT_CD
896,ADDR_PCT_CD
911,ADDR_PCT_CD
918,ADDR_PCT_CD
920,ADDR_PCT_CD
923,ADDR_PCT_CD
929,ADDR_PCT_CD
933,ADDR_PCT_CD
938,ADDR_PCT_CD
941,ADDR_PCT_CD
942,ADDR_PCT_CD
943,ADDR_PCT_CD
945,ADDR_PCT_CD
946,ADDR_PCT_CD
949,ADDR_PCT_CD
953,ADDR_PCT_CD
956,ADDR_PCT_CD
959,ADDR_PCT_CD
962,ADDR_PCT_CD
970,ADDR_PCT_CD
986,ADDR_PCT_CD
989,ADDR_PCT_CD
1005,ADDR_PCT_CD
1012,ADDR_PCT_CD
1023,ADDR_PCT_CD
1024,ADDR_PCT_CD
1027,ADDR_PCT_CD
1028,ADDR_PCT_CD
1033,ADDR_PCT_CD
1042,ADDR_PCT_CD
1045,ADDR_PCT_CD
1052,ADDR_PCT_CD
1054,ADDR_PCT_CD
1073,ADDR_PCT_CD
1078,ADDR_PCT_CD
1084,ADDR_PCT_CD
1094,ADDR_PCT_CD
1098,ADDR_PCT_CD
1104,ADDR_PCT_CD
1105,ADDR_PCT_CD
1113,ADDR_PCT_CD
1117,ADDR_PCT_CD
1124,ADDR_PCT_CD
1130,ADDR_PCT_CD
1132,ADDR_PCT_CD
1141,ADDR_PCT_CD
1146,ADDR_PCT_CD
1148,ADDR_PCT_CD
1152,ADDR_PCT_CD
1154,ADDR_PCT_CD
1158,ADDR_PCT_CD
1159,ADDR_PCT_CD
1167,ADDR_PCT_CD
1169,ADDR_PCT_CD
1170,ADDR_PCT_CD
1174,ADDR_PCT_CD
1189,ADDR_PCT_CD
1196,ADDR_PCT_CD
1202,ADDR_PCT_CD
1216,ADDR_PCT_CD
1227,ADDR_PCT_CD
1239,ADDR_PCT_CD
1246,ADDR_PCT_CD
1247,ADDR_PCT_CD
1251,ADDR_PCT_CD
1260,ADDR_PCT_CD
1262,ADDR_PCT_CD
1276,ADDR_PCT_CD
1280,ADDR_PCT_CD
1282,ADDR_PCT_CD
