_tid_,attribute
690,birthyear
712,birthyear
766,season
905,season
929,season
961,season
983,season
1005,season
1095,birthplace
1239,season
1265,birthplace
1386,season
1503,season
1542,season
1551,birthyear
1595,season
1699,season
2302,birthyear
2844,season
3143,season
3586,season
3607,position
3640,stadium
3655,stadium
3709,position
3769,position
3880,stadium
3893,stadium
3917,birthplace
3918,position
3921,stadium
4033,team
4057,position
4096,team
4136,team
4138,team
4169,team
4188,team
4204,team
4205,team
4239,city
4256,team
4272,team
4301,city
4312,city
4388,city
4496,city
4622,birthplace
4820,birthplace
4857,manager
4863,manager
4905,manager
4918,birthyear
4946,manager
4977,manager
