_tid_,attribute
4,city
6,manager
9,city
11,season
13,position
13,city
14,season
15,season
16,city
17,season
22,stadium
22,manager
23,manager
25,birthyear
26,stadium
26,manager
28,season
31,stadium
31,manager
33,manager
34,manager
38,stadium
39,stadium
39,manager
40,city
40,manager
41,season
43,team
44,stadium
45,season
52,stadium
53,manager
55,team
56,manager
57,season
58,manager
59,season
60,city
60,manager
61,team
62,team
63,team
64,birthyear
68,season
71,team
72,birthplace
73,city
76,city
76,manager
77,season
78,city
78,manager
79,manager
81,season
82,birthyear
82,city
83,team
84,stadium
84,manager
86,manager
87,manager
88,manager
89,season
90,city
90,manager
91,city
92,team
93,season
95,manager
96,manager
96,city
98,position
99,team
100,manager
102,team
104,team
106,season
107,position
112,team
112,birthyear
113,team
116,birthplace
118,team
119,manager
120,team
121,birthyear
121,team
122,manager
122,stadium
122,birthyear
123,stadium
123,manager
124,city
125,city
125,manager
126,city
126,manager
127,season
129,team
132,season
133,season
137,team
139,manager
140,birthyear
140,season
141,birthyear
144,stadium
144,manager
145,season
147,stadium
147,manager
148,stadium
148,manager
150,birthyear
150,season
151,manager
152,team
153,season
155,season
157,manager
160,season
163,stadium
163,manager
165,season
168,manager
169,team
170,season
171,team
172,city
172,manager
174,city
174,manager
175,birthyear
175,city
175,manager
176,team
180,season
181,birthyear
182,season
187,manager
188,manager
189,birthplace
190,position
190,team
191,season
192,team
194,season
195,team
196,city
197,season
198,stadium
198,manager
199,city
199,manager
200,stadium
200,manager
201,manager
201,stadium
202,city
202,manager
203,birthyear
203,team
204,stadium
204,manager
206,season
207,team
208,manager
208,stadium
210,birthyear
210,team
212,birthplace
214,team
215,team
216,city
216,manager
217,manager
217,city
220,stadium
220,manager
221,birthplace
222,position
222,team
223,birthyear
223,season
224,manager
224,city
225,season
226,season
227,position
227,city
228,season
229,team
231,city
232,position
232,team
233,manager
235,stadium
235,manager
236,birthplace
236,season
237,team
240,season
241,city
243,season
244,season
245,city
245,manager
246,birthyear
246,team
247,manager
248,city
248,manager
250,manager
251,manager
251,city
252,birthplace
253,birthplace
253,manager
254,birthplace
254,stadium
254,manager
255,season
256,stadium
256,manager
256,birthyear
257,stadium
257,manager
258,city
258,manager
259,city
259,manager
260,manager
262,birthplace
263,stadium
263,manager
263,position
264,birthyear
265,stadium
265,manager
266,birthplace
267,season
268,birthyear
268,season
269,season
269,birthplace
271,city
273,position
273,stadium
273,manager
276,team
277,team
278,manager
280,season
282,season
283,team
284,position
284,team
286,season
287,birthyear
288,stadium
288,manager
289,stadium
289,manager
290,manager
290,birthyear
290,city
291,team
293,season
294,birthplace
295,stadium
295,manager
296,season
298,season
298,birthyear
300,team
301,position
303,stadium
303,manager
304,birthplace
304,stadium
304,manager
305,team
306,manager
306,city
307,position
308,city
309,manager
310,manager
313,birthplace
314,stadium
314,manager
317,birthplace
318,birthplace
321,position
321,city
321,manager
322,team
323,birthplace
323,manager
324,team
325,season
326,manager
326,stadium
328,season
329,birthplace
330,stadium
330,manager
333,position
333,city
333,manager
334,manager
335,stadium
335,manager
336,city
338,season
339,team
340,team
342,team
343,stadium
343,manager
344,city
345,season
345,birthyear
346,birthyear
347,team
348,city
350,manager
351,city
351,manager
352,team
354,season
355,position
356,birthplace
360,team
362,season
364,stadium
364,manager
365,city
365,manager
366,birthyear
367,manager
368,city
369,manager
369,position
369,stadium
371,birthyear
371,team
372,season
373,season
374,manager
374,city
375,season
376,manager
378,team
379,position
379,city
380,stadium
380,manager
382,team
384,birthplace
386,team
386,birthyear
387,position
387,manager
388,manager
389,team
390,season
392,team
394,birthyear
394,team
395,team
395,birthyear
397,season
398,season
399,team
400,city
400,manager
401,season
402,city
402,birthyear
405,birthplace
406,manager
407,team
408,birthyear
408,season
409,city
410,birthplace
410,city
411,season
412,season
413,season
414,team
414,position
415,position
415,team
416,season
417,city
418,city
418,manager
419,birthyear
419,season
420,manager
420,city
421,birthplace
421,manager
422,birthplace
423,position
424,team
425,position
425,team
426,city
431,manager
431,position
432,stadium
432,manager
434,birthplace
435,team
436,season
437,position
438,birthplace
438,manager
441,team
442,team
443,city
443,manager
444,manager
445,manager
447,season
448,manager
451,season
452,manager
453,position
454,city
454,manager
456,season
457,manager
459,stadium
459,manager
460,team
462,team
463,manager
464,birthplace
464,season
465,season
466,manager
467,manager
468,season
469,season
470,city
471,manager
471,stadium
471,position
472,manager
473,city
473,manager
474,city
475,stadium
475,manager
476,season
476,birthyear
477,season
479,season
480,position
481,city
482,stadium
482,manager
483,position
484,manager
486,season
488,position
490,city
490,position
491,team
492,birthyear
492,stadium
492,manager
493,city
493,manager
494,season
495,manager
495,city
496,birthyear
497,team
498,city
498,manager
501,stadium
501,manager
502,season
502,birthyear
504,birthyear
505,birthplace
506,stadium
506,manager
509,season
510,season
512,season
513,birthyear
514,stadium
514,manager
515,birthplace
516,city
517,position
517,team
518,birthyear
519,city
519,manager
520,season
523,stadium
523,manager
525,city
525,birthplace
526,stadium
526,manager
528,team
529,stadium
529,manager
531,birthyear
533,team
534,stadium
534,manager
535,manager
535,birthplace
536,birthplace
536,city
538,team
539,season
541,position
541,stadium
541,manager
542,manager
542,stadium
543,city
543,manager
544,season
545,city
545,manager
546,manager
548,season
549,birthplace
550,birthyear
551,city
552,season
553,season
554,stadium
554,manager
555,manager
556,season
557,manager
558,manager
558,stadium
559,position
559,stadium
559,manager
560,birthyear
560,stadium
560,manager
561,stadium
561,manager
561,position
563,city
563,manager
565,birthyear
565,team
566,birthyear
566,season
567,team
567,position
568,manager
568,city
570,team
571,manager
572,city
572,manager
574,birthplace
575,birthyear
575,stadium
575,manager
576,season
576,birthyear
577,position
577,stadium
577,manager
578,stadium
578,manager
579,season
580,city
582,manager
582,city
583,city
583,manager
584,position
584,city
585,stadium
585,manager
586,season
587,manager
587,stadium
587,birthyear
588,city
589,team
590,team
593,position
593,city
593,manager
594,birthplace
594,season
597,season
598,birthplace
598,stadium
598,manager
599,team
600,team
602,city
603,birthyear
603,season
604,manager
604,stadium
605,birthplace
606,city
607,birthplace
607,manager
608,position
608,stadium
608,manager
609,season
610,birthyear
610,team
613,manager
613,city
614,birthplace
614,manager
615,city
615,manager
616,city
616,manager
617,season
618,manager
618,stadium
619,season
621,season
622,stadium
622,manager
623,manager
624,season
625,season
626,position
627,season
629,birthplace
629,season
631,city
633,birthyear
633,city
634,stadium
634,manager
635,manager
635,stadium
636,team
