tid,attribute,correct_val
0,city,chicago
0,zip,60657
0,risk,risk 1 (high)
0,license,1222441
0,inspectiontype,complaint
0,inspectionid,44247
0,address,3155 n halsted st
1,facilitytype,restaurant
2,city,chicago
2,zip,60657
2,risk,risk 1 (high)
2,license,1334073
2,inspectiontype,canvass re-inspection
2,inspectionid,44249
2,address,960 w belmont ave
2,inspectiondate,2010-01-21
2,results,pass
2,longitude,-87.65381103
2,state,il
2,akaname,azha restaurant
2,latitude,41.94002688
2,dbaname,azha restaurant inc.
2,facilitytype,restaurant
3,city,chicago
3,zip,60657
3,risk,risk 1 (high)
3,license,1144381
3,inspectiontype,canvass
3,inspectionid,44250
3,address,2900 n lake shore dr
3,inspectiondate,2010-02-09
3,state,il
3,akaname,saint joseph hospital
3,latitude,41.93440299
7,address,5554 n clark st
11,akaname,jimmy johns sandwich shop
11,latitude,41.96874385
11,dbaname,jimmy johns sandwich shop
11,facilitytype,restaurant
12,city,chicago
12,zip,60625
12,risk,risk 1 (high)
12,license,46061
12,inspectiontype,canvass
12,inspectionid,44259
12,address,5501 n kedzie ave
12,inspectiondate,2010-05-12
12,results,pass
12,longitude,-87.70867192
12,state,il
12,akaname,northside college prep
12,latitude,41.98135196
12,dbaname,northside college prep.
12,facilitytype,school
13,city,chicago
13,zip,60625
13,risk,risk 1 (high)
13,license,32011
13,inspectiontype,canvass
13,inspectionid,44260
13,address,4929 n sawyer st
13,inspectiondate,2010-05-12
13,results,pass
13,longitude,-87.70962725
13,state,il
13,akaname,albany park campus/edison regional gifted ctr.
13,latitude,41.9711433
13,dbaname,albany park campus/edison regional gifted ctr.
13,facilitytype,school
14,city,chicago
14,zip,60657
14,risk,risk 3 (low)
14,license,2004388
14,inspectiontype,license re-inspection
14,inspectionid,44261
14,address,1001 w belmont ave
14,inspectiondate,2010-05-17
14,results,pass
14,longitude,-87.65416109
14,state,il
14,akaname,walgreens #6270
14,latitude,41.93980098
14,dbaname,walgreens #6270
14,facilitytype,grocery store
15,city,chicago
15,zip,60657
15,risk,risk 1 (high)
15,license,31997
15,inspectiontype,canvass
15,inspectionid,44262
15,address,3132 n broadway
15,inspectiondate,2010-06-09
15,results,pass
15,longitude,-87.64449909
15,state,il
15,akaname,new peking restaurant
15,latitude,41.93864794
15,dbaname,new peking restaurant
15,facilitytype,restaurant
16,city,chicago
16,zip,60639
16,risk,risk 1 (high)
16,license,40974
16,inspectiontype,complaint
16,inspectionid,48212
16,address,5632 w north ave
16,inspectiondate,2010-01-08
16,results,pass
16,longitude,-87.76676192
16,state,il
16,akaname,el gran burrito
16,latitude,41.9094746
16,dbaname,el gran burrito
16,facilitytype,restaurant
17,city,chicago
17,zip,60639
17,risk,risk 1 (high)
17,license,1273737
17,inspectiontype,complaint
17,inspectionid,48213
17,address,5959 w grand ave
17,inspectiondate,2010-01-08
17,results,pass
17,longitude,-87.775499
17,state,il
17,akaname,restaurant el ranchito
17,latitude,41.92042652
17,dbaname,restaurant el ranchito
17,facilitytype,restaurant
18,city,chicago
18,zip,60639
18,risk,risk 1 (high)
18,license,61169
18,inspectiontype,complaint
18,inspectionid,48214
18,address,4348 w armitage ave
18,inspectiondate,2010-01-11
18,results,pass
18,longitude,-87.73587246
18,state,il
18,akaname,la panaderia central bakery
18,latitude,41.91715968
18,dbaname,la panaderia central bakery
18,facilitytype,bakery
19,city,chicago
19,zip,60639
19,risk,risk 1 (high)
19,license,2013539
19,inspectiontype,license re-inspection
19,inspectionid,48215
19,address,2341 n narragansett ave
19,inspectiondate,2010-01-11
19,results,fail
19,longitude,-87.78527866
19,state,il
19,akaname,golden crown restaurant
19,latitude,41.92309768
19,dbaname,golden crown restaurant
19,facilitytype,restaurant
20,city,chicago
20,zip,60639
20,risk,risk 1 (high)
20,license,24461
20,inspectiontype,canvass
20,inspectionid,48216
20,address,5411 w fullerton ave
20,inspectiondate,2010-01-13
20,results,pass
20,longitude,-87.76152094
20,state,il
20,akaname,hanson park
20,latitude,41.92392771
20,dbaname,hanson park
20,facilitytype,school
21,city,chicago
21,zip,60639
21,risk,risk 1 (high)
21,license,24462
21,inspectiontype,canvass
21,inspectionid,48217
21,address,2318 n lorel st
21,inspectiondate,2010-01-13
21,results,pass
21,longitude,-87.75994375
21,state,il
21,akaname,hanson park branch
21,latitude,41.92283114
21,dbaname,hanson park branch
21,facilitytype,school
22,city,chicago
22,zip,60639
22,risk,risk 1 (high)
22,license,1336088
22,inspectiontype,canvass
22,inspectionid,48218
22,address,5344 w fullerton ave
22,inspectiondate,2010-01-13
22,results,pass
22,longitude,-87.76045394
22,state,il
22,akaname,cielito lindo restaurant inc
22,latitude,41.92416136
22,dbaname,cielito lindo restaurant inc
22,facilitytype,restaurant
23,city,chicago
23,zip,60639
23,risk,risk 1 (high)
23,license,1937437
23,inspectiontype,canvass
23,inspectionid,48219
23,address,2701 n central ave
23,inspectiondate,2010-01-25
23,results,pass
23,longitude,-87.76603642
23,state,il
23,akaname,el taconazo la fiesta
23,latitude,41.92950116
23,dbaname,taqueria la fiesta
23,facilitytype,restaurant
24,city,chicago
24,zip,60639
24,risk,risk 1 (high)
24,license,26771
24,inspectiontype,canvass
24,inspectionid,48220
24,address,2231 n central ave
